! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.66.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:02:40 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.5 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.800000E-02	  0.020000000	-6.833900E+01	  0.020000000	4.460000E-01	  0.020000000	-7.365400E+01
2	  0.020200402	-4.400000E-02	  0.020200402	-6.900500E+01	  0.020200402	4.010000E-01	  0.020200402	-7.274100E+01
3	  0.020400802	-4.100000E-02	  0.020400802	-6.964600E+01	  0.020400802	3.670000E-01	  0.020400802	-7.187700E+01
4	  0.020601204	-4.100000E-02	  0.020601204	-7.027600E+01	  0.020601204	3.570000E-01	  0.020601204	-7.104100E+01
5	  0.020801604	-3.800000E-02	  0.020801604	-7.091900E+01	  0.020801604	3.280000E-01	  0.020801604	-7.020000E+01
6	  0.021002004	-3.700000E-02	  0.021002004	-7.157200E+01	  0.021002004	3.190000E-01	  0.021002004	-6.936000E+01
7	  0.021202406	-4.000000E-02	  0.021202406	-7.219600E+01	  0.021202406	3.380000E-01	  0.021202406	-6.857100E+01
8	  0.021402806	-4.200000E-02	  0.021402806	-7.283800E+01	  0.021402806	3.460000E-01	  0.021402806	-6.776900E+01
9	  0.021603208	-4.600000E-02	  0.021603208	-7.346600E+01	  0.021603208	3.720000E-01	  0.021603208	-6.699700E+01
10	  0.021803608	-5.100000E-02	  0.021803608	-7.408400E+01	  0.021803608	4.070000E-01	  0.021803608	-6.624800E+01
11	  0.022004008	-5.300000E-02	  0.022004008	-7.468600E+01	  0.022004008	4.200000E-01	  0.022004008	-6.553000E+01
12	  0.022204408	-5.600000E-02	  0.022204408	-7.532100E+01	  0.022204408	4.340000E-01	  0.022204408	-6.478200E+01
13	  0.022404809	-5.600000E-02	  0.022404809	-7.598200E+01	  0.022404809	4.250000E-01	  0.022404809	-6.401500E+01
14	  0.022605211	-5.900000E-02	  0.022605211	-7.663800E+01	  0.022605211	4.420000E-01	  0.022605211	-6.326500E+01
15	  0.022805611	-5.800000E-02	  0.022805611	-7.727200E+01	  0.022805611	4.310000E-01	  0.022805611	-6.255000E+01
16	  0.023006011	-4.800000E-02	  0.023006011	-7.791400E+01	  0.023006011	3.560000E-01	  0.023006011	-6.183800E+01
17	  0.023206413	-4.100000E-02	  0.023206413	-7.857000E+01	  0.023206413	2.990000E-01	  0.023206413	-6.111900E+01
18	  0.023406813	-3.400000E-02	  0.023406813	-7.922000E+01	  0.023406813	2.440000E-01	  0.023406813	-6.041600E+01
19	  0.023607215	-3.300000E-02	  0.023607215	-7.984600E+01	  0.023607215	2.360000E-01	  0.023607215	-5.974900E+01
20	  0.023807615	-3.200000E-02	  0.023807615	-8.045700E+01	  0.023807615	2.240000E-01	  0.023807615	-5.910600E+01
21	  0.024008015	-3.900000E-02	  0.024008015	-8.104200E+01	  0.024008015	2.720000E-01	  0.024008015	-5.849800E+01
22	  0.024208417	-4.600000E-02	  0.024208417	-8.163200E+01	  0.024208417	3.110000E-01	  0.024208417	-5.789100E+01
23	  0.024408817	-5.100000E-02	  0.024408817	-8.218100E+01	  0.024408817	3.450000E-01	  0.024408817	-5.733300E+01
24	  0.024609219	-5.600000E-02	  0.024609219	-8.277900E+01	  0.024609219	3.730000E-01	  0.024609219	-5.673200E+01
25	  0.024809619	-6.200000E-02	  0.024809619	-8.339600E+01	  0.024809619	4.050000E-01	  0.024809619	-5.612100E+01
26	  0.025010020	-6.600000E-02	  0.025010020	-8.405200E+01	  0.025010020	4.240000E-01	  0.025010020	-5.547700E+01
27	  0.025210422	-7.000000E-02	  0.025210422	-8.471100E+01	  0.025210422	4.470000E-01	  0.025210422	-5.484000E+01
28	  0.025410822	-7.200000E-02	  0.025410822	-8.537300E+01	  0.025410822	4.550000E-01	  0.025410822	-5.420700E+01
29	  0.025611224	-7.000000E-02	  0.025611224	-8.604300E+01	  0.025611224	4.350000E-01	  0.025611224	-5.357600E+01
30	  0.025811624	-6.800000E-02	  0.025811624	-8.668300E+01	  0.025811624	4.170000E-01	  0.025811624	-5.297900E+01
31	  0.026012026	-6.300000E-02	  0.026012026	-8.729500E+01	  0.026012026	3.840000E-01	  0.026012026	-5.241500E+01
32	  0.026212426	-6.100000E-02	  0.026212426	-8.789800E+01	  0.026212426	3.640000E-01	  0.026212426	-5.186600E+01
