! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.66.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:20:02 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.5 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-5.200000E-02	  0.020000000	-6.819100E+01	  0.020000000	4.820000E-01	  0.020000000	-7.385900E+01
2	  0.020200402	-4.900000E-02	  0.020200402	-6.884800E+01	  0.020200402	4.460000E-01	  0.020200402	-7.295500E+01
3	  0.020400802	-4.600000E-02	  0.020400802	-6.949000E+01	  0.020400802	4.110000E-01	  0.020400802	-7.208600E+01
4	  0.020601204	-4.500000E-02	  0.020601204	-7.011300E+01	  0.020601204	4.000000E-01	  0.020601204	-7.125600E+01
5	  0.020801604	-4.300000E-02	  0.020801604	-7.075700E+01	  0.020801604	3.700000E-01	  0.020801604	-7.041000E+01
6	  0.021002004	-4.200000E-02	  0.021002004	-7.140100E+01	  0.021002004	3.610000E-01	  0.021002004	-6.957800E+01
7	  0.021202406	-4.500000E-02	  0.021202406	-7.203200E+01	  0.021202406	3.820000E-01	  0.021202406	-6.877600E+01
8	  0.021402806	-4.700000E-02	  0.021402806	-7.266700E+01	  0.021402806	3.890000E-01	  0.021402806	-6.798100E+01
9	  0.021603208	-5.100000E-02	  0.021603208	-7.329900E+01	  0.021603208	4.190000E-01	  0.021603208	-6.720000E+01
10	  0.021803608	-5.600000E-02	  0.021803608	-7.392500E+01	  0.021803608	4.480000E-01	  0.021803608	-6.643900E+01
11	  0.022004008	-5.900000E-02	  0.022004008	-7.453200E+01	  0.022004008	4.700000E-01	  0.022004008	-6.571200E+01
12	  0.022204408	-6.000000E-02	  0.022204408	-7.517900E+01	  0.022204408	4.680000E-01	  0.022204408	-6.494800E+01
13	  0.022404809	-6.100000E-02	  0.022404809	-7.583500E+01	  0.022404809	4.660000E-01	  0.022404809	-6.418400E+01
14	  0.022605211	-6.400000E-02	  0.022605211	-7.649000E+01	  0.022605211	4.860000E-01	  0.022605211	-6.343200E+01
15	  0.022805611	-6.400000E-02	  0.022805611	-7.713200E+01	  0.022805611	4.790000E-01	  0.022805611	-6.270700E+01
16	  0.023006011	-5.400000E-02	  0.023006011	-7.777800E+01	  0.023006011	3.980000E-01	  0.023006011	-6.198700E+01
17	  0.023206413	-4.500000E-02	  0.023206413	-7.843200E+01	  0.023206413	3.270000E-01	  0.023206413	-6.126900E+01
18	  0.023406813	-3.700000E-02	  0.023406813	-7.908100E+01	  0.023406813	2.690000E-01	  0.023406813	-6.056600E+01
19	  0.023607215	-3.700000E-02	  0.023607215	-7.970700E+01	  0.023607215	2.620000E-01	  0.023607215	-5.989600E+01
20	  0.023807615	-3.700000E-02	  0.023807615	-8.031200E+01	  0.023807615	2.580000E-01	  0.023807615	-5.925700E+01
21	  0.024008015	-4.400000E-02	  0.024008015	-8.089100E+01	  0.024008015	3.020000E-01	  0.024008015	-5.865400E+01
22	  0.024208417	-4.900000E-02	  0.024208417	-8.147900E+01	  0.024208417	3.310000E-01	  0.024208417	-5.804700E+01
23	  0.024408817	-5.500000E-02	  0.024408817	-8.202600E+01	  0.024408817	3.700000E-01	  0.024408817	-5.749000E+01
24	  0.024609219	-6.000000E-02	  0.024609219	-8.261200E+01	  0.024609219	3.990000E-01	  0.024609219	-5.690000E+01
25	  0.024809619	-6.500000E-02	  0.024809619	-8.322200E+01	  0.024809619	4.290000E-01	  0.024809619	-5.629100E+01
26	  0.025010020	-6.900000E-02	  0.025010020	-8.386800E+01	  0.025010020	4.480000E-01	  0.025010020	-5.565700E+01
27	  0.025210422	-7.500000E-02	  0.025210422	-8.453400E+01	  0.025210422	4.770000E-01	  0.025210422	-5.501000E+01
28	  0.025410822	-7.700000E-02	  0.025410822	-8.518000E+01	  0.025410822	4.860000E-01	  0.025410822	-5.439000E+01
29	  0.025611224	-7.400000E-02	  0.025611224	-8.584800E+01	  0.025611224	4.620000E-01	  0.025611224	-5.375800E+01
30	  0.025811624	-7.300000E-02	  0.025811624	-8.649400E+01	  0.025811624	4.470000E-01	  0.025811624	-5.315400E+01
31	  0.026012026	-6.900000E-02	  0.026012026	-8.711700E+01	  0.026012026	4.180000E-01	  0.026012026	-5.257900E+01
32	  0.026212426	-6.700000E-02	  0.026212426	-8.772100E+01	  0.026212426	4.010000E-01	  0.026212426	-5.202700E+01
33	  0.026412826	-6.600000E-02	  0.026412826	-8.831400E+01	  0.026412826	3.960000E-01	  0.026412826	-5.149100E+01
34	  0.026613226	-7.200000E-02	  0.026613226	-8.891600E+01	  0.026613226	4.260000E-01	  0.026613226	-5.095200E+01
35	  0.026813626	-7.900000E-02	  0.026813626	-8.948600E+01	  0.026813626	4.630000E-01	  0.026813626	-5.044700E+01
36	  0.027014028	-8.600000E-02	  0.027014028	-9.003600E+01	  0.027014028	4.940000E-01	  0.027014028	-4.996500E+01
37	  0.027214428	-9.600000E-02	  0.027214428	-9.061900E+01	  0.027214428	5.480000E-01	  0.027214428	-4.945900E+01
38	  0.027414829	-1.060000E-01	  0.027414829	-9.123800E+01	  0.027414829	6.020000E-01	  0.027414829	-4.892700E+01
39	  0.027615231	-1.100000E-01	  0.027615231	-9.191100E+01	  0.027615231	6.160000E-01	  0.027615231	-4.835500E+01
40	  0.027815631	-1.130000E-01	  0.027815631	-9.258800E+01	  0.027815631	6.230000E-01	  0.027815631	-4.778600E+01
41	  0.028016033	-1.090000E-01	  0.028016033	-9.327500E+01	  0.028016033	5.980000E-01	  0.028016033	-4.721600E+01
42	  0.028216433	-1.010000E-01	  0.028216433	-9.396100E+01	  0.028216433	5.460000E-01	  0.028216433	-4.665400E+01
43	  0.028416833	-9.200000E-02	  0.028416833	-9.463700E+01	  0.028416833	4.940000E-01	  0.028416833	-4.610600E+01
44	  0.028617235	-8.300000E-02	  0.028617235	-9.526900E+01	  0.028617235	4.380000E-01	  0.028617235	-4.559800E+01
45	  0.028817635	-7.400000E-02	  0.028817635	-9.587700E+01	  0.028817635	3.890000E-01	  0.028817635	-4.511500E+01
46	  0.029018037	-6.300000E-02	  0.029018037	-9.643900E+01	  0.029018037	3.310000E-01	  0.029018037	-4.467200E+01
47	  0.029218437	-5.700000E-02	  0.029218437	-9.697500E+01	  0.029218437	2.940000E-01	  0.029218437	-4.425400E+01
48	  0.029418837	-5.300000E-02	  0.029418837	-9.747100E+01	  0.029418837	2.710000E-01	  0.029418837	-4.386900E+01
49	  0.029619239	-4.700000E-02	  0.029619239	-9.799200E+01	  0.029619239	2.410000E-01	  0.029619239	-4.346900E+01
50	  0.029819639	-5.000000E-02	  0.029819639	-9.849100E+01	  0.029819639	2.550000E-01	  0.029819639	-4.308800E+01
51	  0.030020041	-5.600000E-02	  0.030020041	-9.902200E+01	  0.030020041	2.790000E-01	  0.030020041	-4.268600E+01
52	  0.030220442	-6.400000E-02	  0.030220442	-9.956300E+01	  0.030220442	3.200000E-01	  0.030220442	-4.227900E+01
53	  0.030420844	-7.600000E-02	  0.030420844	-1.001570E+02	  0.030420844	3.720000E-01	  0.030420844	-4.183600E+01
54	  0.030621244	-8.600000E-02	  0.030621244	-1.007800E+02	  0.030621244	4.210000E-01	  0.030621244	-4.137600E+01
55	  0.030821644	-8.700000E-02	  0.030821644	-1.014140E+02	  0.030821644	4.210000E-01	  0.030821644	-4.091200E+01
56	  0.031022044	-9.000000E-02	  0.031022044	-1.020290E+02	  0.031022044	4.290000E-01	  0.031022044	-4.046600E+01
57	  0.031222444	-8.600000E-02	  0.031222444	-1.026240E+02	  0.031222444	4.100000E-01	  0.031222444	-4.003800E+01
58	  0.031422846	-8.800000E-02	  0.031422846	-1.032150E+02	  0.031422846	4.150000E-01	  0.031422846	-3.961600E+01
59	  0.031623244	-8.600000E-02	  0.031623244	-1.037960E+02	  0.031623244	4.040000E-01	  0.031623244	-3.920500E+01
60	  0.031823646	-8.600000E-02	  0.031823646	-1.043490E+02	  0.031823646	3.990000E-01	  0.031823646	-3.881800E+01
61	  0.032024048	-8.800000E-02	  0.032024048	-1.048580E+02	  0.032024048	4.040000E-01	  0.032024048	-3.846300E+01
62	  0.032224450	-9.300000E-02	  0.032224450	-1.053620E+02	  0.032224450	4.270000E-01	  0.032224450	-3.811300E+01
63	  0.032424849	-1.030000E-01	  0.032424849	-1.058970E+02	  0.032424849	4.660000E-01	  0.032424849	-3.774500E+01
64	  0.032625251	-1.150000E-01	  0.032625251	-1.064760E+02	  0.032625251	5.160000E-01	  0.032625251	-3.735000E+01
65	  0.032825653	-1.240000E-01	  0.032825653	-1.070560E+02	  0.032825653	5.550000E-01	  0.032825653	-3.695700E+01
66	  0.033026051	-1.320000E-01	  0.033026051	-1.076820E+02	  0.033026051	5.820000E-01	  0.033026051	-3.653500E+01
67	  0.033226453	-1.320000E-01	  0.033226453	-1.083060E+02	  0.033226453	5.810000E-01	  0.033226453	-3.611900E+01
68	  0.033426855	-1.350000E-01	  0.033426855	-1.089430E+02	  0.033426855	5.890000E-01	  0.033426855	-3.569800E+01
69	  0.033627257	-1.340000E-01	  0.033627257	-1.095730E+02	  0.033627257	5.800000E-01	  0.033627257	-3.528500E+01
70	  0.033827655	-1.340000E-01	  0.033827655	-1.102460E+02	  0.033827655	5.760000E-01	  0.033827655	-3.484700E+01
71	  0.034028057	-1.330000E-01	  0.034028057	-1.108510E+02	  0.034028057	5.670000E-01	  0.034028057	-3.445600E+01
72	  0.034228459	-1.280000E-01	  0.034228459	-1.114880E+02	  0.034228459	5.420000E-01	  0.034228459	-3.404800E+01
73	  0.034428857	-1.200000E-01	  0.034428857	-1.120880E+02	  0.034428857	5.020000E-01	  0.034428857	-3.366600E+01
74	  0.034629259	-1.090000E-01	  0.034629259	-1.126330E+02	  0.034629259	4.560000E-01	  0.034629259	-3.332200E+01
75	  0.034829661	-9.800000E-02	  0.034829661	-1.131730E+02	  0.034829661	4.070000E-01	  0.034829661	-3.298300E+01
76	  0.035030060	-9.500000E-02	  0.035030060	-1.136800E+02	  0.035030060	3.940000E-01	  0.035030060	-3.266700E+01
77	  0.035230462	-9.000000E-02	  0.035230462	-1.141900E+02	  0.035230462	3.690000E-01	  0.035230462	-3.235000E+01
78	  0.035430863	-9.300000E-02	  0.035430863	-1.146950E+02	  0.035430863	3.770000E-01	  0.035430863	-3.203900E+01
79	  0.035631265	-9.800000E-02	  0.035631265	-1.152070E+02	  0.035631265	3.990000E-01	  0.035631265	-3.172400E+01
