! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.r200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:27:07 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.8 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.566000E+00	  0.020000000	-2.217800E+01	  0.020000000	1.277350E+02	  0.020000000	-8.761300E+01
2	  0.020200402	-4.563000E+00	  0.020200402	-2.238900E+01	  0.020200402	1.269330E+02	  0.020200402	-8.791400E+01
3	  0.020400802	-4.561000E+00	  0.020400802	-2.260500E+01	  0.020400802	1.261040E+02	  0.020400802	-8.818200E+01
4	  0.020601204	-4.559000E+00	  0.020601204	-2.279200E+01	  0.020601204	1.253960E+02	  0.020601204	-8.842800E+01
5	  0.020801604	-4.559000E+00	  0.020801604	-2.300400E+01	  0.020801604	1.245780E+02	  0.020801604	-8.861500E+01
6	  0.021002004	-4.558000E+00	  0.021002004	-2.322200E+01	  0.021002004	1.237470E+02	  0.021002004	-8.884400E+01
7	  0.021202406	-4.559000E+00	  0.021202406	-2.343800E+01	  0.021202406	1.229110E+02	  0.021202406	-8.899500E+01
8	  0.021402806	-4.559000E+00	  0.021402806	-2.366500E+01	  0.021402806	1.220460E+02	  0.021402806	-8.916900E+01
9	  0.021603208	-4.561000E+00	  0.021603208	-2.388200E+01	  0.021603208	1.212160E+02	  0.021603208	-8.928900E+01
10	  0.021803608	-4.565000E+00	  0.021803608	-2.408400E+01	  0.021803608	1.204370E+02	  0.021803608	-8.934400E+01
11	  0.022004008	-4.567000E+00	  0.022004008	-2.429600E+01	  0.022004008	1.196340E+02	  0.022004008	-8.943700E+01
12	  0.022204408	-4.568000E+00	  0.022204408	-2.452300E+01	  0.022204408	1.187820E+02	  0.022204408	-8.954700E+01
13	  0.022404809	-4.566000E+00	  0.022404809	-2.474300E+01	  0.022404809	1.179780E+02	  0.022404809	-8.973500E+01
14	  0.022605211	-4.571000E+00	  0.022605211	-2.497100E+01	  0.022605211	1.171160E+02	  0.022605211	-8.974000E+01
15	  0.022805611	-4.577000E+00	  0.022805611	-2.519400E+01	  0.022805611	1.162810E+02	  0.022805611	-8.971400E+01
