! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.47.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 04:35:35 PM	05/26/2018 04:28:16 PM
! INTERNAL TEMP:    	56.0 C	56.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.000000E-02	  0.020000000	-5.582400E+01	  0.020000000	2.680000E-01	  0.020000000	-9.438300E+01
2	  0.020200402	-1.700000E-02	  0.020200402	-5.636300E+01	  0.020200402	2.240000E-01	  0.020200402	-9.332100E+01
3	  0.020400802	-1.500000E-02	  0.020400802	-5.689900E+01	  0.020400802	1.960000E-01	  0.020400802	-9.228000E+01
4	  0.020601204	-1.600000E-02	  0.020601204	-5.742700E+01	  0.020601204	1.990000E-01	  0.020601204	-9.127500E+01
5	  0.020801604	-1.800000E-02	  0.020801604	-5.797500E+01	  0.020801604	2.230000E-01	  0.020801604	-9.024700E+01
6	  0.021002004	-1.700000E-02	  0.021002004	-5.853200E+01	  0.021002004	2.090000E-01	  0.021002004	-8.922100E+01
7	  0.021202406	-1.700000E-02	  0.021202406	-5.910400E+01	  0.021202406	2.080000E-01	  0.021202406	-8.818600E+01
8	  0.021402806	-2.400000E-02	  0.021402806	-5.965100E+01	  0.021402806	2.790000E-01	  0.021402806	-8.721200E+01
9	  0.021603208	-2.500000E-02	  0.021603208	-6.019600E+01	  0.021603208	2.860000E-01	  0.021603208	-8.625900E+01
10	  0.021803608	-3.100000E-02	  0.021803608	-6.072500E+01	  0.021803608	3.520000E-01	  0.021803608	-8.534800E+01
11	  0.022004008	-3.500000E-02	  0.022004008	-6.126500E+01	  0.022004008	3.910000E-01	  0.022004008	-8.443300E+01
12	  0.022204408	-3.600000E-02	  0.022204408	-6.181400E+01	  0.022204408	4.020000E-01	  0.022204408	-8.351900E+01
13	  0.022404809	-3.900000E-02	  0.022404809	-6.240200E+01	  0.022404809	4.240000E-01	  0.022404809	-8.255300E+01
14	  0.022605211	-4.100000E-02	  0.022605211	-6.296900E+01	  0.022605211	4.400000E-01	  0.022605211	-8.163900E+01
15	  0.022805611	-4.100000E-02	  0.022805611	-6.354700E+01	  0.022805611	4.300000E-01	  0.022805611	-8.072300E+01
