! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.47.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:29:23 PM	05/27/2018 12:21:44 PM
! INTERNAL TEMP:    	53.8 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.687 ohm, -0.528 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.800000E-02	  0.020000000	-5.645600E+01	  0.020000000	3.630000E-01	  0.020000000	-9.313700E+01
2	  0.020200402	-2.400000E-02	  0.020200402	-5.702500E+01	  0.020200402	3.080000E-01	  0.020200402	-9.203800E+01
3	  0.020400802	-2.000000E-02	  0.020400802	-5.759800E+01	  0.020400802	2.560000E-01	  0.020400802	-9.095100E+01
4	  0.020601204	-1.900000E-02	  0.020601204	-5.815300E+01	  0.020601204	2.360000E-01	  0.020601204	-8.991700E+01
5	  0.020801604	-1.700000E-02	  0.020801604	-5.872200E+01	  0.020801604	2.130000E-01	  0.020801604	-8.887500E+01
6	  0.021002004	-1.800000E-02	  0.021002004	-5.929900E+01	  0.021002004	2.200000E-01	  0.021002004	-8.783800E+01
7	  0.021202406	-1.900000E-02	  0.021202406	-5.987000E+01	  0.021202406	2.250000E-01	  0.021202406	-8.682800E+01
8	  0.021402806	-1.700000E-02	  0.021402806	-6.040800E+01	  0.021402806	2.030000E-01	  0.021402806	-8.589300E+01
9	  0.021603208	-2.300000E-02	  0.021603208	-6.096000E+01	  0.021603208	2.580000E-01	  0.021603208	-8.495000E+01
10	  0.021803608	-2.500000E-02	  0.021803608	-6.147100E+01	  0.021803608	2.760000E-01	  0.021803608	-8.408800E+01
11	  0.022004008	-2.400000E-02	  0.022004008	-6.199600E+01	  0.022004008	2.700000E-01	  0.022004008	-8.321800E+01
12	  0.022204408	-2.800000E-02	  0.022204408	-6.253600E+01	  0.022204408	3.000000E-01	  0.022204408	-8.233600E+01
13	  0.022404809	-3.100000E-02	  0.022404809	-6.307700E+01	  0.022404809	3.350000E-01	  0.022404809	-8.146800E+01
14	  0.022605211	-3.200000E-02	  0.022605211	-6.360200E+01	  0.022605211	3.380000E-01	  0.022605211	-8.063600E+01
15	  0.022805611	-2.800000E-02	  0.022805611	-6.415000E+01	  0.022805611	2.870000E-01	  0.022805611	-7.978300E+01
16	  0.023006011	-1.800000E-02	  0.023006011	-6.471900E+01	  0.023006011	1.870000E-01	  0.023006011	-7.890900E+01
17	  0.023206413	-1.300000E-02	  0.023206413	-6.524900E+01	  0.023206413	1.310000E-01	  0.023206413	-7.810700E+01
18	  0.023406813	-9.000000E-03	  0.023406813	-6.578600E+01	  0.023406813	9.100000E-02	  0.023406813	-7.730700E+01
19	  0.023607215	-9.000000E-03	  0.023607215	-6.633800E+01	  0.023607215	9.100000E-02	  0.023607215	-7.649700E+01
20	  0.023807615	-9.000000E-03	  0.023807615	-6.686000E+01	  0.023807615	8.600000E-02	  0.023807615	-7.574100E+01
21	  0.024008015	-1.300000E-02	  0.024008015	-6.735700E+01	  0.024008015	1.220000E-01	  0.024008015	-7.503100E+01
22	  0.024208417	-1.700000E-02	  0.024208417	-6.784100E+01	  0.024208417	1.610000E-01	  0.024208417	-7.434900E+01
23	  0.024408817	-2.600000E-02	  0.024408817	-6.835100E+01	  0.024408817	2.400000E-01	  0.024408817	-7.363800E+01
24	  0.024609219	-3.000000E-02	  0.024609219	-6.887100E+01	  0.024609219	2.770000E-01	  0.024609219	-7.292400E+01
25	  0.024809619	-3.700000E-02	  0.024809619	-6.941800E+01	  0.024809619	3.340000E-01	  0.024809619	-7.218300E+01
26	  0.025010020	-3.800000E-02	  0.025010020	-7.000500E+01	  0.025010020	3.330000E-01	  0.025010020	-7.139900E+01
27	  0.025210422	-4.000000E-02	  0.025210422	-7.059000E+01	  0.025210422	3.510000E-01	  0.025210422	-7.062900E+01
28	  0.025410822	-4.300000E-02	  0.025410822	-7.118300E+01	  0.025410822	3.720000E-01	  0.025410822	-6.985900E+01
29	  0.025611224	-4.200000E-02	  0.025611224	-7.178800E+01	  0.025611224	3.590000E-01	  0.025611224	-6.908500E+01
30	  0.025811624	-4.000000E-02	  0.025811624	-7.236800E+01	  0.025811624	3.310000E-01	  0.025811624	-6.835400E+01
31	  0.026012026	-3.800000E-02	  0.026012026	-7.294600E+01	  0.026012026	3.130000E-01	  0.026012026	-6.763600E+01
32	  0.026212426	-3.300000E-02	  0.026212426	-7.350500E+01	  0.026212426	2.720000E-01	  0.026212426	-6.695000E+01
33	  0.026412826	-2.700000E-02	  0.026412826	-7.405300E+01	  0.026412826	2.210000E-01	  0.026412826	-6.628700E+01
34	  0.026613226	-3.000000E-02	  0.026613226	-7.454800E+01	  0.026613226	2.420000E-01	  0.026613226	-6.569400E+01
35	  0.026813626	-3.300000E-02	  0.026813626	-7.504900E+01	  0.026813626	2.560000E-01	  0.026813626	-6.510100E+01
36	  0.027014028	-3.600000E-02	  0.027014028	-7.551600E+01	  0.027014028	2.790000E-01	  0.027014028	-6.455500E+01
37	  0.027214428	-4.500000E-02	  0.027214428	-7.598200E+01	  0.027214428	3.460000E-01	  0.027214428	-6.401500E+01
38	  0.027414829	-5.400000E-02	  0.027414829	-7.649800E+01	  0.027414829	4.100000E-01	  0.027414829	-6.342500E+01
39	  0.027615231	-6.200000E-02	  0.027615231	-7.706600E+01	  0.027615231	4.660000E-01	  0.027615231	-6.278100E+01
40	  0.027815631	-6.400000E-02	  0.027815631	-7.763300E+01	  0.027815631	4.710000E-01	  0.027815631	-6.214800E+01
41	  0.028016033	-6.500000E-02	  0.028016033	-7.821900E+01	  0.028016033	4.740000E-01	  0.028016033	-6.150100E+01
42	  0.028216433	-5.600000E-02	  0.028216433	-7.881600E+01	  0.028216433	4.010000E-01	  0.028216433	-6.085100E+01
43	  0.028416833	-4.900000E-02	  0.028416833	-7.941200E+01	  0.028416833	3.450000E-01	  0.028416833	-6.021000E+01
44	  0.028617235	-4.100000E-02	  0.028617235	-7.999900E+01	  0.028617235	2.860000E-01	  0.028617235	-5.958700E+01
45	  0.028817635	-3.400000E-02	  0.028817635	-8.055000E+01	  0.028817635	2.380000E-01	  0.028817635	-5.900900E+01
46	  0.029018037	-2.600000E-02	  0.029018037	-8.104200E+01	  0.029018037	1.810000E-01	  0.029018037	-5.849700E+01
47	  0.029218437	-1.900000E-02	  0.029218437	-8.150700E+01	  0.029218437	1.330000E-01	  0.029218437	-5.802000E+01
48	  0.029418837	-1.500000E-02	  0.029418837	-8.196200E+01	  0.029418837	1.010000E-01	  0.029418837	-5.755600E+01
49	  0.029619239	-1.400000E-02	  0.029619239	-8.239400E+01	  0.029619239	9.400000E-02	  0.029619239	-5.711900E+01
50	  0.029819639	-1.600000E-02	  0.029819639	-8.285500E+01	  0.029819639	1.110000E-01	  0.029819639	-5.665800E+01
51	  0.030020041	-2.200000E-02	  0.030020041	-8.335700E+01	  0.030020041	1.490000E-01	  0.030020041	-5.616000E+01
52	  0.030220442	-3.200000E-02	  0.030220442	-8.389500E+01	  0.030220442	2.120000E-01	  0.030220442	-5.563200E+01
53	  0.030420844	-4.400000E-02	  0.030420844	-8.445900E+01	  0.030420844	2.800000E-01	  0.030420844	-5.508400E+01
54	  0.030621244	-5.100000E-02	  0.030621244	-8.504100E+01	  0.030621244	3.240000E-01	  0.030621244	-5.452400E+01
55	  0.030821644	-5.600000E-02	  0.030821644	-8.562800E+01	  0.030821644	3.520000E-01	  0.030821644	-5.396600E+01
56	  0.031022044	-5.600000E-02	  0.031022044	-8.620900E+01	  0.031022044	3.460000E-01	  0.031022044	-5.342100E+01
57	  0.031222444	-5.300000E-02	  0.031222444	-8.678500E+01	  0.031222444	3.290000E-01	  0.031222444	-5.288600E+01
58	  0.031422846	-5.400000E-02	  0.031422846	-8.734700E+01	  0.031422846	3.270000E-01	  0.031422846	-5.236900E+01
59	  0.031623244	-5.500000E-02	  0.031623244	-8.788100E+01	  0.031623244	3.300000E-01	  0.031623244	-5.188200E+01
60	  0.031823646	-4.900000E-02	  0.031823646	-8.840400E+01	  0.031823646	2.930000E-01	  0.031823646	-5.141000E+01
61	  0.032024048	-4.500000E-02	  0.032024048	-8.887600E+01	  0.032024048	2.670000E-01	  0.032024048	-5.098900E+01
62	  0.032224450	-4.700000E-02	  0.032224450	-8.932400E+01	  0.032224450	2.770000E-01	  0.032224450	-5.059200E+01
63	  0.032424849	-5.200000E-02	  0.032424849	-8.977500E+01	  0.032424849	3.000000E-01	  0.032424849	-5.019500E+01
64	  0.032625251	-6.200000E-02	  0.032625251	-9.024800E+01	  0.032625251	3.570000E-01	  0.032625251	-4.978200E+01
65	  0.032825653	-7.200000E-02	  0.032825653	-9.074600E+01	  0.032825653	4.110000E-01	  0.032825653	-4.935100E+01
66	  0.033026051	-7.900000E-02	  0.033026051	-9.125800E+01	  0.033026051	4.470000E-01	  0.033026051	-4.891100E+01
67	  0.033226453	-8.400000E-02	  0.033226453	-9.181900E+01	  0.033226453	4.690000E-01	  0.033226453	-4.843400E+01
68	  0.033426855	-9.000000E-02	  0.033426855	-9.238200E+01	  0.033426855	4.970000E-01	  0.033426855	-4.796000E+01
69	  0.033627257	-9.600000E-02	  0.033627257	-9.297800E+01	  0.033627257	5.270000E-01	  0.033627257	-4.746300E+01
70	  0.033827655	-9.700000E-02	  0.033827655	-9.356700E+01	  0.033827655	5.250000E-01	  0.033827655	-4.697700E+01
71	  0.034028057	-9.100000E-02	  0.034028057	-9.417000E+01	  0.034028057	4.920000E-01	  0.034028057	-4.648400E+01
72	  0.034228459	-8.700000E-02	  0.034228459	-9.470900E+01	  0.034228459	4.650000E-01	  0.034228459	-4.604800E+01
73	  0.034428857	-7.800000E-02	  0.034428857	-9.528100E+01	  0.034428857	4.120000E-01	  0.034428857	-4.558900E+01
74	  0.034629259	-6.500000E-02	  0.034629259	-9.578800E+01	  0.034629259	3.430000E-01	  0.034629259	-4.518600E+01
75	  0.034829661	-6.000000E-02	  0.034829661	-9.629500E+01	  0.034829661	3.140000E-01	  0.034829661	-4.478600E+01
76	  0.035030060	-5.400000E-02	  0.035030060	-9.675700E+01	  0.035030060	2.790000E-01	  0.035030060	-4.442400E+01
77	  0.035230462	-5.000000E-02	  0.035230462	-9.724300E+01	  0.035230462	2.590000E-01	  0.035230462	-4.404600E+01
78	  0.035430863	-5.100000E-02	  0.035430863	-9.771400E+01	  0.035430863	2.600000E-01	  0.035430863	-4.368200E+01
79	  0.035631265	-6.000000E-02	  0.035631265	-9.818700E+01	  0.035631265	3.030000E-01	  0.035631265	-4.331900E+01
80	  0.035831664	-6.700000E-02	  0.035831664	-9.869500E+01	  0.035831664	3.360000E-01	  0.035831664	-4.293300E+01
81	  0.036032066	-7.500000E-02	  0.036032066	-9.924300E+01	  0.036032066	3.730000E-01	  0.036032066	-4.251900E+01
82	  0.036232468	-8.400000E-02	  0.036232468	-9.982900E+01	  0.036232468	4.140000E-01	  0.036232468	-4.208000E+01
83	  0.036432866	-8.700000E-02	  0.036432866	-1.004110E+02	  0.036432866	4.250000E-01	  0.036432866	-4.164700E+01
84	  0.036633268	-8.900000E-02	  0.036633268	-1.009710E+02	  0.036633268	4.320000E-01	  0.036633268	-4.123500E+01
85	  0.036833670	-9.200000E-02	  0.036833670	-1.015430E+02	  0.036833670	4.410000E-01	  0.036833670	-4.081800E+01
86	  0.037034072	-8.400000E-02	  0.037034072	-1.020910E+02	  0.037034072	4.040000E-01	  0.037034072	-4.042100E+01
87	  0.037234470	-7.100000E-02	  0.037234470	-1.025910E+02	  0.037234470	3.360000E-01	  0.037234470	-4.006200E+01
88	  0.037434869	-6.000000E-02	  0.037434869	-1.030460E+02	  0.037434869	2.850000E-01	  0.037434869	-3.973700E+01
89	  0.037635271	-5.500000E-02	  0.037635271	-1.034650E+02	  0.037635271	2.580000E-01	  0.037635271	-3.944000E+01
90	  0.037835669	-5.700000E-02	  0.037835669	-1.038790E+02	  0.037835669	2.660000E-01	  0.037835669	-3.914800E+01
91	  0.038036071	-6.300000E-02	  0.038036071	-1.043330E+02	  0.038036071	2.940000E-01	  0.038036071	-3.882900E+01
92	  0.038236473	-7.000000E-02	  0.038236473	-1.047950E+02	  0.038236473	3.230000E-01	  0.038236473	-3.850700E+01
93	  0.038436871	-7.700000E-02	  0.038436871	-1.052880E+02	  0.038436871	3.540000E-01	  0.038436871	-3.816500E+01
94	  0.038637273	-8.300000E-02	  0.038637273	-1.057620E+02	  0.038637273	3.790000E-01	  0.038637273	-3.783900E+01
95	  0.038837675	-9.500000E-02	  0.038837675	-1.062880E+02	  0.038837675	4.300000E-01	  0.038837675	-3.747900E+01
96	  0.039038073	-1.060000E-01	  0.039038073	-1.068220E+02	  0.039038073	4.770000E-01	  0.039038073	-3.711500E+01
97	  0.039238475	-1.140000E-01	  0.039238475	-1.073830E+02	  0.039238475	5.060000E-01	  0.039238475	-3.673700E+01
98	  0.039438877	-1.170000E-01	  0.039438877	-1.079560E+02	  0.039438877	5.160000E-01	  0.039438877	-3.635300E+01
99	  0.039639279	-1.140000E-01	  0.039639279	-1.084960E+02	  0.039639279	5.000000E-01	  0.039639279	-3.599400E+01
100	  0.039839678	-1.080000E-01	  0.039839678	-1.090450E+02	  0.039839678	4.720000E-01	  0.039839678	-3.563200E+01
101	  0.040040080	-1.010000E-01	  0.040040080	-1.095730E+02	  0.040040080	4.370000E-01	  0.040040080	-3.528600E+01
102	  0.040240481	-9.600000E-02	  0.040240481	-1.100670E+02	  0.040240481	4.110000E-01	  0.040240481	-3.496500E+01
103	  0.040440880	-8.800000E-02	  0.040440880	-1.105790E+02	  0.040440880	3.760000E-01	  0.040440880	-3.463300E+01
104	  0.040641282	-8.700000E-02	  0.040641282	-1.110790E+02	  0.040641282	3.720000E-01	  0.040641282	-3.431100E+01
105	  0.040841684	-8.800000E-02	  0.040841684	-1.115740E+02	  0.040841684	3.720000E-01	  0.040841684	-3.399400E+01
106	  0.041042086	-8.900000E-02	  0.041042086	-1.120520E+02	  0.041042086	3.730000E-01	  0.041042086	-3.369100E+01
107	  0.041242484	-9.500000E-02	  0.041242484	-1.125360E+02	  0.041242484	3.960000E-01	  0.041242484	-3.338400E+01
108	  0.041442886	-1.040000E-01	  0.041442886	-1.130400E+02	  0.041442886	4.320000E-01	  0.041442886	-3.306600E+01
109	  0.041643288	-1.150000E-01	  0.041643288	-1.135670E+02	  0.041643288	4.730000E-01	  0.041643288	-3.273600E+01
110	  0.041843686	-1.210000E-01	  0.041843686	-1.141230E+02	  0.041843686	4.950000E-01	  0.041843686	-3.239100E+01
111	  0.042044088	-1.210000E-01	  0.042044088	-1.146680E+02	  0.042044088	4.930000E-01	  0.042044088	-3.205400E+01
112	  0.042244490	-1.150000E-01	  0.042244490	-1.152140E+02	  0.042244490	4.650000E-01	  0.042244490	-3.172000E+01
113	  0.042444889	-1.040000E-01	  0.042444889	-1.157330E+02	  0.042444889	4.170000E-01	  0.042444889	-3.140300E+01
114	  0.042645290	-9.100000E-02	  0.042645290	-1.161990E+02	  0.042645290	3.650000E-01	  0.042645290	-3.112100E+01
115	  0.042845692	-8.500000E-02	  0.042845692	-1.166440E+02	  0.042845692	3.390000E-01	  0.042845692	-3.085200E+01
116	  0.043046094	-8.300000E-02	  0.043046094	-1.170840E+02	  0.043046094	3.300000E-01	  0.043046094	-3.058800E+01
117	  0.043246493	-8.500000E-02	  0.043246493	-1.174990E+02	  0.043246493	3.370000E-01	  0.043246493	-3.034000E+01
118	  0.043446895	-9.000000E-02	  0.043446895	-1.179560E+02	  0.043446895	3.550000E-01	  0.043446895	-3.006700E+01
119	  0.043647297	-9.500000E-02	  0.043647297	-1.184100E+02	  0.043647297	3.700000E-01	  0.043647297	-2.979800E+01
120	  0.043847695	-1.020000E-01	  0.043847695	-1.188580E+02	  0.043847695	3.960000E-01	  0.043847695	-2.953400E+01
