! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.m3.bad.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:43:11 PM	05/27/2018 12:21:44 PM
! INTERNAL TEMP:    	53.0 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.240 ohm, -0.059 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.270000E-01	  0.020000000	-1.262870E+02	  0.020000000	2.267000E+00	  0.020000000	-2.527700E+01
2	  0.020200402	-6.230000E-01	  0.020200402	-1.277660E+02	  0.020200402	2.225000E+00	  0.020200402	-2.447300E+01
3	  0.020400802	-6.210000E-01	  0.020400802	-1.292390E+02	  0.020400802	2.189000E+00	  0.020400802	-2.368300E+01
4	  0.020601204	-6.190000E-01	  0.020601204	-1.306570E+02	  0.020601204	2.156000E+00	  0.020601204	-2.293100E+01
5	  0.020801604	-6.200000E-01	  0.020801604	-1.321190E+02	  0.020801604	2.137000E+00	  0.020801604	-2.216500E+01
6	  0.021002004	-6.260000E-01	  0.021002004	-1.335910E+02	  0.021002004	2.132000E+00	  0.021002004	-2.140100E+01
7	  0.021202406	-6.320000E-01	  0.021202406	-1.350770E+02	  0.021202406	2.129000E+00	  0.021202406	-2.063900E+01
8	  0.021402806	-6.350000E-01	  0.021402806	-1.365380E+02	  0.021402806	2.117000E+00	  0.021402806	-1.989700E+01
9	  0.021603208	-6.420000E-01	  0.021603208	-1.380220E+02	  0.021603208	2.119000E+00	  0.021603208	-1.915100E+01
10	  0.021803608	-6.470000E-01	  0.021803608	-1.394760E+02	  0.021803608	2.116000E+00	  0.021803608	-1.842800E+01
11	  0.022004008	-6.530000E-01	  0.022004008	-1.409620E+02	  0.022004008	2.116000E+00	  0.022004008	-1.769600E+01
12	  0.022204408	-6.590000E-01	  0.022204408	-1.424910E+02	  0.022204408	2.115000E+00	  0.022204408	-1.694900E+01
13	  0.022404809	-6.650000E-01	  0.022404809	-1.440170E+02	  0.022404809	2.117000E+00	  0.022404809	-1.621100E+01
14	  0.022605211	-6.680000E-01	  0.022605211	-1.455330E+02	  0.022605211	2.107000E+00	  0.022605211	-1.548400E+01
15	  0.022805611	-6.680000E-01	  0.022805611	-1.470780E+02	  0.022805611	2.089000E+00	  0.022805611	-1.474900E+01
16	  0.023006011	-6.740000E-01	  0.023006011	-1.486430E+02	  0.023006011	2.094000E+00	  0.023006011	-1.401000E+01
17	  0.023206413	-6.840000E-01	  0.023206413	-1.502070E+02	  0.023206413	2.107000E+00	  0.023206413	-1.327800E+01
18	  0.023406813	-6.960000E-01	  0.023406813	-1.518110E+02	  0.023406813	2.130000E+00	  0.023406813	-1.253200E+01
19	  0.023607215	-7.080000E-01	  0.023607215	-1.534490E+02	  0.023607215	2.149000E+00	  0.023607215	-1.177600E+01
20	  0.023807615	-7.160000E-01	  0.023807615	-1.550880E+02	  0.023807615	2.160000E+00	  0.023807615	-1.102400E+01
21	  0.024008015	-7.240000E-01	  0.024008015	-1.567350E+02	  0.024008015	2.172000E+00	  0.024008015	-1.027400E+01
22	  0.024208417	-7.340000E-01	  0.024208417	-1.583820E+02	  0.024208417	2.189000E+00	  0.024208417	-9.528000E+00
23	  0.024408817	-7.470000E-01	  0.024408817	-1.600660E+02	  0.024408817	2.215000E+00	  0.024408817	-8.769000E+00
24	  0.024609219	-7.560000E-01	  0.024609219	-1.617550E+02	  0.024609219	2.231000E+00	  0.024609219	-8.012000E+00
25	  0.024809619	-7.630000E-01	  0.024809619	-1.634720E+02	  0.024809619	2.243000E+00	  0.024809619	-7.247000E+00
26	  0.025010020	-7.650000E-01	  0.025010020	-1.651620E+02	  0.025010020	2.238000E+00	  0.025010020	-6.497000E+00
27	  0.025210422	-7.710000E-01	  0.025210422	-1.668470E+02	  0.025210422	2.248000E+00	  0.025210422	-5.752000E+00
28	  0.025410822	-7.790000E-01	  0.025410822	-1.685200E+02	  0.025410822	2.264000E+00	  0.025410822	-5.015000E+00
29	  0.025611224	-7.850000E-01	  0.025611224	-1.701880E+02	  0.025611224	2.275000E+00	  0.025611224	-4.282000E+00
30	  0.025811624	-7.920000E-01	  0.025811624	-1.718710E+02	  0.025811624	2.289000E+00	  0.025811624	-3.545000E+00
31	  0.026012026	-8.010000E-01	  0.026012026	-1.735440E+02	  0.026012026	2.312000E+00	  0.026012026	-2.813000E+00
32	  0.026212426	-8.120000E-01	  0.026212426	-1.752280E+02	  0.026212426	2.339000E+00	  0.026212426	-2.078000E+00
33	  0.026412826	-8.280000E-01	  0.026412826	-1.769030E+02	  0.026412826	2.384000E+00	  0.026412826	-1.348000E+00
34	  0.026613226	-8.450000E-01	  0.026613226	-1.786040E+02	  0.026613226	2.431000E+00	  0.026613226	-6.070000E-01
35	  0.026813626	-8.610000E-01	  0.026813626	1.796850E+02	  0.026813626	2.478000E+00	  0.026813626	1.360000E-01
36	  0.027014028	-8.780000E-01	  0.027014028	1.779800E+02	  0.027014028	2.527000E+00	  0.027014028	8.780000E-01
37	  0.027214428	-8.950000E-01	  0.027214428	1.762640E+02	  0.027214428	2.576000E+00	  0.027214428	1.626000E+00
38	  0.027414829	-9.130000E-01	  0.027414829	1.745280E+02	  0.027414829	2.631000E+00	  0.027414829	2.382000E+00
39	  0.027615231	-9.310000E-01	  0.027615231	1.727640E+02	  0.027615231	2.688000E+00	  0.027615231	3.152000E+00
40	  0.027815631	-9.550000E-01	  0.027815631	1.709750E+02	  0.027815631	2.765000E+00	  0.027815631	3.933000E+00
41	  0.028016033	-9.790000E-01	  0.028016033	1.691410E+02	  0.028016033	2.842000E+00	  0.028016033	4.736000E+00
42	  0.028216433	-1.002000E+00	  0.028216433	1.672900E+02	  0.028216433	2.918000E+00	  0.028216433	5.549000E+00
43	  0.028416833	-1.027000E+00	  0.028416833	1.654160E+02	  0.028416833	3.000000E+00	  0.028416833	6.375000E+00
44	  0.028617235	-1.051000E+00	  0.028617235	1.635450E+02	  0.028617235	3.086000E+00	  0.028617235	7.202000E+00
45	  0.028817635	-1.079000E+00	  0.028817635	1.616460E+02	  0.028817635	3.182000E+00	  0.028817635	8.045000E+00
46	  0.029018037	-1.106000E+00	  0.029018037	1.597140E+02	  0.029018037	3.280000E+00	  0.029018037	8.907000E+00
47	  0.029218437	-1.132000E+00	  0.029218437	1.577790E+02	  0.029218437	3.379000E+00	  0.029218437	9.775000E+00
48	  0.029418837	-1.153000E+00	  0.029418837	1.558470E+02	  0.029418837	3.465000E+00	  0.029418837	1.064800E+01
49	  0.029619239	-1.174000E+00	  0.029619239	1.539500E+02	  0.029619239	3.554000E+00	  0.029619239	1.151000E+01
50	  0.029819639	-1.195000E+00	  0.029819639	1.520730E+02	  0.029819639	3.645000E+00	  0.029819639	1.237000E+01
51	  0.030020041	-1.217000E+00	  0.030020041	1.502060E+02	  0.030020041	3.744000E+00	  0.030020041	1.323100E+01
52	  0.030220442	-1.245000E+00	  0.030220442	1.483640E+02	  0.030220442	3.865000E+00	  0.030220442	1.408700E+01
53	  0.030420844	-1.276000E+00	  0.030420844	1.465160E+02	  0.030420844	3.998000E+00	  0.030420844	1.495200E+01
54	  0.030621244	-1.314000E+00	  0.030621244	1.446380E+02	  0.030621244	4.157000E+00	  0.030621244	1.583800E+01
55	  0.030821644	-1.348000E+00	  0.030821644	1.427350E+02	  0.030821644	4.309000E+00	  0.030821644	1.674500E+01
56	  0.031022044	-1.381000E+00	  0.031022044	1.408220E+02	  0.031022044	4.466000E+00	  0.031022044	1.766600E+01
57	  0.031222444	-1.406000E+00	  0.031222444	1.389040E+02	  0.031222444	4.601000E+00	  0.031222444	1.860200E+01
58	  0.031422846	-1.434000E+00	  0.031422846	1.369870E+02	  0.031422846	4.755000E+00	  0.031422846	1.954700E+01
59	  0.031623244	-1.461000E+00	  0.031623244	1.350910E+02	  0.031623244	4.906000E+00	  0.031623244	2.049300E+01
60	  0.031823646	-1.485000E+00	  0.031823646	1.331980E+02	  0.031823646	5.057000E+00	  0.031823646	2.145000E+01
61	  0.032024048	-1.510000E+00	  0.032024048	1.313050E+02	  0.032024048	5.215000E+00	  0.032024048	2.242000E+01
62	  0.032224450	-1.538000E+00	  0.032224450	1.294270E+02	  0.032224450	5.394000E+00	  0.032224450	2.339500E+01
63	  0.032424849	-1.569000E+00	  0.032424849	1.275220E+02	  0.032424849	5.588000E+00	  0.032424849	2.439600E+01
64	  0.032625251	-1.609000E+00	  0.032625251	1.255900E+02	  0.032625251	5.825000E+00	  0.032625251	2.542500E+01
65	  0.032825653	-1.652000E+00	  0.032825653	1.236360E+02	  0.032825653	6.086000E+00	  0.032825653	2.648000E+01
66	  0.033026051	-1.701000E+00	  0.033026051	1.216480E+02	  0.033026051	6.383000E+00	  0.033026051	2.756800E+01
67	  0.033226453	-1.749000E+00	  0.033226453	1.196290E+02	  0.033226453	6.694000E+00	  0.033226453	2.869200E+01
68	  0.033426855	-1.796000E+00	  0.033426855	1.175560E+02	  0.033426855	7.017000E+00	  0.033426855	2.986800E+01
69	  0.033627257	-1.843000E+00	  0.033627257	1.154410E+02	  0.033627257	7.361000E+00	  0.033627257	3.109100E+01
70	  0.033827655	-1.889000E+00	  0.033827655	1.133080E+02	  0.033827655	7.725000E+00	  0.033827655	3.235000E+01
71	  0.034028057	-1.937000E+00	  0.034028057	1.111660E+02	  0.034028057	8.114000E+00	  0.034028057	3.363900E+01
72	  0.034228459	-1.980000E+00	  0.034228459	1.089800E+02	  0.034228459	8.510000E+00	  0.034228459	3.498800E+01
73	  0.034428857	-2.021000E+00	  0.034428857	1.068350E+02	  0.034428857	8.918000E+00	  0.034428857	3.634200E+01
74	  0.034629259	-2.058000E+00	  0.034629259	1.047100E+02	  0.034629259	9.329000E+00	  0.034629259	3.771800E+01
75	  0.034829661	-2.093000E+00	  0.034829661	1.026110E+02	  0.034829661	9.754000E+00	  0.034829661	3.911200E+01
76	  0.035030060	-2.127000E+00	  0.035030060	1.005380E+02	  0.035030060	1.019500E+01	  0.035030060	4.052300E+01
77	  0.035230462	-2.166000E+00	  0.035230462	9.849500E+01	  0.035230462	1.068600E+01	  0.035230462	4.194300E+01
78	  0.035430863	-2.215000E+00	  0.035430863	9.651900E+01	  0.035430863	1.124500E+01	  0.035430863	4.333800E+01
79	  0.035631265	-2.267000E+00	  0.035631265	9.451000E+01	  0.035631265	1.186400E+01	  0.035631265	4.478700E+01
80	  0.035831664	-2.327000E+00	  0.035831664	9.247000E+01	  0.035831664	1.256200E+01	  0.035831664	4.628700E+01
81	  0.036032066	-2.387000E+00	  0.036032066	9.040000E+01	  0.036032066	1.331700E+01	  0.036032066	4.784500E+01
82	  0.036232468	-2.442000E+00	  0.036232468	8.829800E+01	  0.036232468	1.410500E+01	  0.036232468	4.947700E+01
83	  0.036432866	-2.500000E+00	  0.036432866	8.615800E+01	  0.036432866	1.497200E+01	  0.036432866	5.118000E+01
84	  0.036633268	-2.553000E+00	  0.036633268	8.402100E+01	  0.036633268	1.587400E+01	  0.036633268	5.293700E+01
85	  0.036833670	-2.604000E+00	  0.036833670	8.189800E+01	  0.036833670	1.682800E+01	  0.036833670	5.473400E+01
86	  0.037034072	-2.657000E+00	  0.037034072	7.978000E+01	  0.037034072	1.786200E+01	  0.037034072	5.657600E+01
87	  0.037234470	-2.706000E+00	  0.037234470	7.766800E+01	  0.037234470	1.895200E+01	  0.037234470	5.847300E+01
88	  0.037434869	-2.759000E+00	  0.037434869	7.557500E+01	  0.037434869	2.014400E+01	  0.037434869	6.039600E+01
89	  0.037635271	-2.813000E+00	  0.037635271	7.349100E+01	  0.037635271	2.143900E+01	  0.037635271	6.235700E+01
90	  0.037835669	-2.870000E+00	  0.037835669	7.139500E+01	  0.037835669	2.285800E+01	  0.037835669	6.437900E+01
91	  0.038036071	-2.930000E+00	  0.038036071	6.933500E+01	  0.038036071	2.439900E+01	  0.038036071	6.640000E+01
92	  0.038236473	-2.991000E+00	  0.038236473	6.725000E+01	  0.038236473	2.609000E+01	  0.038236473	6.849400E+01
93	  0.038436871	-3.052000E+00	  0.038436871	6.513400E+01	  0.038436871	2.794200E+01	  0.038436871	7.067200E+01
94	  0.038637273	-3.119000E+00	  0.038637273	6.297600E+01	  0.038637273	3.003500E+01	  0.038637273	7.291600E+01
95	  0.038837675	-3.185000E+00	  0.038837675	6.077800E+01	  0.038837675	3.234200E+01	  0.038837675	7.525600E+01
96	  0.039038073	-3.250000E+00	  0.039038073	5.854100E+01	  0.039038073	3.488400E+01	  0.039038073	7.769500E+01
97	  0.039238475	-3.306000E+00	  0.039238475	5.630500E+01	  0.039238475	3.759900E+01	  0.039238475	8.021800E+01
98	  0.039438877	-3.357000E+00	  0.039438877	5.411200E+01	  0.039438877	4.048100E+01	  0.039438877	8.276100E+01
99	  0.039639279	-3.404000E+00	  0.039639279	5.190500E+01	  0.039639279	4.362000E+01	  0.039639279	8.538900E+01
100	  0.039839678	-3.445000E+00	  0.039839678	4.979000E+01	  0.039839678	4.689600E+01	  0.039839678	8.795300E+01
101	  0.040040080	-3.492000E+00	  0.040040080	4.776100E+01	  0.040040080	5.039800E+01	  0.040040080	9.035400E+01
102	  0.040240481	-3.544000E+00	  0.040240481	4.570400E+01	  0.040240481	5.433200E+01	  0.040240481	9.269400E+01
103	  0.040440880	-3.604000E+00	  0.040440880	4.368100E+01	  0.040440880	5.862300E+01	  0.040440880	9.483400E+01
