! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r20.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:33:17 PM	05/27/2018 12:21:44 PM
! INTERNAL TEMP:    	53.5 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(33.346 ohm, 36.026 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.282000E+00	  0.020000000	1.539440E+02	  0.020000000	2.070100E+01	  0.020000000	9.670000E+00
2	  0.020200402	-7.281000E+00	  0.020200402	1.537060E+02	  0.020200402	2.071300E+01	  0.020200402	9.761000E+00
3	  0.020400802	-7.277000E+00	  0.020400802	1.535000E+02	  0.020400802	2.071900E+01	  0.020400802	9.841000E+00
4	  0.020601204	-7.276000E+00	  0.020601204	1.532770E+02	  0.020601204	2.073200E+01	  0.020601204	9.926000E+00
5	  0.020801604	-7.273000E+00	  0.020801604	1.530690E+02	  0.020801604	2.073900E+01	  0.020801604	1.000600E+01
6	  0.021002004	-7.270000E+00	  0.021002004	1.528290E+02	  0.021002004	2.074800E+01	  0.021002004	1.009800E+01
7	  0.021202406	-7.274000E+00	  0.021202406	1.526100E+02	  0.021202406	2.077600E+01	  0.021202406	1.017900E+01
8	  0.021402806	-7.284000E+00	  0.021402806	1.524090E+02	  0.021402806	2.081500E+01	  0.021402806	1.025100E+01
9	  0.021603208	-7.287000E+00	  0.021603208	1.521540E+02	  0.021603208	2.084200E+01	  0.021603208	1.034500E+01
10	  0.021803608	-7.295000E+00	  0.021803608	1.519150E+02	  0.021803608	2.088100E+01	  0.021803608	1.043200E+01
11	  0.022004008	-7.307000E+00	  0.022004008	1.516730E+02	  0.022004008	2.092800E+01	  0.022004008	1.051800E+01
12	  0.022204408	-7.308000E+00	  0.022204408	1.514170E+02	  0.022204408	2.095100E+01	  0.022204408	1.061400E+01
13	  0.022404809	-7.317000E+00	  0.022404809	1.511390E+02	  0.022404809	2.099400E+01	  0.022404809	1.071600E+01
14	  0.022605211	-7.324000E+00	  0.022605211	1.508410E+02	  0.022605211	2.103500E+01	  0.022605211	1.082500E+01
15	  0.022805611	-7.326000E+00	  0.022805611	1.505380E+02	  0.022805611	2.106500E+01	  0.022805611	1.093900E+01
16	  0.023006011	-7.329000E+00	  0.023006011	1.502330E+02	  0.023006011	2.109900E+01	  0.023006011	1.105300E+01
17	  0.023206413	-7.327000E+00	  0.023206413	1.498920E+02	  0.023206413	2.112200E+01	  0.023206413	1.118400E+01
18	  0.023406813	-7.327000E+00	  0.023406813	1.495880E+02	  0.023406813	2.114500E+01	  0.023406813	1.130000E+01
19	  0.023607215	-7.328000E+00	  0.023607215	1.492650E+02	  0.023607215	2.117500E+01	  0.023607215	1.142200E+01
20	  0.023807615	-7.321000E+00	  0.023807615	1.489420E+02	  0.023807615	2.118500E+01	  0.023807615	1.154900E+01
21	  0.024008015	-7.319000E+00	  0.024008015	1.486310E+02	  0.024008015	2.120700E+01	  0.024008015	1.166900E+01
22	  0.024208417	-7.311000E+00	  0.024208417	1.483740E+02	  0.024208417	2.120900E+01	  0.024208417	1.177200E+01
23	  0.024408817	-7.308000E+00	  0.024408817	1.480980E+02	  0.024408817	2.122600E+01	  0.024408817	1.187800E+01
24	  0.024609219	-7.305000E+00	  0.024609219	1.478820E+02	  0.024609219	2.123700E+01	  0.024609219	1.196300E+01
25	  0.024809619	-7.303000E+00	  0.024809619	1.476510E+02	  0.024809619	2.125200E+01	  0.024809619	1.205300E+01
26	  0.025010020	-7.297000E+00	  0.025010020	1.474290E+02	  0.025010020	2.125800E+01	  0.025010020	1.214100E+01
27	  0.025210422	-7.293000E+00	  0.025210422	1.471890E+02	  0.025210422	2.127000E+01	  0.025210422	1.223500E+01
28	  0.025410822	-7.294000E+00	  0.025410822	1.469400E+02	  0.025410822	2.129400E+01	  0.025410822	1.233000E+01
29	  0.025611224	-7.293000E+00	  0.025611224	1.467260E+02	  0.025611224	2.131000E+01	  0.025611224	1.241400E+01
30	  0.025811624	-7.288000E+00	  0.025811624	1.464860E+02	  0.025811624	2.132100E+01	  0.025811624	1.250900E+01
31	  0.026012026	-7.282000E+00	  0.026012026	1.462530E+02	  0.026012026	2.132800E+01	  0.026012026	1.260200E+01
32	  0.026212426	-7.280000E+00	  0.026212426	1.460170E+02	  0.026212426	2.134400E+01	  0.026212426	1.269400E+01
33	  0.026412826	-7.282000E+00	  0.026412826	1.458050E+02	  0.026412826	2.137100E+01	  0.026412826	1.277400E+01
34	  0.026613226	-7.285000E+00	  0.026613226	1.455650E+02	  0.026613226	2.139900E+01	  0.026613226	1.286500E+01
35	  0.026813626	-7.288000E+00	  0.026813626	1.453710E+02	  0.026813626	2.142800E+01	  0.026813626	1.293700E+01
36	  0.027014028	-7.296000E+00	  0.027014028	1.451750E+02	  0.027014028	2.146600E+01	  0.027014028	1.300800E+01
37	  0.027214428	-7.304000E+00	  0.027214428	1.449590E+02	  0.027214428	2.150700E+01	  0.027214428	1.308600E+01
38	  0.027414829	-7.310000E+00	  0.027414829	1.447450E+02	  0.027414829	2.154500E+01	  0.027414829	1.316500E+01
39	  0.027615231	-7.318000E+00	  0.027615231	1.444930E+02	  0.027615231	2.158900E+01	  0.027615231	1.325700E+01
40	  0.027815631	-7.331000E+00	  0.027815631	1.442020E+02	  0.027815631	2.165300E+01	  0.027815631	1.336000E+01
41	  0.028016033	-7.338000E+00	  0.028016033	1.438700E+02	  0.028016033	2.170200E+01	  0.028016033	1.348400E+01
42	  0.028216433	-7.344000E+00	  0.028216433	1.435480E+02	  0.028216433	2.175100E+01	  0.028216433	1.360400E+01
43	  0.028416833	-7.346000E+00	  0.028416833	1.431750E+02	  0.028416833	2.179600E+01	  0.028416833	1.374600E+01
44	  0.028617235	-7.346000E+00	  0.028617235	1.428270E+02	  0.028617235	2.183200E+01	  0.028617235	1.388100E+01
45	  0.028817635	-7.342000E+00	  0.028817635	1.424760E+02	  0.028817635	2.186000E+01	  0.028817635	1.401900E+01
46	  0.029018037	-7.340000E+00	  0.029018037	1.421260E+02	  0.029018037	2.189300E+01	  0.029018037	1.415600E+01
47	  0.029218437	-7.330000E+00	  0.029218437	1.418150E+02	  0.029218437	2.189900E+01	  0.029218437	1.428500E+01
48	  0.029418837	-7.320000E+00	  0.029418837	1.415400E+02	  0.029418837	2.190400E+01	  0.029418837	1.439900E+01
49	  0.029619239	-7.306000E+00	  0.029619239	1.412940E+02	  0.029619239	2.189700E+01	  0.029619239	1.450400E+01
50	  0.029819639	-7.296000E+00	  0.029819639	1.410580E+02	  0.029819639	2.189600E+01	  0.029819639	1.460400E+01
51	  0.030020041	-7.285000E+00	  0.030020041	1.408790E+02	  0.030020041	2.188800E+01	  0.030020041	1.468200E+01
52	  0.030220442	-7.278000E+00	  0.030220442	1.406790E+02	  0.030220442	2.189200E+01	  0.030220442	1.476500E+01
53	  0.030420844	-7.276000E+00	  0.030420844	1.404870E+02	  0.030420844	2.190800E+01	  0.030420844	1.484200E+01
54	  0.030621244	-7.282000E+00	  0.030621244	1.402890E+02	  0.030621244	2.194700E+01	  0.030621244	1.491400E+01
55	  0.030821644	-7.280000E+00	  0.030821644	1.400390E+02	  0.030821644	2.197000E+01	  0.030821644	1.501400E+01
56	  0.031022044	-7.279000E+00	  0.031022044	1.398010E+02	  0.031022044	2.199700E+01	  0.031022044	1.510700E+01
57	  0.031222444	-7.265000E+00	  0.031222444	1.395930E+02	  0.031222444	2.198400E+01	  0.031222444	1.520000E+01
58	  0.031422846	-7.267000E+00	  0.031422846	1.393550E+02	  0.031422846	2.201700E+01	  0.031422846	1.529200E+01
59	  0.031623244	-7.267000E+00	  0.031623244	1.391280E+02	  0.031623244	2.204400E+01	  0.031623244	1.538100E+01
60	  0.031823646	-7.266000E+00	  0.031823646	1.389370E+02	  0.031823646	2.206300E+01	  0.031823646	1.545700E+01
61	  0.032024048	-7.265000E+00	  0.032024048	1.387290E+02	  0.032024048	2.208500E+01	  0.032024048	1.554000E+01
62	  0.032224450	-7.263000E+00	  0.032224450	1.385150E+02	  0.032224450	2.210500E+01	  0.032224450	1.562600E+01
63	  0.032424849	-7.263000E+00	  0.032424849	1.383100E+02	  0.032424849	2.213200E+01	  0.032424849	1.570600E+01
64	  0.032625251	-7.263000E+00	  0.032625251	1.381110E+02	  0.032625251	2.215600E+01	  0.032625251	1.578400E+01
65	  0.032825653	-7.269000E+00	  0.032825653	1.378880E+02	  0.032825653	2.219900E+01	  0.032825653	1.586800E+01
66	  0.033026051	-7.280000E+00	  0.033026051	1.376540E+02	  0.033026051	2.225600E+01	  0.033026051	1.595000E+01
67	  0.033226453	-7.291000E+00	  0.033226453	1.374020E+02	  0.033226453	2.231500E+01	  0.033226453	1.604100E+01
68	  0.033426855	-7.300000E+00	  0.033426855	1.371080E+02	  0.033426855	2.237500E+01	  0.033426855	1.615000E+01
69	  0.033627257	-7.309000E+00	  0.033627257	1.367750E+02	  0.033627257	2.244000E+01	  0.033627257	1.627400E+01
70	  0.033827655	-7.317000E+00	  0.033827655	1.364450E+02	  0.033827655	2.250500E+01	  0.033827655	1.639700E+01
71	  0.034028057	-7.322000E+00	  0.034028057	1.361260E+02	  0.034028057	2.255900E+01	  0.034028057	1.651900E+01
72	  0.034228459	-7.326000E+00	  0.034228459	1.357470E+02	  0.034228459	2.261900E+01	  0.034228459	1.666500E+01
73	  0.034428857	-7.325000E+00	  0.034428857	1.354440E+02	  0.034428857	2.265700E+01	  0.034428857	1.678600E+01
74	  0.034629259	-7.319000E+00	  0.034629259	1.351010E+02	  0.034629259	2.268700E+01	  0.034629259	1.692700E+01
