! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r20..3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 01:01:36 PM	05/27/2018 12:49:51 PM
! INTERNAL TEMP:    	52.3 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(32.692 ohm, 35.160 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.288000E+00	  0.020000000	1.544710E+02	  0.020000000	2.067800E+01	  0.020000000	9.469000E+00
2	  0.020200402	-7.290000E+00	  0.020200402	1.542190E+02	  0.020200402	2.070100E+01	  0.020200402	9.563000E+00
3	  0.020400802	-7.287000E+00	  0.020400802	1.539890E+02	  0.020400802	2.071000E+01	  0.020400802	9.651000E+00
4	  0.020601204	-7.289000E+00	  0.020601204	1.537380E+02	  0.020601204	2.073100E+01	  0.020601204	9.745000E+00
5	  0.020801604	-7.285000E+00	  0.020801604	1.534840E+02	  0.020801604	2.074000E+01	  0.020801604	9.843000E+00
6	  0.021002004	-7.280000E+00	  0.021002004	1.532500E+02	  0.021002004	2.074300E+01	  0.021002004	9.934000E+00
7	  0.021202406	-7.280000E+00	  0.021202406	1.530000E+02	  0.021202406	2.076200E+01	  0.021202406	1.002900E+01
8	  0.021402806	-7.285000E+00	  0.021402806	1.527610E+02	  0.021402806	2.079300E+01	  0.021402806	1.011600E+01
9	  0.021603208	-7.292000E+00	  0.021603208	1.525360E+02	  0.021603208	2.082600E+01	  0.021603208	1.019800E+01
10	  0.021803608	-7.292000E+00	  0.021803608	1.523010E+02	  0.021803608	2.084400E+01	  0.021803608	1.028700E+01
11	  0.022004008	-7.299000E+00	  0.022004008	1.520440E+02	  0.022004008	2.088000E+01	  0.022004008	1.038100E+01
12	  0.022204408	-7.301000E+00	  0.022204408	1.518200E+02	  0.022204408	2.090100E+01	  0.022204408	1.046600E+01
13	  0.022404809	-7.301000E+00	  0.022404809	1.515470E+02	  0.022404809	2.092300E+01	  0.022404809	1.056900E+01
14	  0.022605211	-7.307000E+00	  0.022605211	1.512990E+02	  0.022605211	2.095700E+01	  0.022605211	1.066000E+01
15	  0.022805611	-7.308000E+00	  0.022805611	1.510380E+02	  0.022805611	2.098000E+01	  0.022805611	1.075800E+01
16	  0.023006011	-7.308000E+00	  0.023006011	1.507670E+02	  0.023006011	2.100100E+01	  0.023006011	1.086100E+01
17	  0.023206413	-7.309000E+00	  0.023206413	1.504810E+02	  0.023206413	2.102700E+01	  0.023206413	1.096900E+01
