! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a..47.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:15:45 PM	05/27/2018 05:09:13 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.737 ohm, -1.313 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.800000E-02	  0.020000000	-5.602500E+01	  0.020000000	3.680000E-01	  0.020000000	-9.398400E+01
2	  0.020200402	-2.500000E-02	  0.020200402	-5.658000E+01	  0.020200402	3.240000E-01	  0.020200402	-9.289700E+01
3	  0.020400802	-2.100000E-02	  0.020400802	-5.712500E+01	  0.020400802	2.710000E-01	  0.020400802	-9.184700E+01
4	  0.020601204	-2.100000E-02	  0.020601204	-5.767700E+01	  0.020601204	2.600000E-01	  0.020601204	-9.080400E+01
5	  0.020801604	-2.100000E-02	  0.020801604	-5.822700E+01	  0.020801604	2.590000E-01	  0.020801604	-8.978100E+01
6	  0.021002004	-2.000000E-02	  0.021002004	-5.881000E+01	  0.021002004	2.450000E-01	  0.021002004	-8.871600E+01
7	  0.021202406	-2.300000E-02	  0.021202406	-5.935200E+01	  0.021202406	2.700000E-01	  0.021202406	-8.774300E+01
8	  0.021402806	-2.300000E-02	  0.021402806	-5.990000E+01	  0.021402806	2.690000E-01	  0.021402806	-8.677600E+01
9	  0.021603208	-2.800000E-02	  0.021603208	-6.044400E+01	  0.021603208	3.200000E-01	  0.021603208	-8.583100E+01
10	  0.021803608	-3.200000E-02	  0.021803608	-6.096500E+01	  0.021803608	3.620000E-01	  0.021803608	-8.494100E+01
11	  0.022004008	-3.500000E-02	  0.022004008	-6.149200E+01	  0.022004008	3.870000E-01	  0.022004008	-8.405300E+01
12	  0.022204408	-3.800000E-02	  0.022204408	-6.203100E+01	  0.022204408	4.150000E-01	  0.022204408	-8.315900E+01
13	  0.022404809	-4.200000E-02	  0.022404809	-6.259500E+01	  0.022404809	4.480000E-01	  0.022404809	-8.224100E+01
14	  0.022605211	-4.100000E-02	  0.022605211	-6.315100E+01	  0.022605211	4.360000E-01	  0.022605211	-8.134900E+01
15	  0.022805611	-4.100000E-02	  0.022805611	-6.371400E+01	  0.022805611	4.310000E-01	  0.022805611	-8.046000E+01
16	  0.023006011	-3.400000E-02	  0.023006011	-6.426700E+01	  0.023006011	3.470000E-01	  0.023006011	-7.960100E+01
17	  0.023206413	-2.700000E-02	  0.023206413	-6.484300E+01	  0.023206413	2.750000E-01	  0.023206413	-7.872000E+01
18	  0.023406813	-2.200000E-02	  0.023406813	-6.539300E+01	  0.023406813	2.210000E-01	  0.023406813	-7.789200E+01
19	  0.023607215	-1.800000E-02	  0.023607215	-6.593400E+01	  0.023607215	1.820000E-01	  0.023607215	-7.708900E+01
