! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a..r50.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:57:18 PM	05/27/2018 04:42:15 PM
! INTERNAL TEMP:    	53.3 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(52.341 ohm, 0.887 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.955700E+01	  0.020000000	4.891000E+01	  0.020000000	5.068900E+01	  0.020000000	8.040000E-01
2	  0.020200402	-3.928600E+01	  0.020200402	4.810800E+01	  0.020200402	5.072300E+01	  0.020200402	8.190000E-01
3	  0.020400802	-3.903800E+01	  0.020400802	4.790000E+01	  0.020400802	5.074700E+01	  0.020400802	8.410000E-01
4	  0.020601204	-3.884100E+01	  0.020601204	4.742000E+01	  0.020601204	5.077100E+01	  0.020601204	8.540000E-01
5	  0.020801604	-3.865300E+01	  0.020801604	4.843300E+01	  0.020801604	5.077300E+01	  0.020801604	8.870000E-01
6	  0.021002004	-3.840200E+01	  0.021002004	4.888900E+01	  0.021002004	5.078800E+01	  0.021002004	9.190000E-01
7	  0.021202406	-3.821300E+01	  0.021202406	4.880200E+01	  0.021202406	5.080600E+01	  0.021202406	9.390000E-01
8	  0.021402806	-3.795200E+01	  0.021402806	4.888500E+01	  0.021402806	5.083000E+01	  0.021402806	9.690000E-01
9	  0.021603208	-3.790700E+01	  0.021603208	4.980700E+01	  0.021603208	5.081800E+01	  0.021603208	9.870000E-01
10	  0.021803608	-3.771300E+01	  0.021803608	5.094000E+01	  0.021803608	5.081600E+01	  0.021803608	1.026000E+00
11	  0.022004008	-3.773500E+01	  0.022004008	5.131700E+01	  0.022004008	5.080700E+01	  0.022004008	1.029000E+00
12	  0.022204408	-3.768600E+01	  0.022204408	5.264500E+01	  0.022204408	5.078700E+01	  0.022204408	1.054000E+00
13	  0.022404809	-3.771500E+01	  0.022404809	5.300200E+01	  0.022404809	5.077700E+01	  0.022404809	1.055000E+00
14	  0.022605211	-3.765500E+01	  0.022605211	5.451800E+01	  0.022605211	5.075400E+01	  0.022605211	1.082000E+00
15	  0.022805611	-3.759900E+01	  0.022805611	5.492900E+01	  0.022805611	5.075100E+01	  0.022805611	1.095000E+00
16	  0.023006011	-3.765100E+01	  0.023006011	5.568600E+01	  0.023006011	5.073200E+01	  0.023006011	1.098000E+00
17	  0.023206413	-3.763000E+01	  0.023206413	5.516000E+01	  0.023206413	5.074400E+01	  0.023206413	1.094000E+00
18	  0.023406813	-3.779200E+01	  0.023406813	5.645600E+01	  0.023406813	5.070500E+01	  0.023406813	1.089000E+00
19	  0.023607215	-3.782700E+01	  0.023607215	5.649700E+01	  0.023607215	5.070200E+01	  0.023607215	1.086000E+00
20	  0.023807615	-3.791900E+01	  0.023807615	5.605100E+01	  0.023807615	5.070300E+01	  0.023807615	1.069000E+00
21	  0.024008015	-3.791200E+01	  0.024008015	5.582900E+01	  0.024008015	5.070800E+01	  0.024008015	1.067000E+00
22	  0.024208417	-3.806100E+01	  0.024208417	5.557700E+01	  0.024208417	5.070000E+01	  0.024208417	1.045000E+00
23	  0.024408817	-3.823400E+01	  0.024408817	5.512500E+01	  0.024408817	5.069500E+01	  0.024408817	1.019000E+00
24	  0.024609219	-3.816200E+01	  0.024609219	5.396600E+01	  0.024609219	5.072100E+01	  0.024609219	1.013000E+00
25	  0.024809619	-3.819500E+01	  0.024809619	5.343200E+01	  0.024809619	5.072800E+01	  0.024809619	1.003000E+00
26	  0.025010020	-3.811500E+01	  0.025010020	5.273300E+01	  0.025010020	5.074700E+01	  0.025010020	1.003000E+00
27	  0.025210422	-3.808600E+01	  0.025210422	5.148900E+01	  0.025210422	5.077200E+01	  0.025210422	9.900000E-01
28	  0.025410822	-3.797600E+01	  0.025410822	5.057800E+01	  0.025410822	5.079800E+01	  0.025410822	9.900000E-01
29	  0.025611224	-3.788600E+01	  0.025611224	5.065800E+01	  0.025611224	5.080500E+01	  0.025611224	1.002000E+00
30	  0.025811624	-3.775900E+01	  0.025811624	4.958100E+01	  0.025811624	5.083600E+01	  0.025811624	1.001000E+00
31	  0.026012026	-3.762100E+01	  0.026012026	4.955800E+01	  0.026012026	5.085000E+01	  0.026012026	1.017000E+00
32	  0.026212426	-3.752600E+01	  0.026212426	4.894700E+01	  0.026212426	5.087000E+01	  0.026212426	1.020000E+00
33	  0.026412826	-3.736700E+01	  0.026412826	4.905900E+01	  0.026412826	5.088400E+01	  0.026412826	1.041000E+00
34	  0.026613226	-3.717400E+01	  0.026613226	4.863800E+01	  0.026613226	5.091200E+01	  0.026613226	1.058000E+00
35	  0.026813626	-3.714300E+01	  0.026813626	4.918600E+01	  0.026813626	5.090500E+01	  0.026813626	1.070000E+00
36	  0.027014028	-3.699700E+01	  0.027014028	4.925400E+01	  0.027014028	5.091900E+01	  0.027014028	1.090000E+00
37	  0.027214428	-3.691700E+01	  0.027214428	4.920600E+01	  0.027214428	5.092800E+01	  0.027214428	1.099000E+00
38	  0.027414829	-3.692500E+01	  0.027414829	4.985500E+01	  0.027414829	5.091400E+01	  0.027414829	1.109000E+00
39	  0.027615231	-3.679100E+01	  0.027615231	4.982100E+01	  0.027615231	5.092900E+01	  0.027615231	1.126000E+00
40	  0.027815631	-3.674000E+01	  0.027815631	5.031700E+01	  0.027815631	5.092500E+01	  0.027815631	1.141000E+00
41	  0.028016033	-3.669100E+01	  0.028016033	5.102000E+01	  0.028016033	5.091500E+01	  0.028016033	1.158000E+00
42	  0.028216433	-3.666000E+01	  0.028216433	5.123700E+01	  0.028216433	5.091400E+01	  0.028216433	1.166000E+00
43	  0.028416833	-3.664500E+01	  0.028416833	5.212900E+01	  0.028416833	5.089700E+01	  0.028416833	1.182000E+00
44	  0.028617235	-3.664000E+01	  0.028617235	5.213100E+01	  0.028617235	5.089800E+01	  0.028617235	1.183000E+00
45	  0.028817635	-3.666500E+01	  0.028817635	5.211200E+01	  0.028817635	5.089500E+01	  0.028817635	1.179000E+00
46	  0.029018037	-3.671300E+01	  0.029018037	5.216200E+01	  0.029018037	5.088900E+01	  0.029018037	1.173000E+00
47	  0.029218437	-3.680500E+01	  0.029218437	5.211500E+01	  0.029218437	5.088100E+01	  0.029218437	1.160000E+00
48	  0.029418837	-3.686500E+01	  0.029418837	5.194300E+01	  0.029418837	5.087900E+01	  0.029418837	1.149000E+00
49	  0.029619239	-3.689800E+01	  0.029619239	5.185400E+01	  0.029619239	5.087700E+01	  0.029619239	1.143000E+00
50	  0.029819639	-3.696900E+01	  0.029819639	5.131300E+01	  0.029819639	5.088100E+01	  0.029819639	1.126000E+00
51	  0.030020041	-3.695600E+01	  0.030020041	5.066200E+01	  0.030020041	5.089500E+01	  0.030020041	1.117000E+00
52	  0.030220442	-3.697100E+01	  0.030220442	5.024100E+01	  0.030220442	5.090200E+01	  0.030220442	1.109000E+00
53	  0.030420844	-3.691400E+01	  0.030420844	4.914800E+01	  0.030420844	5.092900E+01	  0.030420844	1.099000E+00
54	  0.030621244	-3.688500E+01	  0.030621244	4.777900E+01	  0.030621244	5.095900E+01	  0.030621244	1.080000E+00
55	  0.030821644	-3.684000E+01	  0.030821644	4.738500E+01	  0.030821644	5.097200E+01	  0.030821644	1.079000E+00
56	  0.031022044	-3.672200E+01	  0.031022044	4.698700E+01	  0.031022044	5.099300E+01	  0.031022044	1.087000E+00
57	  0.031222444	-3.668500E+01	  0.031222444	4.659800E+01	  0.031222444	5.100400E+01	  0.031222444	1.085000E+00
58	  0.031422846	-3.654200E+01	  0.031422846	4.611900E+01	  0.031422846	5.103000E+01	  0.031422846	1.095000E+00
59	  0.031623244	-3.642800E+01	  0.031623244	4.566800E+01	  0.031623244	5.105300E+01	  0.031623244	1.102000E+00
60	  0.031823646	-3.625700E+01	  0.031823646	4.501700E+01	  0.031823646	5.108700E+01	  0.031823646	1.112000E+00
61	  0.032024048	-3.606900E+01	  0.032024048	4.546000E+01	  0.032024048	5.110200E+01	  0.032024048	1.145000E+00
62	  0.032224450	-3.596600E+01	  0.032224450	4.527600E+01	  0.032224450	5.111900E+01	  0.032224450	1.155000E+00
63	  0.032424849	-3.588300E+01	  0.032424849	4.548300E+01	  0.032424849	5.112500E+01	  0.032424849	1.171000E+00
64	  0.032625251	-3.570600E+01	  0.032625251	4.560600E+01	  0.032625251	5.114600E+01	  0.032625251	1.198000E+00
65	  0.032825653	-3.560800E+01	  0.032825653	4.612200E+01	  0.032825653	5.114700E+01	  0.032825653	1.222000E+00
66	  0.033026051	-3.549000E+01	  0.033026051	4.690200E+01	  0.033026051	5.114500E+01	  0.033026051	1.255000E+00
67	  0.033226453	-3.541100E+01	  0.033226453	4.740300E+01	  0.033226453	5.114500E+01	  0.033226453	1.277000E+00
68	  0.033426855	-3.537800E+01	  0.033426855	4.803100E+01	  0.033426855	5.113500E+01	  0.033426855	1.294000E+00
69	  0.033627257	-3.536400E+01	  0.033627257	4.802800E+01	  0.033627257	5.113600E+01	  0.033627257	1.296000E+00
70	  0.033827655	-3.533800E+01	  0.033827655	4.907700E+01	  0.033827655	5.111500E+01	  0.033827655	1.321000E+00
71	  0.034028057	-3.539600E+01	  0.034028057	4.921900E+01	  0.034028057	5.110500E+01	  0.034028057	1.315000E+00
72	  0.034228459	-3.540700E+01	  0.034228459	5.011100E+01	  0.034228459	5.108200E+01	  0.034228459	1.330000E+00
