! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.47.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:28:45 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	52.5 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.883 ohm, -1.285 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.300000E-02	  0.020000000	-5.600800E+01	  0.020000000	5.700000E-01	  0.020000000	-9.401600E+01
2	  0.020200402	-3.900000E-02	  0.020200402	-5.655000E+01	  0.020200402	5.100000E-01	  0.020200402	-9.295400E+01
3	  0.020400802	-3.600000E-02	  0.020400802	-5.705300E+01	  0.020400802	4.550000E-01	  0.020400802	-9.198400E+01
4	  0.020601204	-3.300000E-02	  0.020601204	-5.758400E+01	  0.020601204	4.190000E-01	  0.020601204	-9.097700E+01
5	  0.020801604	-3.300000E-02	  0.020801604	-5.811600E+01	  0.020801604	4.110000E-01	  0.020801604	-8.998500E+01
6	  0.021002004	-3.200000E-02	  0.021002004	-5.865500E+01	  0.021002004	3.850000E-01	  0.021002004	-8.899600E+01
7	  0.021202406	-3.600000E-02	  0.021202406	-5.921500E+01	  0.021202406	4.270000E-01	  0.021202406	-8.798700E+01
8	  0.021402806	-3.900000E-02	  0.021402806	-5.976400E+01	  0.021402806	4.530000E-01	  0.021402806	-8.701300E+01
9	  0.021603208	-4.100000E-02	  0.021603208	-6.031100E+01	  0.021603208	4.730000E-01	  0.021603208	-8.605800E+01
10	  0.021803608	-4.600000E-02	  0.021803608	-6.084700E+01	  0.021803608	5.170000E-01	  0.021803608	-8.514000E+01
11	  0.022004008	-4.700000E-02	  0.022004008	-6.138200E+01	  0.022004008	5.270000E-01	  0.022004008	-8.423600E+01
12	  0.022204408	-4.900000E-02	  0.022204408	-6.195200E+01	  0.022204408	5.400000E-01	  0.022204408	-8.328900E+01
13	  0.022404809	-5.700000E-02	  0.022404809	-6.255200E+01	  0.022404809	6.100000E-01	  0.022404809	-8.230800E+01
14	  0.022605211	-6.200000E-02	  0.022605211	-6.314000E+01	  0.022605211	6.520000E-01	  0.022605211	-8.136400E+01
15	  0.022805611	-5.900000E-02	  0.022805611	-6.371900E+01	  0.022805611	6.100000E-01	  0.022805611	-8.045100E+01
16	  0.023006011	-4.900000E-02	  0.023006011	-6.431600E+01	  0.023006011	5.070000E-01	  0.023006011	-7.952500E+01
17	  0.023206413	-4.500000E-02	  0.023206413	-6.490300E+01	  0.023206413	4.540000E-01	  0.023206413	-7.862800E+01
18	  0.023406813	-4.100000E-02	  0.023406813	-6.546500E+01	  0.023406813	4.060000E-01	  0.023406813	-7.778300E+01
19	  0.023607215	-4.200000E-02	  0.023607215	-6.603400E+01	  0.023607215	4.130000E-01	  0.023607215	-7.694000E+01
20	  0.023807615	-4.200000E-02	  0.023807615	-6.656300E+01	  0.023807615	4.010000E-01	  0.023807615	-7.616900E+01
21	  0.024008015	-4.600000E-02	  0.024008015	-6.705900E+01	  0.024008015	4.390000E-01	  0.024008015	-7.545400E+01
22	  0.024208417	-5.000000E-02	  0.024208417	-6.755600E+01	  0.024208417	4.710000E-01	  0.024208417	-7.474800E+01
23	  0.024408817	-5.600000E-02	  0.024408817	-6.802100E+01	  0.024408817	5.210000E-01	  0.024408817	-7.409500E+01
24	  0.024609219	-6.200000E-02	  0.024609219	-6.850700E+01	  0.024609219	5.710000E-01	  0.024609219	-7.342000E+01
25	  0.024809619	-6.900000E-02	  0.024809619	-6.903100E+01	  0.024809619	6.210000E-01	  0.024809619	-7.270300E+01
26	  0.025010020	-6.900000E-02	  0.025010020	-6.957100E+01	  0.025010020	6.110000E-01	  0.025010020	-7.197400E+01
27	  0.025210422	-6.900000E-02	  0.025210422	-7.011400E+01	  0.025210422	6.070000E-01	  0.025210422	-7.125100E+01
28	  0.025410822	-7.100000E-02	  0.025410822	-7.066100E+01	  0.025410822	6.120000E-01	  0.025410822	-7.053300E+01
29	  0.025611224	-6.900000E-02	  0.025611224	-7.121200E+01	  0.025611224	5.920000E-01	  0.025611224	-6.982000E+01
30	  0.025811624	-6.900000E-02	  0.025811624	-7.174600E+01	  0.025811624	5.790000E-01	  0.025811624	-6.913700E+01
31	  0.026012026	-6.500000E-02	  0.026012026	-7.228100E+01	  0.026012026	5.430000E-01	  0.026012026	-6.846100E+01
32	  0.026212426	-6.200000E-02	  0.026212426	-7.282300E+01	  0.026212426	5.130000E-01	  0.026212426	-6.778600E+01
33	  0.026412826	-5.900000E-02	  0.026412826	-7.333700E+01	  0.026412826	4.840000E-01	  0.026412826	-6.715300E+01
34	  0.026613226	-6.200000E-02	  0.026613226	-7.385000E+01	  0.026613226	4.970000E-01	  0.026613226	-6.653000E+01
35	  0.026813626	-6.500000E-02	  0.026813626	-7.434000E+01	  0.026813626	5.200000E-01	  0.026813626	-6.594100E+01
36	  0.027014028	-6.800000E-02	  0.027014028	-7.481300E+01	  0.027014028	5.370000E-01	  0.027014028	-6.537900E+01
37	  0.027214428	-7.700000E-02	  0.027214428	-7.532500E+01	  0.027214428	5.990000E-01	  0.027214428	-6.477500E+01
38	  0.027414829	-8.900000E-02	  0.027414829	-7.588700E+01	  0.027414829	6.770000E-01	  0.027414829	-6.412200E+01
39	  0.027615231	-9.600000E-02	  0.027615231	-7.648200E+01	  0.027615231	7.240000E-01	  0.027615231	-6.343900E+01
40	  0.027815631	-1.000000E-01	  0.027815631	-7.710400E+01	  0.027815631	7.410000E-01	  0.027815631	-6.273500E+01
41	  0.028016033	-9.800000E-02	  0.028016033	-7.773400E+01	  0.028016033	7.210000E-01	  0.028016033	-6.203200E+01
42	  0.028216433	-9.100000E-02	  0.028216433	-7.838600E+01	  0.028216433	6.590000E-01	  0.028216433	-6.131600E+01
43	  0.028416833	-8.400000E-02	  0.028416833	-7.899500E+01	  0.028416833	6.010000E-01	  0.028416833	-6.065500E+01
44	  0.028617235	-7.600000E-02	  0.028617235	-7.962000E+01	  0.028617235	5.340000E-01	  0.028617235	-5.998700E+01
45	  0.028817635	-6.800000E-02	  0.028817635	-8.017500E+01	  0.028817635	4.720000E-01	  0.028817635	-5.940000E+01
46	  0.029018037	-6.000000E-02	  0.029018037	-8.067800E+01	  0.029018037	4.160000E-01	  0.029018037	-5.887300E+01
47	  0.029218437	-5.200000E-02	  0.029218437	-8.113200E+01	  0.029218437	3.580000E-01	  0.029218437	-5.840400E+01
48	  0.029418837	-4.900000E-02	  0.029418837	-8.156300E+01	  0.029418837	3.360000E-01	  0.029418837	-5.796100E+01
49	  0.029619239	-4.700000E-02	  0.029619239	-8.197900E+01	  0.029619239	3.190000E-01	  0.029619239	-5.753700E+01
50	  0.029819639	-5.100000E-02	  0.029819639	-8.241300E+01	  0.029819639	3.430000E-01	  0.029819639	-5.710000E+01
51	  0.030020041	-5.600000E-02	  0.030020041	-8.287700E+01	  0.030020041	3.710000E-01	  0.030020041	-5.663500E+01
52	  0.030220442	-6.500000E-02	  0.030220442	-8.337000E+01	  0.030220442	4.260000E-01	  0.030220442	-5.614500E+01
53	  0.030420844	-7.600000E-02	  0.030420844	-8.388600E+01	  0.030420844	4.940000E-01	  0.030420844	-5.563800E+01
54	  0.030621244	-8.500000E-02	  0.030621244	-8.440900E+01	  0.030621244	5.450000E-01	  0.030621244	-5.512900E+01
55	  0.030821644	-9.100000E-02	  0.030821644	-8.494800E+01	  0.030821644	5.770000E-01	  0.030821644	-5.461100E+01
56	  0.031022044	-8.900000E-02	  0.031022044	-8.547400E+01	  0.031022044	5.580000E-01	  0.031022044	-5.411000E+01
57	  0.031222444	-9.000000E-02	  0.031222444	-8.601100E+01	  0.031222444	5.580000E-01	  0.031222444	-5.360400E+01
58	  0.031422846	-9.000000E-02	  0.031422846	-8.651600E+01	  0.031422846	5.540000E-01	  0.031422846	-5.313200E+01
59	  0.031623244	-9.000000E-02	  0.031623244	-8.703500E+01	  0.031623244	5.500000E-01	  0.031623244	-5.265300E+01
60	  0.031823646	-8.800000E-02	  0.031823646	-8.753700E+01	  0.031823646	5.340000E-01	  0.031823646	-5.219300E+01
61	  0.032024048	-8.600000E-02	  0.032024048	-8.801200E+01	  0.032024048	5.140000E-01	  0.032024048	-5.176200E+01
62	  0.032224450	-8.800000E-02	  0.032224450	-8.847000E+01	  0.032224450	5.210000E-01	  0.032224450	-5.135000E+01
63	  0.032424849	-9.600000E-02	  0.032424849	-8.895400E+01	  0.032424849	5.680000E-01	  0.032424849	-5.091700E+01
64	  0.032625251	-1.060000E-01	  0.032625251	-8.945900E+01	  0.032625251	6.160000E-01	  0.032625251	-5.047000E+01
65	  0.032825653	-1.170000E-01	  0.032825653	-9.000300E+01	  0.032825653	6.780000E-01	  0.032825653	-4.999200E+01
66	  0.033026051	-1.260000E-01	  0.033026051	-9.056500E+01	  0.033026051	7.180000E-01	  0.033026051	-4.950300E+01
