! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.47.3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:59:22 PM	05/27/2018 03:52:12 PM
! INTERNAL TEMP:    	52.0 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.720 ohm, -1.171 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.600000E-02	  0.020000000	-5.612500E+01	  0.020000000	3.460000E-01	  0.020000000	-9.378600E+01
2	  0.020200402	-2.500000E-02	  0.020200402	-5.668500E+01	  0.020200402	3.260000E-01	  0.020200402	-9.269300E+01
3	  0.020400802	-2.300000E-02	  0.020400802	-5.722500E+01	  0.020400802	2.980000E-01	  0.020400802	-9.165700E+01
4	  0.020601204	-2.300000E-02	  0.020601204	-5.778600E+01	  0.020601204	2.920000E-01	  0.020601204	-9.059800E+01
5	  0.020801604	-2.500000E-02	  0.020801604	-5.833300E+01	  0.020801604	3.040000E-01	  0.020801604	-8.958600E+01
6	  0.021002004	-2.400000E-02	  0.021002004	-5.889500E+01	  0.021002004	2.920000E-01	  0.021002004	-8.856100E+01
7	  0.021202406	-2.700000E-02	  0.021202406	-5.944900E+01	  0.021202406	3.170000E-01	  0.021202406	-8.757000E+01
8	  0.021402806	-2.900000E-02	  0.021402806	-5.998200E+01	  0.021402806	3.360000E-01	  0.021402806	-8.663200E+01
9	  0.021603208	-3.100000E-02	  0.021603208	-6.051600E+01	  0.021603208	3.580000E-01	  0.021603208	-8.570600E+01
10	  0.021803608	-3.500000E-02	  0.021803608	-6.103900E+01	  0.021803608	3.940000E-01	  0.021803608	-8.481500E+01
11	  0.022004008	-3.600000E-02	  0.022004008	-6.156000E+01	  0.022004008	3.990000E-01	  0.022004008	-8.393900E+01
12	  0.022204408	-4.000000E-02	  0.022204408	-6.209900E+01	  0.022204408	4.320000E-01	  0.022204408	-8.304900E+01
13	  0.022404809	-4.300000E-02	  0.022404809	-6.267100E+01	  0.022404809	4.670000E-01	  0.022404809	-8.211800E+01
14	  0.022605211	-4.600000E-02	  0.022605211	-6.320600E+01	  0.022605211	4.840000E-01	  0.022605211	-8.126100E+01
15	  0.022805611	-4.200000E-02	  0.022805611	-6.376600E+01	  0.022805611	4.400000E-01	  0.022805611	-8.037800E+01
16	  0.023006011	-3.300000E-02	  0.023006011	-6.432500E+01	  0.023006011	3.400000E-01	  0.023006011	-7.951100E+01
