! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.200bohm_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 05:01:30 PM	12/21/2017 04:46:01 PM
! INTERNAL TEMP:    	40.5 C	41.5 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(38.584 ohm, -62.468 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.528000E+00	  0.010000000	-1.093400E+01	  0.010000000	1.734630E+02	  0.010000000	-6.033300E+01
2	  0.010200000	-4.519000E+00	  0.010200000	-1.108800E+01	  0.010200000	1.731540E+02	  0.010200000	-6.120100E+01
3	  0.010400000	-4.517000E+00	  0.010400000	-1.129600E+01	  0.010400000	1.724340E+02	  0.010400000	-6.210700E+01
4	  0.010600000	-4.516000E+00	  0.010600000	-1.150400E+01	  0.010600000	1.716680E+02	  0.010600000	-6.296100E+01
5	  0.010800000	-4.518000E+00	  0.010800000	-1.172100E+01	  0.010800000	1.708010E+02	  0.010800000	-6.378000E+01
6	  0.011000001	-4.518000E+00	  0.011000001	-1.195700E+01	  0.011000001	1.699140E+02	  0.011000001	-6.471500E+01
7	  0.011200000	-4.515000E+00	  0.011200000	-1.217600E+01	  0.011200000	1.691260E+02	  0.011200000	-6.561400E+01
8	  0.011399999	-4.516000E+00	  0.011399999	-1.238800E+01	  0.011399999	1.682960E+02	  0.011399999	-6.641100E+01
9	  0.011600000	-4.520000E+00	  0.011600000	-1.260900E+01	  0.011600000	1.673340E+02	  0.011600000	-6.712700E+01
10	  0.011800000	-4.522000E+00	  0.011800000	-1.282800E+01	  0.011800000	1.664260E+02	  0.011800000	-6.787200E+01
11	  0.012000000	-4.524000E+00	  0.012000000	-1.305200E+01	  0.012000000	1.654820E+02	  0.012000000	-6.859700E+01
12	  0.012200000	-4.528000E+00	  0.012200000	-1.327600E+01	  0.012200000	1.645040E+02	  0.012200000	-6.928100E+01
13	  0.012400000	-4.528000E+00	  0.012400000	-1.350800E+01	  0.012400000	1.635690E+02	  0.012400000	-7.005800E+01
14	  0.012600001	-4.531000E+00	  0.012600001	-1.374100E+01	  0.012600001	1.625830E+02	  0.012600001	-7.078000E+01
15	  0.012800000	-4.535000E+00	  0.012800000	-1.399100E+01	  0.012800000	1.614910E+02	  0.012800000	-7.148900E+01
16	  0.012999999	-4.535000E+00	  0.012999999	-1.419600E+01	  0.012999999	1.606500E+02	  0.012999999	-7.212600E+01
17	  0.013200000	-4.538000E+00	  0.013200000	-1.440400E+01	  0.013200000	1.597620E+02	  0.013200000	-7.271600E+01
18	  0.013400001	-4.541000E+00	  0.013400001	-1.463000E+01	  0.013400001	1.587760E+02	  0.013400001	-7.331300E+01
19	  0.013600000	-4.539000E+00	  0.013600000	-1.487100E+01	  0.013600000	1.578340E+02	  0.013600000	-7.409200E+01
20	  0.013800000	-4.542000E+00	  0.013800000	-1.509800E+01	  0.013800000	1.568400E+02	  0.013800000	-7.466300E+01
21	  0.014000000	-4.543000E+00	  0.014000000	-1.534600E+01	  0.014000000	1.558200E+02	  0.014000000	-7.535600E+01
22	  0.014200001	-4.547000E+00	  0.014200001	-1.556800E+01	  0.014200001	1.548260E+02	  0.014200001	-7.584900E+01
23	  0.014400000	-4.549000E+00	  0.014400000	-1.579400E+01	  0.014400000	1.538720E+02	  0.014400000	-7.642400E+01
24	  0.014599999	-4.550000E+00	  0.014599999	-1.602500E+01	  0.014599999	1.529090E+02	  0.014599999	-7.701100E+01
25	  0.014800000	-4.550000E+00	  0.014800000	-1.626000E+01	  0.014800000	1.519310E+02	  0.014800000	-7.760200E+01
26	  0.015000001	-4.549000E+00	  0.015000001	-1.646900E+01	  0.015000001	1.510860E+02	  0.015000001	-7.814900E+01
27	  0.015200000	-4.551000E+00	  0.015200000	-1.671200E+01	  0.015200000	1.500520E+02	  0.015200000	-7.868600E+01
28	  0.015400000	-4.550000E+00	  0.015400000	-1.693400E+01	  0.015400000	1.491510E+02	  0.015400000	-7.924700E+01
29	  0.015600001	-4.548000E+00	  0.015600001	-1.709600E+01	  0.015600001	1.485150E+02	  0.015600001	-7.968000E+01
30	  0.015800001	-4.550000E+00	  0.015800001	-1.739500E+01	  0.015800001	1.472520E+02	  0.015800001	-8.030700E+01
31	  0.016000001	-4.556000E+00	  0.016000001	-1.762300E+01	  0.016000001	1.462330E+02	  0.016000001	-8.065100E+01
