! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ns.sma.me3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 02:04:20 PM	12/20/2017 02:00:00 PM
! INTERNAL TEMP:    	47.3 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.050000E-01	  0.010000000	-5.891400E+01	  0.010000000	7.178000E+00	  0.010000000	-8.808600E+01
2	  0.010200000	-5.910000E-01	  0.010200000	-6.011100E+01	  0.010200000	6.765000E+00	  0.010200000	-8.600900E+01
3	  0.010400000	-5.970000E-01	  0.010400000	-6.142900E+01	  0.010400000	6.571000E+00	  0.010400000	-8.377900E+01
4	  0.010600000	-5.980000E-01	  0.010600000	-6.262500E+01	  0.010600000	6.359000E+00	  0.010600000	-8.183300E+01
5	  0.010800000	-6.000000E-01	  0.010800000	-6.391000E+01	  0.010800000	6.145000E+00	  0.010800000	-7.981600E+01
6	  0.011000001	-6.000000E-01	  0.011000001	-6.519700E+01	  0.011000001	5.935000E+00	  0.011000001	-7.786600E+01
7	  0.011200000	-6.030000E-01	  0.011200000	-6.645800E+01	  0.011200000	5.762000E+00	  0.011200000	-7.601700E+01
8	  0.011399999	-6.000000E-01	  0.011399999	-6.773600E+01	  0.011399999	5.550000E+00	  0.011399999	-7.421100E+01
9	  0.011600000	-6.010000E-01	  0.011600000	-6.895700E+01	  0.011600000	5.390000E+00	  0.011600000	-7.253600E+01
10	  0.011800000	-6.020000E-01	  0.011800000	-7.023200E+01	  0.011800000	5.224000E+00	  0.011800000	-7.084200E+01
11	  0.012000000	-6.050000E-01	  0.012000000	-7.148600E+01	  0.012000000	5.095000E+00	  0.012000000	-6.922500E+01
12	  0.012200000	-6.030000E-01	  0.012200000	-7.278100E+01	  0.012200000	4.923000E+00	  0.012200000	-6.760900E+01
13	  0.012400000	-6.030000E-01	  0.012400000	-7.407900E+01	  0.012400000	4.773000E+00	  0.012400000	-6.603600E+01
14	  0.012600001	-5.960000E-01	  0.012600001	-7.535900E+01	  0.012600001	4.583000E+00	  0.012600001	-6.453600E+01
15	  0.012800000	-5.990000E-01	  0.012800000	-7.664200E+01	  0.012800000	4.481000E+00	  0.012800000	-6.306600E+01
