! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.n.r200.1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:47:06 PM	12/17/2017 06:38:14 PM
! INTERNAL TEMP:    	43.5 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.546000E+00	  0.010000000	-1.176900E+01	  0.010000000	1.698910E+02	  0.010000000	-6.327000E+01
2	  0.010195807	-4.537000E+00	  0.010195807	-1.193200E+01	  0.010195807	1.695140E+02	  0.010195807	-6.413300E+01
3	  0.010391613	-4.532000E+00	  0.010391613	-1.215300E+01	  0.010391613	1.687980E+02	  0.010391613	-6.510800E+01
4	  0.010587418	-4.539000E+00	  0.010587418	-1.236000E+01	  0.010587418	1.678360E+02	  0.010587418	-6.571400E+01
5	  0.010783225	-4.541000E+00	  0.010783225	-1.260000E+01	  0.010783225	1.668620E+02	  0.010783225	-6.654900E+01
6	  0.010979031	-4.538000E+00	  0.010979031	-1.282400E+01	  0.010979031	1.660430E+02	  0.010979031	-6.742000E+01
7	  0.011174837	-4.544000E+00	  0.011174837	-1.305800E+01	  0.011174837	1.650050E+02	  0.011174837	-6.811300E+01
8	  0.011370643	-4.540000E+00	  0.011370643	-1.328300E+01	  0.011370643	1.642000E+02	  0.011370643	-6.898300E+01
9	  0.011566450	-4.543000E+00	  0.011566450	-1.349400E+01	  0.011566450	1.632960E+02	  0.011566450	-6.962800E+01
10	  0.011762256	-4.542000E+00	  0.011762256	-1.369900E+01	  0.011762256	1.624960E+02	  0.011762256	-7.032900E+01
11	  0.011958062	-4.545000E+00	  0.011958062	-1.396500E+01	  0.011958062	1.613800E+02	  0.011958062	-7.113000E+01
12	  0.012153869	-4.549000E+00	  0.012153869	-1.418000E+01	  0.012153869	1.604400E+02	  0.012153869	-7.172300E+01
13	  0.012349674	-4.549000E+00	  0.012349674	-1.443800E+01	  0.012349674	1.593890E+02	  0.012349674	-7.250900E+01
14	  0.012545481	-4.551000E+00	  0.012545481	-1.468000E+01	  0.012545481	1.583750E+02	  0.012545481	-7.320200E+01
15	  0.012741288	-4.549000E+00	  0.012741288	-1.491100E+01	  0.012741288	1.574730E+02	  0.012741288	-7.393000E+01
16	  0.012937094	-4.557000E+00	  0.012937094	-1.515300E+01	  0.012937094	1.563440E+02	  0.012937094	-7.442800E+01
17	  0.013132900	-4.556000E+00	  0.013132900	-1.540500E+01	  0.013132900	1.553320E+02	  0.013132900	-7.516100E+01
18	  0.013328707	-4.556000E+00	  0.013328707	-1.564700E+01	  0.013328707	1.543400E+02	  0.013328707	-7.582700E+01
19	  0.013524513	-4.556000E+00	  0.013524513	-1.588500E+01	  0.013524513	1.533640E+02	  0.013524513	-7.645600E+01
20	  0.013720319	-4.553000E+00	  0.013720319	-1.611800E+01	  0.013720319	1.524690E+02	  0.013720319	-7.715700E+01
21	  0.013916126	-4.556000E+00	  0.013916126	-1.638600E+01	  0.013916126	1.513240E+02	  0.013916126	-7.777100E+01
