! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.r20.v2.2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:26:12 PM	12/17/2017 06:11:23 PM
! INTERNAL TEMP:    	43.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.220000E+00	  0.010000000	1.677280E+02	  0.010000000	1.985400E+01	  0.010000000	4.535000E+00
2	  0.010195807	-7.210000E+00	  0.010195807	1.675120E+02	  0.010195807	1.983700E+01	  0.010195807	4.617000E+00
3	  0.010391613	-7.206000E+00	  0.010391613	1.672850E+02	  0.010391613	1.983400E+01	  0.010391613	4.703000E+00
4	  0.010587418	-7.206000E+00	  0.010587418	1.670480E+02	  0.010587418	1.984200E+01	  0.010587418	4.791000E+00
5	  0.010783225	-7.208000E+00	  0.010783225	1.668200E+02	  0.010783225	1.985400E+01	  0.010783225	4.875000E+00
6	  0.010979031	-7.209000E+00	  0.010979031	1.665520E+02	  0.010979031	1.986700E+01	  0.010979031	4.974000E+00
7	  0.011174837	-7.208000E+00	  0.011174837	1.663040E+02	  0.011174837	1.987200E+01	  0.011174837	5.067000E+00
8	  0.011370643	-7.209000E+00	  0.011370643	1.660820E+02	  0.011370643	1.988200E+01	  0.011370643	5.149000E+00
9	  0.011566450	-7.209000E+00	  0.011566450	1.658360E+02	  0.011566450	1.989200E+01	  0.011566450	5.240000E+00
10	  0.011762256	-7.209000E+00	  0.011762256	1.656150E+02	  0.011762256	1.989900E+01	  0.011762256	5.323000E+00
11	  0.011958062	-7.210000E+00	  0.011958062	1.653360E+02	  0.011958062	1.991200E+01	  0.011958062	5.426000E+00
12	  0.012153869	-7.213000E+00	  0.012153869	1.650930E+02	  0.012153869	1.992900E+01	  0.012153869	5.516000E+00
13	  0.012349674	-7.211000E+00	  0.012349674	1.648480E+02	  0.012349674	1.993400E+01	  0.012349674	5.608000E+00
14	  0.012545481	-7.209000E+00	  0.012545481	1.646010E+02	  0.012545481	1.993800E+01	  0.012545481	5.700000E+00
15	  0.012741288	-7.213000E+00	  0.012741288	1.643810E+02	  0.012741288	1.995600E+01	  0.012741288	5.782000E+00
16	  0.012937094	-7.215000E+00	  0.012937094	1.641360E+02	  0.012937094	1.997200E+01	  0.012937094	5.872000E+00
