! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ew.n.r200.11.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 02:59:14 PM	12/19/2017 02:53:44 PM
! INTERNAL TEMP:    	46.5 C	46.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.558000E+00	  0.010000000	-1.139900E+01	  0.010000000	1.709470E+02	  0.010000000	-6.151000E+01
2	  0.010200000	-4.546000E+00	  0.010200000	-1.159600E+01	  0.010200000	1.705480E+02	  0.010200000	-6.259800E+01
3	  0.010400000	-4.546000E+00	  0.010400000	-1.188800E+01	  0.010400000	1.694430E+02	  0.010400000	-6.372800E+01
4	  0.010600000	-4.540000E+00	  0.010600000	-1.202400E+01	  0.010600000	1.690940E+02	  0.010600000	-6.442100E+01
5	  0.010800000	-4.545000E+00	  0.010800000	-1.229000E+01	  0.010800000	1.679640E+02	  0.010800000	-6.530500E+01
6	  0.011000001	-4.546000E+00	  0.011000001	-1.251700E+01	  0.011000001	1.670420E+02	  0.011000001	-6.609900E+01
7	  0.011200000	-4.550000E+00	  0.011200000	-1.277400E+01	  0.011200000	1.659520E+02	  0.011200000	-6.693000E+01
8	  0.011399999	-4.547000E+00	  0.011399999	-1.300900E+01	  0.011399999	1.651250E+02	  0.011399999	-6.786300E+01
9	  0.011600000	-4.548000E+00	  0.011600000	-1.323300E+01	  0.011600000	1.642140E+02	  0.011600000	-6.860500E+01
10	  0.011800000	-4.546000E+00	  0.011800000	-1.345000E+01	  0.011800000	1.634030E+02	  0.011800000	-6.939900E+01
11	  0.012000000	-4.545000E+00	  0.012000000	-1.369900E+01	  0.012000000	1.624420E+02	  0.012000000	-7.026600E+01
12	  0.012200000	-4.544000E+00	  0.012200000	-1.394300E+01	  0.012200000	1.614780E+02	  0.012200000	-7.107700E+01
13	  0.012400000	-4.547000E+00	  0.012400000	-1.419300E+01	  0.012400000	1.604220E+02	  0.012400000	-7.181000E+01
14	  0.012600001	-4.546000E+00	  0.012600001	-1.443000E+01	  0.012600001	1.594880E+02	  0.012600001	-7.257800E+01
15	  0.012800000	-4.549000E+00	  0.012800000	-1.464300E+01	  0.012800000	1.585710E+02	  0.012800000	-7.315400E+01
16	  0.012999999	-4.549000E+00	  0.012999999	-1.490000E+01	  0.012999999	1.575140E+02	  0.012999999	-7.389400E+01
17	  0.013200000	-4.548000E+00	  0.013200000	-1.510700E+01	  0.013200000	1.566890E+02	  0.013200000	-7.452200E+01
18	  0.013400001	-4.550000E+00	  0.013400001	-1.536100E+01	  0.013400001	1.556190E+02	  0.013400001	-7.520000E+01
19	  0.013600000	-4.545000E+00	  0.013600000	-1.557800E+01	  0.013600000	1.548200E+02	  0.013600000	-7.593000E+01
20	  0.013800000	-4.544000E+00	  0.013800000	-1.581900E+01	  0.013800000	1.538500E+02	  0.013800000	-7.661000E+01
21	  0.014000000	-4.547000E+00	  0.014000000	-1.603400E+01	  0.014000000	1.529230E+02	  0.014000000	-7.711400E+01
22	  0.014200001	-4.548000E+00	  0.014200001	-1.626800E+01	  0.014200001	1.519270E+02	  0.014200001	-7.766600E+01
23	  0.014400000	-4.548000E+00	  0.014400000	-1.653200E+01	  0.014400000	1.508490E+02	  0.014400000	-7.834200E+01
24	  0.014599999	-4.549000E+00	  0.014599999	-1.674800E+01	  0.014599999	1.499420E+02	  0.014599999	-7.884300E+01
25	  0.014800000	-4.549000E+00	  0.014800000	-1.697900E+01	  0.014800000	1.489880E+02	  0.014800000	-7.939000E+01
26	  0.015000001	-4.549000E+00	  0.015000001	-1.721900E+01	  0.015000001	1.480000E+02	  0.015000001	-7.995000E+01
27	  0.015200000	-4.550000E+00	  0.015200000	-1.743600E+01	  0.015200000	1.470820E+02	  0.015200000	-8.039200E+01
28	  0.015400000	-4.550000E+00	  0.015400000	-1.770900E+01	  0.015400000	1.459580E+02	  0.015400000	-8.099100E+01
29	  0.015600001	-4.550000E+00	  0.015600001	-1.797700E+01	  0.015600001	1.448450E+02	  0.015600001	-8.154200E+01
30	  0.015800001	-4.552000E+00	  0.015800001	-1.816800E+01	  0.015800001	1.440430E+02	  0.015800001	-8.189600E+01
31	  0.016000001	-4.554000E+00	  0.016000001	-1.840500E+01	  0.016000001	1.430440E+02	  0.016000001	-8.231500E+01
32	  0.016200000	-4.556000E+00	  0.016200000	-1.862400E+01	  0.016200000	1.421200E+02	  0.016200000	-8.268300E+01
33	  0.016400000	-4.557000E+00	  0.016400000	-1.887100E+01	  0.016400000	1.410880E+02	  0.016400000	-8.310000E+01
34	  0.016600000	-4.559000E+00	  0.016600000	-1.908700E+01	  0.016600000	1.401880E+02	  0.016600000	-8.345000E+01
35	  0.016799999	-4.559000E+00	  0.016799999	-1.933200E+01	  0.016799999	1.391870E+02	  0.016799999	-8.387800E+01
36	  0.016999999	-4.558000E+00	  0.016999999	-1.957500E+01	  0.016999999	1.382030E+02	  0.016999999	-8.430500E+01
37	  0.017200001	-4.554000E+00	  0.017200001	-1.980500E+01	  0.017200001	1.373100E+02	  0.017200001	-8.478600E+01
38	  0.017400000	-4.554000E+00	  0.017400000	-2.003000E+01	  0.017400000	1.364020E+02	  0.017400000	-8.515500E+01
39	  0.017600000	-4.553000E+00	  0.017600000	-2.028100E+01	  0.017600000	1.353880E+02	  0.017600000	-8.554000E+01
40	  0.017800000	-4.552000E+00	  0.017800000	-2.049000E+01	  0.017800000	1.345600E+02	  0.017800000	-8.587900E+01
41	  0.017999999	-4.555000E+00	  0.017999999	-2.074400E+01	  0.017999999	1.335080E+02	  0.017999999	-8.615500E+01
42	  0.018200001	-4.555000E+00	  0.018200001	-2.096400E+01	  0.018200001	1.326290E+02	  0.018200001	-8.646100E+01
43	  0.018400000	-4.559000E+00	  0.018400000	-2.120000E+01	  0.018400000	1.316490E+02	  0.018400000	-8.666300E+01
44	  0.018600000	-4.561000E+00	  0.018600000	-2.143100E+01	  0.018600000	1.307200E+02	  0.018600000	-8.690900E+01
45	  0.018800002	-4.563000E+00	  0.018800002	-2.167200E+01	  0.018800002	1.297440E+02	  0.018800002	-8.713300E+01
46	  0.019000001	-4.561000E+00	  0.019000001	-2.189500E+01	  0.019000001	1.288800E+02	  0.019000001	-8.743500E+01
47	  0.019200001	-4.561000E+00	  0.019200001	-2.211400E+01	  0.019200001	1.280240E+02	  0.019200001	-8.769300E+01
48	  0.019399999	-4.563000E+00	  0.019399999	-2.234000E+01	  0.019399999	1.271280E+02	  0.019399999	-8.787900E+01
49	  0.019599998	-4.562000E+00	  0.019599998	-2.256700E+01	  0.019599998	1.262520E+02	  0.019599998	-8.813800E+01
50	  0.019800000	-4.562000E+00	  0.019800000	-2.279800E+01	  0.019800000	1.253530E+02	  0.019800000	-8.835800E+01
51	  0.020000000	-4.561000E+00	  0.020000000	-2.299800E+01	  0.020000000	1.245880E+02	  0.020000000	-8.856600E+01
52	  0.020199999	-4.559000E+00	  0.020199999	-2.327200E+01	  0.020199999	1.235460E+02	  0.020199999	-8.885100E+01
53	  0.020400001	-4.561000E+00	  0.020400001	-2.350500E+01	  0.020400001	1.226470E+02	  0.020400001	-8.899500E+01
54	  0.020600000	-4.556000E+00	  0.020600000	-2.372300E+01	  0.020600000	1.218400E+02	  0.020600000	-8.928600E+01
55	  0.020800000	-4.559000E+00	  0.020800000	-2.396600E+01	  0.020800000	1.209080E+02	  0.020800000	-8.940400E+01
56	  0.021000000	-4.560000E+00	  0.021000000	-2.420200E+01	  0.021000000	1.200170E+02	  0.021000000	-8.954400E+01
57	  0.021199999	-4.560000E+00	  0.021199999	-2.445100E+01	  0.021199999	1.190860E+02	  0.021199999	-8.971200E+01
58	  0.021400001	-4.562000E+00	  0.021400001	-2.470000E+01	  0.021400001	1.181540E+02	  0.021400001	-8.981500E+01
59	  0.021600001	-4.561000E+00	  0.021600001	-2.489700E+01	  0.021600001	1.174270E+02	  0.021600001	-8.994300E+01
60	  0.021800000	-4.559000E+00	  0.021800000	-2.513400E+01	  0.021800000	1.165620E+02	  0.021800000	-9.011000E+01
61	  0.022000002	-4.564000E+00	  0.022000002	-2.535600E+01	  0.022000002	1.157320E+02	  0.022000002	-9.010300E+01
62	  0.022200001	-4.564000E+00	  0.022200001	-2.560800E+01	  0.022200001	1.148190E+02	  0.022200001	-9.022200E+01
63	  0.022399999	-4.565000E+00	  0.022399999	-2.583500E+01	  0.022399999	1.139980E+02	  0.022399999	-9.029700E+01
64	  0.022599999	-4.567000E+00	  0.022599999	-2.603400E+01	  0.022599999	1.132820E+02	  0.022599999	-9.033500E+01
65	  0.022799999	-4.567000E+00	  0.022799999	-2.625700E+01	  0.022799999	1.124870E+02	  0.022799999	-9.041200E+01
66	  0.023000000	-4.566000E+00	  0.023000000	-2.651700E+01	  0.023000000	1.115700E+02	  0.023000000	-9.052300E+01
67	  0.023200000	-4.569000E+00	  0.023200000	-2.676100E+01	  0.023200000	1.107080E+02	  0.023200000	-9.052700E+01
68	  0.023399999	-4.574000E+00	  0.023399999	-2.708600E+01	  0.023399999	1.095680E+02	  0.023399999	-9.049200E+01
69	  0.023600001	-4.571000E+00	  0.023600001	-2.722600E+01	  0.023600001	1.090880E+02	  0.023600001	-9.058400E+01
70	  0.023800001	-4.571000E+00	  0.023800001	-2.744700E+01	  0.023800001	1.083290E+02	  0.023800001	-9.063200E+01
71	  0.024000000	-4.567000E+00	  0.024000000	-2.771100E+01	  0.024000000	1.074300E+02	  0.024000000	-9.076200E+01
72	  0.024200000	-4.563000E+00	  0.024200000	-2.795000E+01	  0.024200000	1.066230E+02	  0.024200000	-9.088100E+01
73	  0.024400000	-4.564000E+00	  0.024400000	-2.819100E+01	  0.024400000	1.058110E+02	  0.024400000	-9.089100E+01
74	  0.024600001	-4.563000E+00	  0.024600001	-2.843700E+01	  0.024600001	1.049860E+02	  0.024600001	-9.091200E+01
75	  0.024800001	-4.561000E+00	  0.024800001	-2.867700E+01	  0.024800001	1.041910E+02	  0.024800001	-9.097400E+01
76	  0.025000000	-4.563000E+00	  0.025000000	-2.889000E+01	  0.025000000	1.034900E+02	  0.025000000	-9.092700E+01
77	  0.025200002	-4.565000E+00	  0.025200002	-2.912600E+01	  0.025200002	1.027190E+02	  0.025200002	-9.086600E+01
78	  0.025400000	-4.564000E+00	  0.025400000	-2.933400E+01	  0.025400000	1.020410E+02	  0.025400000	-9.088100E+01
79	  0.025599999	-4.566000E+00	  0.025599999	-2.955700E+01	  0.025599999	1.013250E+02	  0.025599999	-9.082500E+01
80	  0.025799999	-4.567000E+00	  0.025799999	-2.974700E+01	  0.025799999	1.007160E+02	  0.025799999	-9.078200E+01
81	  0.025999999	-4.569000E+00	  0.025999999	-2.995900E+01	  0.025999999	1.000440E+02	  0.025999999	-9.072400E+01
82	  0.026200000	-4.572000E+00	  0.026200000	-3.017700E+01	  0.026200000	9.935700E+01	  0.026200000	-9.062600E+01
83	  0.026400000	-4.577000E+00	  0.026400000	-3.040900E+01	  0.026400000	9.863500E+01	  0.026400000	-9.049900E+01
84	  0.026600000	-4.577000E+00	  0.026600000	-3.063400E+01	  0.026600000	9.793800E+01	  0.026600000	-9.045100E+01
85	  0.026800001	-4.579000E+00	  0.026800001	-3.088000E+01	  0.026800001	9.718200E+01	  0.026800001	-9.036800E+01
86	  0.027000001	-4.578000E+00	  0.027000001	-3.112300E+01	  0.027000001	9.644100E+01	  0.027000001	-9.032300E+01
87	  0.027200000	-4.577000E+00	  0.027200000	-3.136400E+01	  0.027200000	9.570800E+01	  0.027200000	-9.028400E+01
88	  0.027400000	-4.578000E+00	  0.027400000	-3.162000E+01	  0.027400000	9.494200E+01	  0.027400000	-9.019900E+01
89	  0.027600000	-4.579000E+00	  0.027600000	-3.184800E+01	  0.027600000	9.426500E+01	  0.027600000	-9.011200E+01
90	  0.027800001	-4.583000E+00	  0.027800001	-3.212700E+01	  0.027800001	9.345000E+01	  0.027800001	-8.995100E+01
91	  0.028000001	-4.585000E+00	  0.028000001	-3.237700E+01	  0.028000001	9.272400E+01	  0.028000001	-8.981600E+01
92	  0.028200001	-4.587000E+00	  0.028200001	-3.263000E+01	  0.028200001	9.199700E+01	  0.028200001	-8.970500E+01
93	  0.028400002	-4.584000E+00	  0.028400002	-3.290000E+01	  0.028400002	9.121600E+01	  0.028400002	-8.964900E+01
94	  0.028600000	-4.580000E+00	  0.028600000	-3.313600E+01	  0.028600000	9.053400E+01	  0.028600000	-8.963500E+01
95	  0.028800000	-4.576000E+00	  0.028800000	-3.335100E+01	  0.028800000	8.991800E+01	  0.028800000	-8.961000E+01
96	  0.028999999	-4.575000E+00	  0.028999999	-3.354900E+01	  0.028999999	8.935900E+01	  0.028999999	-8.954300E+01
97	  0.029199999	-4.573000E+00	  0.029199999	-3.374500E+01	  0.029199999	8.880700E+01	  0.029199999	-8.949000E+01
98	  0.029400000	-4.573000E+00	  0.029400000	-3.393200E+01	  0.029400000	8.829100E+01	  0.029400000	-8.940800E+01
99	  0.029600000	-4.576000E+00	  0.029600000	-3.413800E+01	  0.029600000	8.773400E+01	  0.029600000	-8.925100E+01
100	  0.029800000	-4.581000E+00	  0.029800000	-3.436000E+01	  0.029800000	8.714500E+01	  0.029800000	-8.906900E+01
101	  0.030000001	-4.588000E+00	  0.030000001	-3.459400E+01	  0.030000001	8.654000E+01	  0.030000001	-8.881400E+01
102	  0.030200001	-4.594000E+00	  0.030200001	-3.483900E+01	  0.030200001	8.590300E+01	  0.030200001	-8.858900E+01
103	  0.030400001	-4.597000E+00	  0.030400001	-3.510000E+01	  0.030400001	8.522600E+01	  0.030400001	-8.839200E+01
104	  0.030600000	-4.599000E+00	  0.030600000	-3.536200E+01	  0.030600000	8.454600E+01	  0.030600000	-8.822700E+01
105	  0.030800000	-4.598000E+00	  0.030800000	-3.563900E+01	  0.030800000	8.382500E+01	  0.030800000	-8.808400E+01
106	  0.031000001	-4.596000E+00	  0.031000001	-3.589700E+01	  0.031000001	8.315300E+01	  0.031000001	-8.797900E+01
