! Anritsu VNA Master:             ,Model: MS2036C/10/77
! SN:             ,1601066
! /card0/usr/256.ew.sma.me.csv
! Existing Calibration Information:
! TYPE:             ,Current Settings,Active Cal Settings
! TIME:             ,12/19/2017 02:39:05 PM,12/19/2017 02:22:10 PM
! INTERNAL TEMP:    ,46.0 C,45.0 C
! # POINTS:         ,501,501
! START FREQ:       ,10.000 MHz,10.000 MHz
! STOP FREQ:        ,110.000 MHz,110.000 MHz
! SOURCE POWER:     ,High,High
! IFBW:             ,100 Hz,100 Hz
! AVG FACTOR:       ,  1 ,  1 
! REF PLANE 1:      ,0 mm,0 mm
! REF PLANE 2:      ,0 mm,0 mm
! CAL TYPE:         ,Full S11,Full S11
! CAL METHOD:       ,SOLT,SOLT
! CAL LINE TYPE:    ,Coax,Coax
! DUT PORT 1:       ,N-Conn(F),N-Conn(F)
! DUT PORT 2:       ,K-Conn(F),K-Conn(F)
! CAL STATUS:       ,OK: Accuracy High,--
! PROP-V:       ,0.700
! CABLE LOSS:       ,0.000 dB/m
! REF IMPEDANCE:       ,50.0
! Trace Specific Parameters:,TR1,TR2,TR3,TR4
! TRACE.#.Y (GRAPH TYPE),LOG MAG,PHASE,REAL IMPEDANCE,IMAGINARY IMPEDANCE
! TRACE.#.X ,FREQ.GHZ,FREQ.GHZ,FREQ.GHZ,FREQ.GHZ
! S-PARAMETER,S11,S11,S11,S11
! SMOOTH/APERTURE %,0,0,0,0
! WINDOW,NSL,NSL,NSL,NSL
! GATING,OFF,OFF,OFF,OFF
! FGTD,OFF,OFF,OFF,OFF
Marker Information per Trace:,TR1,TR2,TR3,TR4
!MK1,--,--,--,--
!MK2,--,--,--,--
!MK3,--,--,--,--
!MK4,--,--,--,--
!MK5,--,--,--,--
!MK6,--,--,--,--
!MK7,--,--,--,--
!MK8,--,--,--,--
PNT,TR1.FREQ.GHZ,TR1.LOG MAG.dB,TR2.FREQ.GHZ,TR2.PHASE.deg,TR3.FREQ.GHZ,TR3.REAL IMPEDANCE.ohm,TR4.FREQ.GHZ,TR4.IMAGINARY IMPEDANCE.ohm
1,  0.010000000,-5.980000E-01,  0.010000000,-5.898000E+01,  0.010000000,7.077000E+00,  0.010000000,-8.797900E+01
2,  0.010200000,-5.850000E-01,  0.010200000,-6.021100E+01,  0.010200000,6.667000E+00,  0.010200000,-8.584600E+01
3,  0.010400000,-5.870000E-01,  0.010400000,-6.147100E+01,  0.010400000,6.454000E+00,  0.010400000,-8.372200E+01
4,  0.010600000,-5.900000E-01,  0.010600000,-6.273900E+01,  0.010600000,6.248000E+00,  0.010600000,-8.166300E+01
5,  0.010800000,-5.900000E-01,  0.010800000,-6.403500E+01,  0.010800000,6.022000E+00,  0.010800000,-7.963400E+01
6,  0.011000001,-5.920000E-01,  0.011000001,-6.529100E+01,  0.011000001,5.845000E+00,  0.011000001,-7.773400E+01
7,  0.011200000,-5.910000E-01,  0.011200000,-6.658500E+01,  0.011200000,5.630000E+00,  0.011200000,-7.584700E+01
8,  0.011399999,-5.930000E-01,  0.011399999,-6.783500E+01,  0.011399999,5.473000E+00,  0.011399999,-7.408000E+01
9,  0.011600000,-5.920000E-01,  0.011600000,-6.910100E+01,  0.011600000,5.287000E+00,  0.011600000,-7.235000E+01
10,  0.011800000,-5.900000E-01,  0.011800000,-7.035100E+01,  0.011800000,5.111000E+00,  0.011800000,-7.069600E+01
11,  0.012000000,-5.910000E-01,  0.012000000,-7.162100E+01,  0.012000000,4.963000E+00,  0.012000000,-6.906500E+01
12,  0.012200000,-5.880000E-01,  0.012200000,-7.290300E+01,  0.012200000,4.789000E+00,  0.012200000,-6.747000E+01
13,  0.012400000,-5.860000E-01,  0.012400000,-7.420300E+01,  0.012400000,4.629000E+00,  0.012400000,-6.590100E+01
14,  0.012600001,-5.840000E-01,  0.012600001,-7.548600E+01,  0.012600001,4.480000E+00,  0.012600001,-6.439700E+01
15,  0.012800000,-5.820000E-01,  0.012800000,-7.675600E+01,  0.012800000,4.341000E+00,  0.012800000,-6.294900E+01
16,  0.012999999,-5.820000E-01,  0.012999999,-7.805000E+01,  0.012999999,4.219000E+00,  0.012999999,-6.151400E+01
