! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ew.sma.r20.21.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 02:42:03 PM	12/19/2017 02:22:10 PM
! INTERNAL TEMP:    	46.3 C	45.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.220000E+00	  0.010000000	1.677650E+02	  0.010000000	1.985300E+01	  0.010000000	4.521000E+00
2	  0.010200000	-7.206000E+00	  0.010200000	1.675810E+02	  0.010200000	1.982300E+01	  0.010200000	4.593000E+00
3	  0.010400000	-7.205000E+00	  0.010400000	1.673530E+02	  0.010400000	1.983000E+01	  0.010400000	4.677000E+00
4	  0.010600000	-7.204000E+00	  0.010600000	1.671210E+02	  0.010600000	1.983400E+01	  0.010600000	4.764000E+00
5	  0.010800000	-7.208000E+00	  0.010800000	1.669100E+02	  0.010800000	1.985200E+01	  0.010800000	4.842000E+00
6	  0.011000001	-7.212000E+00	  0.011000001	1.666340E+02	  0.011000001	1.986900E+01	  0.011000001	4.943000E+00
7	  0.011200000	-7.205000E+00	  0.011200000	1.664150E+02	  0.011200000	1.986000E+01	  0.011200000	5.026000E+00
8	  0.011399999	-7.211000E+00	  0.011399999	1.661860E+02	  0.011399999	1.988200E+01	  0.011399999	5.110000E+00
9	  0.011600000	-7.219000E+00	  0.011600000	1.659750E+02	  0.011600000	1.991000E+01	  0.011600000	5.187000E+00
10	  0.011800000	-7.216000E+00	  0.011800000	1.657280E+02	  0.011800000	1.991300E+01	  0.011800000	5.279000E+00
11	  0.012000000	-7.218000E+00	  0.012000000	1.654790E+02	  0.012000000	1.992600E+01	  0.012000000	5.371000E+00
12	  0.012200000	-7.223000E+00	  0.012200000	1.652320E+02	  0.012200000	1.994700E+01	  0.012200000	5.462000E+00
13	  0.012400000	-7.224000E+00	  0.012400000	1.649750E+02	  0.012400000	1.995900E+01	  0.012400000	5.557000E+00
14	  0.012600001	-7.227000E+00	  0.012600001	1.647410E+02	  0.012600001	1.997800E+01	  0.012600001	5.644000E+00
15	  0.012800000	-7.232000E+00	  0.012800000	1.645050E+02	  0.012800000	1.999800E+01	  0.012800000	5.730000E+00
16	  0.012999999	-7.234000E+00	  0.012999999	1.642690E+02	  0.012999999	2.001300E+01	  0.012999999	5.818000E+00
17	  0.013200000	-7.237000E+00	  0.013200000	1.640020E+02	  0.013200000	2.003200E+01	  0.013200000	5.916000E+00
18	  0.013400001	-7.240000E+00	  0.013400001	1.637690E+02	  0.013400001	2.004800E+01	  0.013400001	6.002000E+00
19	  0.013600000	-7.239000E+00	  0.013600000	1.635410E+02	  0.013600000	2.005500E+01	  0.013600000	6.087000E+00
20	  0.013800000	-7.238000E+00	  0.013800000	1.632800E+02	  0.013800000	2.006500E+01	  0.013800000	6.185000E+00
21	  0.014000000	-7.238000E+00	  0.014000000	1.630400E+02	  0.014000000	2.007500E+01	  0.014000000	6.274000E+00
22	  0.014200001	-7.239000E+00	  0.014200001	1.627980E+02	  0.014200001	2.008800E+01	  0.014200001	6.364000E+00
23	  0.014400000	-7.240000E+00	  0.014400000	1.625390E+02	  0.014400000	2.010100E+01	  0.014400000	6.461000E+00
24	  0.014599999	-7.239000E+00	  0.014599999	1.622750E+02	  0.014599999	2.011200E+01	  0.014599999	6.559000E+00
25	  0.014800000	-7.245000E+00	  0.014800000	1.620410E+02	  0.014800000	2.013700E+01	  0.014800000	6.645000E+00
26	  0.015000001	-7.249000E+00	  0.015000001	1.617820E+02	  0.015000001	2.015900E+01	  0.015000001	6.741000E+00
27	  0.015200000	-7.250000E+00	  0.015200000	1.615260E+02	  0.015200000	2.017500E+01	  0.015200000	6.836000E+00
28	  0.015400000	-7.249000E+00	  0.015400000	1.612760E+02	  0.015400000	2.018400E+01	  0.015400000	6.929000E+00
29	  0.015600001	-7.247000E+00	  0.015600001	1.610410E+02	  0.015600001	2.019100E+01	  0.015600001	7.018000E+00
30	  0.015800001	-7.250000E+00	  0.015800001	1.607880E+02	  0.015800001	2.021000E+01	  0.015800001	7.111000E+00
31	  0.016000001	-7.248000E+00	  0.016000001	1.605260E+02	  0.016000001	2.022000E+01	  0.016000001	7.210000E+00
32	  0.016200000	-7.251000E+00	  0.016200000	1.602820E+02	  0.016200000	2.023800E+01	  0.016200000	7.300000E+00
33	  0.016400000	-7.248000E+00	  0.016400000	1.600600E+02	  0.016400000	2.024200E+01	  0.016400000	7.384000E+00
34	  0.016600000	-7.251000E+00	  0.016600000	1.598270E+02	  0.016600000	2.026200E+01	  0.016600000	7.471000E+00
35	  0.016799999	-7.245000E+00	  0.016799999	1.595870E+02	  0.016799999	2.026100E+01	  0.016799999	7.563000E+00
36	  0.016999999	-7.248000E+00	  0.016999999	1.593250E+02	  0.016999999	2.028100E+01	  0.016999999	7.660000E+00
37	  0.017200001	-7.248000E+00	  0.017200001	1.591080E+02	  0.017200001	2.029300E+01	  0.017200001	7.741000E+00
38	  0.017400000	-7.248000E+00	  0.017400000	1.588850E+02	  0.017400000	2.030500E+01	  0.017400000	7.825000E+00
39	  0.017600000	-7.249000E+00	  0.017600000	1.586370E+02	  0.017600000	2.032200E+01	  0.017600000	7.917000E+00
40	  0.017800000	-7.251000E+00	  0.017800000	1.584170E+02	  0.017800000	2.034000E+01	  0.017800000	7.999000E+00
41	  0.017999999	-7.249000E+00	  0.017999999	1.581710E+02	  0.017999999	2.034800E+01	  0.017999999	8.092000E+00
42	  0.018200001	-7.250000E+00	  0.018200001	1.579510E+02	  0.018200001	2.036400E+01	  0.018200001	8.174000E+00
43	  0.018400000	-7.249000E+00	  0.018400000	1.577140E+02	  0.018400000	2.037500E+01	  0.018400000	8.264000E+00
44	  0.018600000	-7.255000E+00	  0.018600000	1.574770E+02	  0.018600000	2.040400E+01	  0.018600000	8.351000E+00
45	  0.018800002	-7.256000E+00	  0.018800002	1.572170E+02	  0.018800002	2.042300E+01	  0.018800002	8.448000E+00
