! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.n.r200.11.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 04:04:19 PM	12/19/2017 03:58:02 PM
! INTERNAL TEMP:    	47.0 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.539000E+00	  0.010000000	-1.136200E+01	  0.010000000	1.716000E+02	  0.010000000	-6.183300E+01
2	  0.010200000	-4.527000E+00	  0.010200000	-1.155200E+01	  0.010200000	1.712180E+02	  0.010200000	-6.290000E+01
3	  0.010400000	-4.527000E+00	  0.010400000	-1.176000E+01	  0.010400000	1.704160E+02	  0.010400000	-6.370500E+01
4	  0.010600000	-4.527000E+00	  0.010600000	-1.201800E+01	  0.010600000	1.694410E+02	  0.010600000	-6.472000E+01
5	  0.010800000	-4.528000E+00	  0.010800000	-1.223500E+01	  0.010800000	1.685890E+02	  0.010800000	-6.552600E+01
6	  0.011000001	-4.531000E+00	  0.011000001	-1.248300E+01	  0.011000001	1.675390E+02	  0.011000001	-6.635500E+01
7	  0.011200000	-4.532000E+00	  0.011200000	-1.271000E+01	  0.011200000	1.666530E+02	  0.011200000	-6.718200E+01
8	  0.011399999	-4.530000E+00	  0.011399999	-1.294600E+01	  0.011399999	1.657570E+02	  0.011399999	-6.806700E+01
9	  0.011600000	-4.531000E+00	  0.011600000	-1.317800E+01	  0.011600000	1.648240E+02	  0.011600000	-6.886300E+01
10	  0.011800000	-4.532000E+00	  0.011800000	-1.341100E+01	  0.011800000	1.638670E+02	  0.011800000	-6.962400E+01
11	  0.012000000	-4.532000E+00	  0.012000000	-1.364500E+01	  0.012000000	1.629330E+02	  0.012000000	-7.041800E+01
12	  0.012200000	-4.531000E+00	  0.012200000	-1.390800E+01	  0.012200000	1.619010E+02	  0.012200000	-7.131100E+01
13	  0.012400000	-4.532000E+00	  0.012400000	-1.413200E+01	  0.012400000	1.609710E+02	  0.012400000	-7.199700E+01
14	  0.012600001	-4.535000E+00	  0.012600001	-1.436800E+01	  0.012600001	1.599540E+02	  0.012600001	-7.266000E+01
15	  0.012800000	-4.536000E+00	  0.012800000	-1.460300E+01	  0.012800000	1.589810E+02	  0.012800000	-7.336000E+01
16	  0.012999999	-4.536000E+00	  0.012999999	-1.482200E+01	  0.012999999	1.580850E+02	  0.012999999	-7.401900E+01
17	  0.013200000	-4.537000E+00	  0.013200000	-1.505600E+01	  0.013200000	1.571110E+02	  0.013200000	-7.467600E+01
18	  0.013400001	-4.537000E+00	  0.013400001	-1.527600E+01	  0.013400001	1.562080E+02	  0.013400001	-7.530500E+01
19	  0.013600000	-4.537000E+00	  0.013600000	-1.550100E+01	  0.013600000	1.552890E+02	  0.013600000	-7.594300E+01
20	  0.013800000	-4.535000E+00	  0.013800000	-1.573800E+01	  0.013800000	1.543470E+02	  0.013800000	-7.664400E+01
21	  0.014000000	-4.535000E+00	  0.014000000	-1.596900E+01	  0.014000000	1.533830E+02	  0.014000000	-7.724800E+01
22	  0.014200001	-4.536000E+00	  0.014200001	-1.619700E+01	  0.014200001	1.524240E+02	  0.014200001	-7.781400E+01
23	  0.014400000	-4.536000E+00	  0.014400000	-1.643000E+01	  0.014400000	1.514580E+02	  0.014400000	-7.840700E+01
24	  0.014599999	-4.538000E+00	  0.014599999	-1.666500E+01	  0.014599999	1.504670E+02	  0.014599999	-7.894900E+01
25	  0.014800000	-4.539000E+00	  0.014800000	-1.689300E+01	  0.014800000	1.494910E+02	  0.014800000	-7.944400E+01
26	  0.015000001	-4.540000E+00	  0.015000001	-1.712200E+01	  0.015000001	1.485380E+02	  0.015000001	-7.996900E+01
27	  0.015200000	-4.541000E+00	  0.015200000	-1.735100E+01	  0.015200000	1.475710E+02	  0.015200000	-8.046000E+01
28	  0.015400000	-4.543000E+00	  0.015400000	-1.758900E+01	  0.015400000	1.465480E+02	  0.015400000	-8.091000E+01
29	  0.015600001	-4.542000E+00	  0.015600001	-1.771100E+01	  0.015600001	1.460640E+02	  0.015600001	-8.121900E+01
30	  0.015800001	-4.547000E+00	  0.015800001	-1.806100E+01	  0.015800001	1.445530E+02	  0.015800001	-8.181700E+01
31	  0.016000001	-4.547000E+00	  0.016000001	-1.830100E+01	  0.016000001	1.435610E+02	  0.016000001	-8.230200E+01
32	  0.016200000	-4.545000E+00	  0.016200000	-1.852200E+01	  0.016200000	1.426670E+02	  0.016200000	-8.277200E+01
33	  0.016400000	-4.553000E+00	  0.016400000	-1.873300E+01	  0.016400000	1.417040E+02	  0.016400000	-8.296500E+01
34	  0.016600000	-4.553000E+00	  0.016600000	-1.896900E+01	  0.016600000	1.407390E+02	  0.016600000	-8.339600E+01
35	  0.016799999	-4.552000E+00	  0.016799999	-1.921200E+01	  0.016799999	1.397550E+02	  0.016799999	-8.385500E+01
36	  0.016999999	-4.553000E+00	  0.016999999	-1.946400E+01	  0.016999999	1.387150E+02	  0.016999999	-8.426300E+01
37	  0.017200001	-4.549000E+00	  0.017200001	-1.967800E+01	  0.017200001	1.378890E+02	  0.017200001	-8.472900E+01
38	  0.017400000	-4.548000E+00	  0.017400000	-1.992100E+01	  0.017400000	1.369020E+02	  0.017400000	-8.512500E+01
39	  0.017600000	-4.546000E+00	  0.017600000	-2.015300E+01	  0.017600000	1.359820E+02	  0.017600000	-8.555200E+01
40	  0.017800000	-4.550000E+00	  0.017800000	-2.038000E+01	  0.017800000	1.350190E+02	  0.017800000	-8.577300E+01
41	  0.017999999	-4.549000E+00	  0.017999999	-2.062300E+01	  0.017999999	1.340510E+02	  0.017999999	-8.615600E+01
42	  0.018200001	-4.547000E+00	  0.018200001	-2.084700E+01	  0.018200001	1.331640E+02	  0.018200001	-8.650300E+01
43	  0.018400000	-4.553000E+00	  0.018400000	-2.107700E+01	  0.018400000	1.321890E+02	  0.018400000	-8.664900E+01
44	  0.018600000	-4.557000E+00	  0.018600000	-2.131400E+01	  0.018600000	1.312150E+02	  0.018600000	-8.685700E+01
45	  0.018800002	-4.558000E+00	  0.018800002	-2.155200E+01	  0.018800002	1.302600E+02	  0.018800002	-8.712300E+01
46	  0.019000001	-4.556000E+00	  0.019000001	-2.179400E+01	  0.019000001	1.293180E+02	  0.019000001	-8.746000E+01
47	  0.019200001	-4.557000E+00	  0.019200001	-2.201800E+01	  0.019200001	1.284270E+02	  0.019200001	-8.767100E+01
48	  0.019399999	-4.558000E+00	  0.019399999	-2.224900E+01	  0.019399999	1.275160E+02	  0.019399999	-8.791400E+01
49	  0.019599998	-4.560000E+00	  0.019599998	-2.247600E+01	  0.019599998	1.266160E+02	  0.019599998	-8.808500E+01
50	  0.019800000	-4.560000E+00	  0.019800000	-2.269700E+01	  0.019800000	1.257570E+02	  0.019800000	-8.831100E+01
51	  0.020000000	-4.559000E+00	  0.020000000	-2.294400E+01	  0.020000000	1.248080E+02	  0.020000000	-8.856300E+01
52	  0.020199999	-4.558000E+00	  0.020199999	-2.317900E+01	  0.020199999	1.239080E+02	  0.020199999	-8.880400E+01
53	  0.020400001	-4.558000E+00	  0.020400001	-2.341300E+01	  0.020400001	1.230140E+02	  0.020400001	-8.900900E+01
54	  0.020600000	-4.555000E+00	  0.020600000	-2.365400E+01	  0.020600000	1.221090E+02	  0.020600000	-8.925600E+01
55	  0.020800000	-4.554000E+00	  0.020800000	-2.388300E+01	  0.020800000	1.212440E+02	  0.020800000	-8.946000E+01
56	  0.021000000	-4.554000E+00	  0.021000000	-2.412700E+01	  0.021000000	1.203230E+02	  0.021000000	-8.962400E+01
57	  0.021199999	-4.560000E+00	  0.021199999	-2.438000E+01	  0.021199999	1.193480E+02	  0.021199999	-8.965800E+01
58	  0.021400001	-4.555000E+00	  0.021400001	-2.460700E+01	  0.021400001	1.185220E+02	  0.021400001	-8.991700E+01
59	  0.021600001	-4.557000E+00	  0.021600001	-2.482800E+01	  0.021600001	1.176940E+02	  0.021600001	-8.999800E+01
60	  0.021800000	-4.557000E+00	  0.021800000	-2.506300E+01	  0.021800000	1.168280E+02	  0.021800000	-9.012200E+01
61	  0.022000002	-4.559000E+00	  0.022000002	-2.530200E+01	  0.022000002	1.159490E+02	  0.022000002	-9.021300E+01
62	  0.022200001	-4.559000E+00	  0.022200001	-2.552300E+01	  0.022200001	1.151420E+02	  0.022200001	-9.029800E+01
63	  0.022399999	-4.561000E+00	  0.022399999	-2.573700E+01	  0.022399999	1.143640E+02	  0.022399999	-9.035500E+01
64	  0.022599999	-4.560000E+00	  0.022599999	-2.595700E+01	  0.022599999	1.135730E+02	  0.022599999	-9.045600E+01
65	  0.022799999	-4.560000E+00	  0.022799999	-2.617500E+01	  0.022799999	1.127970E+02	  0.022799999	-9.055900E+01
66	  0.023000000	-4.561000E+00	  0.023000000	-2.641100E+01	  0.023000000	1.119530E+02	  0.023000000	-9.060500E+01
67	  0.023200000	-4.563000E+00	  0.023200000	-2.663300E+01	  0.023200000	1.111670E+02	  0.023200000	-9.061900E+01
68	  0.023399999	-4.564000E+00	  0.023399999	-2.688400E+01	  0.023399999	1.102860E+02	  0.023399999	-9.066100E+01
69	  0.023600001	-4.565000E+00	  0.023600001	-2.709800E+01	  0.023600001	1.095390E+02	  0.023600001	-9.069800E+01
70	  0.023800001	-4.562000E+00	  0.023800001	-2.732500E+01	  0.023800001	1.087590E+02	  0.023800001	-9.080100E+01
71	  0.024000000	-4.561000E+00	  0.024000000	-2.757800E+01	  0.024000000	1.078920E+02	  0.024000000	-9.088600E+01
72	  0.024200000	-4.555000E+00	  0.024200000	-2.780500E+01	  0.024200000	1.071200E+02	  0.024200000	-9.105000E+01
73	  0.024400000	-4.555000E+00	  0.024400000	-2.805800E+01	  0.024400000	1.062630E+02	  0.024400000	-9.107100E+01
74	  0.024600001	-4.555000E+00	  0.024600001	-2.828700E+01	  0.024600001	1.054920E+02	  0.024600001	-9.109400E+01
75	  0.024800001	-4.557000E+00	  0.024800001	-2.851800E+01	  0.024800001	1.047190E+02	  0.024800001	-9.106200E+01
76	  0.025000000	-4.558000E+00	  0.025000000	-2.874500E+01	  0.025000000	1.039680E+02	  0.025000000	-9.102800E+01
77	  0.025200002	-4.557000E+00	  0.025200002	-2.896500E+01	  0.025200002	1.032410E+02	  0.025200002	-9.105500E+01
78	  0.025400000	-4.560000E+00	  0.025400000	-2.915300E+01	  0.025400000	1.026270E+02	  0.025400000	-9.098800E+01
79	  0.025599999	-4.561000E+00	  0.025599999	-2.937600E+01	  0.025599999	1.019030E+02	  0.025599999	-9.095300E+01
80	  0.025799999	-4.562000E+00	  0.025799999	-2.953300E+01	  0.025799999	1.013980E+02	  0.025799999	-9.091100E+01
81	  0.025999999	-4.564000E+00	  0.025999999	-2.976000E+01	  0.025999999	1.006730E+02	  0.025999999	-9.085300E+01
82	  0.026200000	-4.568000E+00	  0.026200000	-2.998400E+01	  0.026200000	9.996400E+01	  0.026200000	-9.073600E+01
83	  0.026400000	-4.571000E+00	  0.026400000	-3.020800E+01	  0.026400000	9.925900E+01	  0.026400000	-9.064900E+01
84	  0.026600000	-4.574000E+00	  0.026600000	-3.042300E+01	  0.026600000	9.859100E+01	  0.026600000	-9.055600E+01
85	  0.026800001	-4.575000E+00	  0.026800001	-3.066900E+01	  0.026800001	9.782700E+01	  0.026800001	-9.048500E+01
86	  0.027000001	-4.576000E+00	  0.027000001	-3.091600E+01	  0.027000001	9.707100E+01	  0.027000001	-9.040700E+01
87	  0.027200000	-4.578000E+00	  0.027200000	-3.115600E+01	  0.027200000	9.634000E+01	  0.027200000	-9.032200E+01
88	  0.027400000	-4.579000E+00	  0.027400000	-3.143500E+01	  0.027400000	9.549700E+01	  0.027400000	-9.022400E+01
89	  0.027600000	-4.580000E+00	  0.027600000	-3.167300E+01	  0.027600000	9.478600E+01	  0.027600000	-9.015200E+01
