! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.sma.r50.21.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:49:50 PM	12/19/2017 03:30:41 PM
! INTERNAL TEMP:    	47.3 C	48.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-9.829200E+01	  0.010000000	-1.808800E+01	  0.010000000	5.000100E+01	  0.010000000	0.000000E+00
2	  0.010200000	-9.789900E+01	  0.010200000	-1.893000E+01	  0.010200000	5.000100E+01	  0.010200000	0.000000E+00
3	  0.010400000	-9.823600E+01	  0.010400000	-1.417900E+01	  0.010400000	5.000100E+01	  0.010400000	0.000000E+00
4	  0.010600000	-9.734100E+01	  0.010600000	-1.500300E+01	  0.010600000	5.000100E+01	  0.010600000	0.000000E+00
5	  0.010800000	-9.705700E+01	  0.010800000	-1.737100E+01	  0.010800000	5.000100E+01	  0.010800000	0.000000E+00
6	  0.011000001	-9.725100E+01	  0.011000001	-1.516200E+01	  0.011000001	5.000100E+01	  0.011000001	0.000000E+00
7	  0.011200000	-9.654200E+01	  0.011200000	-1.374200E+01	  0.011200000	5.000100E+01	  0.011200000	0.000000E+00
8	  0.011399999	-9.650700E+01	  0.011399999	-1.528600E+01	  0.011399999	5.000100E+01	  0.011399999	0.000000E+00
9	  0.011600000	-9.668600E+01	  0.011600000	-2.015200E+01	  0.011600000	5.000100E+01	  0.011600000	0.000000E+00
10	  0.011800000	-9.636400E+01	  0.011800000	-1.731900E+01	  0.011800000	5.000100E+01	  0.011800000	0.000000E+00
11	  0.012000000	-9.624200E+01	  0.012000000	-1.994300E+01	  0.012000000	5.000100E+01	  0.012000000	0.000000E+00
12	  0.012200000	-9.576500E+01	  0.012200000	-1.930300E+01	  0.012200000	5.000100E+01	  0.012200000	0.000000E+00
13	  0.012400000	-9.571100E+01	  0.012400000	-1.994900E+01	  0.012400000	5.000100E+01	  0.012400000	0.000000E+00
14	  0.012600001	-9.603500E+01	  0.012600001	-2.129800E+01	  0.012600001	5.000100E+01	  0.012600001	0.000000E+00
15	  0.012800000	-9.542500E+01	  0.012800000	-2.221100E+01	  0.012800000	5.000100E+01	  0.012800000	0.000000E+00
16	  0.012999999	-9.503500E+01	  0.012999999	-2.202800E+01	  0.012999999	5.000100E+01	  0.012999999	0.000000E+00
