! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ew.m10.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 12:19:02 PM	05/07/2018 12:05:13 PM
! INTERNAL TEMP:    	55.0 C	53.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.73∞"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.364 ohm, -2.980 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.420000E-01	  0.020000000	-1.257340E+02	  0.020000000	2.331000E+00	  0.020000000	-2.557800E+01
2	  0.020200402	-6.390000E-01	  0.020200402	-1.271980E+02	  0.020200402	2.292000E+00	  0.020200402	-2.477900E+01
3	  0.020400802	-6.400000E-01	  0.020400802	-1.286440E+02	  0.020400802	2.267000E+00	  0.020400802	-2.399900E+01
4	  0.020601204	-6.410000E-01	  0.020601204	-1.301070E+02	  0.020601204	2.243000E+00	  0.020601204	-2.321900E+01
5	  0.020801604	-6.450000E-01	  0.020801604	-1.316070E+02	  0.020801604	2.230000E+00	  0.020801604	-2.242900E+01
6	  0.021002004	-6.500000E-01	  0.021002004	-1.331260E+02	  0.021002004	2.223000E+00	  0.021002004	-2.163900E+01
7	  0.021202406	-6.570000E-01	  0.021202406	-1.346550E+02	  0.021202406	2.222000E+00	  0.021202406	-2.085100E+01
8	  0.021402806	-6.640000E-01	  0.021402806	-1.361940E+02	  0.021402806	2.220000E+00	  0.021402806	-2.006800E+01
9	  0.021603208	-6.700000E-01	  0.021603208	-1.377280E+02	  0.021603208	2.215000E+00	  0.021603208	-1.929600E+01
10	  0.021803608	-6.740000E-01	  0.021803608	-1.392760E+02	  0.021803608	2.207000E+00	  0.021803608	-1.852500E+01
11	  0.022004008	-6.790000E-01	  0.022004008	-1.408160E+02	  0.022004008	2.202000E+00	  0.022004008	-1.776500E+01
12	  0.022204408	-6.850000E-01	  0.022204408	-1.423750E+02	  0.022204408	2.200000E+00	  0.022204408	-1.700300E+01
13	  0.022404809	-6.910000E-01	  0.022404809	-1.439460E+02	  0.022404809	2.198000E+00	  0.022404809	-1.624300E+01
14	  0.022605211	-6.960000E-01	  0.022605211	-1.455330E+02	  0.022605211	2.195000E+00	  0.022605211	-1.548100E+01
15	  0.022805611	-6.990000E-01	  0.022805611	-1.471380E+02	  0.022805611	2.188000E+00	  0.022805611	-1.471900E+01
16	  0.023006011	-7.020000E-01	  0.023006011	-1.487370E+02	  0.023006011	2.178000E+00	  0.023006011	-1.396400E+01
17	  0.023206413	-7.030000E-01	  0.023206413	-1.503210E+02	  0.023206413	2.165000E+00	  0.023206413	-1.322300E+01
18	  0.023406813	-7.060000E-01	  0.023406813	-1.519110E+02	  0.023406813	2.159000E+00	  0.023406813	-1.248500E+01
19	  0.023607215	-7.120000E-01	  0.023607215	-1.534940E+02	  0.023607215	2.162000E+00	  0.023607215	-1.175500E+01
20	  0.023807615	-7.200000E-01	  0.023807615	-1.550980E+02	  0.023807615	2.172000E+00	  0.023807615	-1.101900E+01
