! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ew.m5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 12:08:34 PM	05/07/2018 12:05:13 PM
! INTERNAL TEMP:    	54.0 C	53.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.82°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.335 ohm, -2.822 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.240000E-01	  0.020000000	-1.258220E+02	  0.020000000	2.266000E+00	  0.020000000	-2.553200E+01
2	  0.020200402	-6.220000E-01	  0.020200402	-1.272950E+02	  0.020200402	2.228000E+00	  0.020200402	-2.472800E+01
3	  0.020400802	-6.240000E-01	  0.020400802	-1.287480E+02	  0.020400802	2.208000E+00	  0.020400802	-2.394500E+01
4	  0.020601204	-6.250000E-01	  0.020601204	-1.302090E+02	  0.020601204	2.186000E+00	  0.020601204	-2.316700E+01
5	  0.020801604	-6.290000E-01	  0.020801604	-1.317110E+02	  0.020801604	2.174000E+00	  0.020801604	-2.237700E+01
6	  0.021002004	-6.340000E-01	  0.021002004	-1.332280E+02	  0.021002004	2.166000E+00	  0.021002004	-2.158800E+01
7	  0.021202406	-6.420000E-01	  0.021202406	-1.347550E+02	  0.021202406	2.168000E+00	  0.021202406	-2.080200E+01
8	  0.021402806	-6.480000E-01	  0.021402806	-1.362870E+02	  0.021402806	2.166000E+00	  0.021402806	-2.002200E+01
9	  0.021603208	-6.530000E-01	  0.021603208	-1.378230E+02	  0.021603208	2.159000E+00	  0.021603208	-1.925000E+01
10	  0.021803608	-6.580000E-01	  0.021803608	-1.393700E+02	  0.021803608	2.153000E+00	  0.021803608	-1.848000E+01
11	  0.022004008	-6.630000E-01	  0.022004008	-1.409030E+02	  0.022004008	2.148000E+00	  0.022004008	-1.772400E+01
12	  0.022204408	-6.700000E-01	  0.022204408	-1.424540E+02	  0.022204408	2.151000E+00	  0.022204408	-1.696600E+01
13	  0.022404809	-6.740000E-01	  0.022404809	-1.440380E+02	  0.022404809	2.145000E+00	  0.022404809	-1.620000E+01
14	  0.022605211	-6.800000E-01	  0.022605211	-1.456240E+02	  0.022605211	2.145000E+00	  0.022605211	-1.543900E+01
15	  0.022805611	-6.870000E-01	  0.022805611	-1.472170E+02	  0.022805611	2.148000E+00	  0.022805611	-1.468200E+01
16	  0.023006011	-6.900000E-01	  0.023006011	-1.488130E+02	  0.023006011	2.141000E+00	  0.023006011	-1.393000E+01
