! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ns.m11.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 03:26:15 PM	05/07/2018 03:13:55 PM
! INTERNAL TEMP:    	62.0 C	60.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.91°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.021 ohm, -2.896 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.330000E-01	  0.020000000	-1.259140E+02	  0.020000000	2.294000E+00	  0.020000000	-2.548000E+01
2	  0.020200402	-6.320000E-01	  0.020200402	-1.273920E+02	  0.020200402	2.262000E+00	  0.020200402	-2.467400E+01
3	  0.020400802	-6.310000E-01	  0.020400802	-1.288490E+02	  0.020400802	2.233000E+00	  0.020400802	-2.389000E+01
4	  0.020601204	-6.360000E-01	  0.020601204	-1.303170E+02	  0.020601204	2.221000E+00	  0.020601204	-2.310900E+01
5	  0.020801604	-6.390000E-01	  0.020801604	-1.318240E+02	  0.020801604	2.205000E+00	  0.020801604	-2.231600E+01
6	  0.021002004	-6.450000E-01	  0.021002004	-1.333320E+02	  0.021002004	2.202000E+00	  0.021002004	-2.153300E+01
7	  0.021202406	-6.520000E-01	  0.021202406	-1.348590E+02	  0.021202406	2.201000E+00	  0.021202406	-2.074800E+01
8	  0.021402806	-6.580000E-01	  0.021402806	-1.364010E+02	  0.021402806	2.196000E+00	  0.021402806	-1.996400E+01
9	  0.021603208	-6.620000E-01	  0.021603208	-1.379450E+02	  0.021603208	2.187000E+00	  0.021603208	-1.918800E+01
10	  0.021803608	-6.670000E-01	  0.021803608	-1.394770E+02	  0.021803608	2.182000E+00	  0.021803608	-1.842600E+01
11	  0.022004008	-6.710000E-01	  0.022004008	-1.410160E+02	  0.022004008	2.172000E+00	  0.022004008	-1.766800E+01
12	  0.022204408	-6.780000E-01	  0.022204408	-1.425690E+02	  0.022204408	2.175000E+00	  0.022204408	-1.690900E+01
13	  0.022404809	-6.840000E-01	  0.022404809	-1.441430E+02	  0.022404809	2.174000E+00	  0.022404809	-1.614900E+01
14	  0.022605211	-6.880000E-01	  0.022605211	-1.457260E+02	  0.022605211	2.168000E+00	  0.022605211	-1.539000E+01
15	  0.022805611	-6.920000E-01	  0.022805611	-1.473290E+02	  0.022805611	2.163000E+00	  0.022805611	-1.462900E+01
16	  0.023006011	-6.930000E-01	  0.023006011	-1.489200E+02	  0.023006011	2.148000E+00	  0.023006011	-1.387900E+01
