! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may8/255.ew.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 10:01:09 AM	05/08/2018 09:57:41 AM
! INTERNAL TEMP:    	46.8 C	46.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.32°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.697 ohm, -3.224 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-8.870000E-01	  0.020000000	-1.243170E+02	  0.020000000	3.260000E+00	  0.020000000	-2.632000E+01
2	  0.020200402	-8.910000E-01	  0.020200402	-1.257350E+02	  0.020200402	3.235000E+00	  0.020200402	-2.553700E+01
3	  0.020400802	-9.000000E-01	  0.020400802	-1.271570E+02	  0.020400802	3.228000E+00	  0.020400802	-2.476000E+01
4	  0.020601204	-9.050000E-01	  0.020601204	-1.285810E+02	  0.020601204	3.206000E+00	  0.020601204	-2.399200E+01
5	  0.020801604	-9.160000E-01	  0.020801604	-1.300600E+02	  0.020801604	3.204000E+00	  0.020801604	-2.320400E+01
6	  0.021002004	-9.290000E-01	  0.021002004	-1.315380E+02	  0.021002004	3.211000E+00	  0.021002004	-2.242600E+01
7	  0.021202406	-9.410000E-01	  0.021202406	-1.330230E+02	  0.021202406	3.216000E+00	  0.021202406	-2.165200E+01
8	  0.021402806	-9.510000E-01	  0.021402806	-1.345230E+02	  0.021402806	3.215000E+00	  0.021402806	-2.088000E+01
9	  0.021603208	-9.610000E-01	  0.021603208	-1.360090E+02	  0.021603208	3.213000E+00	  0.021603208	-2.012400E+01
10	  0.021803608	-9.730000E-01	  0.021803608	-1.375160E+02	  0.021803608	3.219000E+00	  0.021803608	-1.936500E+01
11	  0.022004008	-9.830000E-01	  0.022004008	-1.390060E+02	  0.022004008	3.220000E+00	  0.022004008	-1.862300E+01
12	  0.022204408	-9.980000E-01	  0.022204408	-1.405070E+02	  0.022204408	3.237000E+00	  0.022204408	-1.788100E+01
13	  0.022404809	-1.009000E+00	  0.022404809	-1.420350E+02	  0.022404809	3.243000E+00	  0.022404809	-1.713400E+01
14	  0.022605211	-1.017000E+00	  0.022605211	-1.435880E+02	  0.022605211	3.241000E+00	  0.022605211	-1.638200E+01
15	  0.022805611	-1.026000E+00	  0.022805611	-1.451390E+02	  0.022805611	3.240000E+00	  0.022805611	-1.563700E+01
16	  0.023006011	-1.036000E+00	  0.023006011	-1.466800E+02	  0.023006011	3.245000E+00	  0.023006011	-1.490400E+01
17	  0.023206413	-1.046000E+00	  0.023206413	-1.482070E+02	  0.023206413	3.250000E+00	  0.023206413	-1.418300E+01
18	  0.023406813	-1.052000E+00	  0.023406813	-1.497490E+02	  0.023406813	3.246000E+00	  0.023406813	-1.346100E+01
19	  0.023607215	-1.061000E+00	  0.023607215	-1.512850E+02	  0.023607215	3.251000E+00	  0.023607215	-1.274700E+01
20	  0.023807615	-1.072000E+00	  0.023807615	-1.528270E+02	  0.023807615	3.261000E+00	  0.023807615	-1.203400E+01
21	  0.024008015	-1.087000E+00	  0.024008015	-1.544010E+02	  0.024008015	3.285000E+00	  0.024008015	-1.131200E+01
22	  0.024208417	-1.099000E+00	  0.024208417	-1.559890E+02	  0.024208417	3.303000E+00	  0.024208417	-1.058800E+01
23	  0.024408817	-1.113000E+00	  0.024408817	-1.575800E+02	  0.024408817	3.326000E+00	  0.024408817	-9.866000E+00
24	  0.024609219	-1.126000E+00	  0.024609219	-1.591790E+02	  0.024609219	3.345000E+00	  0.024609219	-9.146000E+00
25	  0.024809619	-1.139000E+00	  0.024809619	-1.607870E+02	  0.024809619	3.367000E+00	  0.024809619	-8.425000E+00
26	  0.025010020	-1.152000E+00	  0.025010020	-1.623840E+02	  0.025010020	3.392000E+00	  0.025010020	-7.712000E+00
27	  0.025210422	-1.168000E+00	  0.025210422	-1.639970E+02	  0.025210422	3.425000E+00	  0.025210422	-6.996000E+00
28	  0.025410822	-1.186000E+00	  0.025410822	-1.656350E+02	  0.025410822	3.463000E+00	  0.025410822	-6.271000E+00
29	  0.025611224	-1.205000E+00	  0.025611224	-1.672940E+02	  0.025611224	3.505000E+00	  0.025611224	-5.539000E+00
30	  0.025811624	-1.220000E+00	  0.025811624	-1.689650E+02	  0.025811624	3.539000E+00	  0.025811624	-4.805000E+00
31	  0.026012026	-1.234000E+00	  0.026012026	-1.706560E+02	  0.026012026	3.570000E+00	  0.026012026	-4.065000E+00
32	  0.026212426	-1.248000E+00	  0.026212426	-1.723430E+02	  0.026212426	3.603000E+00	  0.026212426	-3.328000E+00
33	  0.026412826	-1.265000E+00	  0.026412826	-1.740250E+02	  0.026412826	3.644000E+00	  0.026412826	-2.595000E+00
34	  0.026613226	-1.282000E+00	  0.026613226	-1.757340E+02	  0.026613226	3.690000E+00	  0.026613226	-1.851000E+00
35	  0.026813626	-1.302000E+00	  0.026813626	-1.774530E+02	  0.026813626	3.744000E+00	  0.026813626	-1.105000E+00
36	  0.027014028	-1.321000E+00	  0.027014028	-1.791780E+02	  0.027014028	3.797000E+00	  0.027014028	-3.560000E-01
37	  0.027214428	-1.343000E+00	  0.027214428	1.790810E+02	  0.027214428	3.859000E+00	  0.027214428	3.980000E-01
38	  0.027414829	-1.364000E+00	  0.027414829	1.773170E+02	  0.027414829	3.920000E+00	  0.027414829	1.163000E+00
39	  0.027615231	-1.384000E+00	  0.027615231	1.755630E+02	  0.027615231	3.982000E+00	  0.027615231	1.924000E+00
40	  0.027815631	-1.409000E+00	  0.027815631	1.737880E+02	  0.027815631	4.058000E+00	  0.027815631	2.695000E+00
41	  0.028016033	-1.434000E+00	  0.028016033	1.719880E+02	  0.028016033	4.140000E+00	  0.028016033	3.477000E+00
42	  0.028216433	-1.462000E+00	  0.028216433	1.701960E+02	  0.028216433	4.229000E+00	  0.028216433	4.257000E+00
43	  0.028416833	-1.488000E+00	  0.028416833	1.683970E+02	  0.028416833	4.316000E+00	  0.028416833	5.042000E+00
44	  0.028617235	-1.512000E+00	  0.028617235	1.666040E+02	  0.028617235	4.402000E+00	  0.028617235	5.826000E+00
45	  0.028817635	-1.537000E+00	  0.028817635	1.648050E+02	  0.028817635	4.491000E+00	  0.028817635	6.616000E+00
46	  0.029018037	-1.563000E+00	  0.029018037	1.630140E+02	  0.029018037	4.586000E+00	  0.029018037	7.404000E+00
47	  0.029218437	-1.588000E+00	  0.029218437	1.612170E+02	  0.029218437	4.683000E+00	  0.029218437	8.199000E+00
48	  0.029418837	-1.617000E+00	  0.029418837	1.594260E+02	  0.029418837	4.793000E+00	  0.029418837	8.993000E+00
49	  0.029619239	-1.647000E+00	  0.029619239	1.576120E+02	  0.029619239	4.911000E+00	  0.029619239	9.802000E+00
50	  0.029819639	-1.680000E+00	  0.029819639	1.557800E+02	  0.029819639	5.040000E+00	  0.029819639	1.062300E+01
51	  0.030020041	-1.714000E+00	  0.030020041	1.539220E+02	  0.030020041	5.180000E+00	  0.030020041	1.146100E+01
52	  0.030220442	-1.748000E+00	  0.030220442	1.520390E+02	  0.030220442	5.321000E+00	  0.030220442	1.231500E+01
53	  0.030420844	-1.780000E+00	  0.030420844	1.501540E+02	  0.030420844	5.466000E+00	  0.030420844	1.317600E+01
54	  0.030621244	-1.815000E+00	  0.030621244	1.482810E+02	  0.030621244	5.620000E+00	  0.030621244	1.403800E+01
55	  0.030821644	-1.851000E+00	  0.030821644	1.464170E+02	  0.030821644	5.785000E+00	  0.030821644	1.490200E+01
56	  0.031022044	-1.888000E+00	  0.031022044	1.445240E+02	  0.031022044	5.961000E+00	  0.031022044	1.578700E+01
57	  0.031222444	-1.922000E+00	  0.031222444	1.426470E+02	  0.031222444	6.132000E+00	  0.031222444	1.667200E+01
58	  0.031422846	-1.963000E+00	  0.031422846	1.406920E+02	  0.031422846	6.334000E+00	  0.031422846	1.760200E+01
59	  0.031623244	-2.003000E+00	  0.031623244	1.387420E+02	  0.031623244	6.543000E+00	  0.031623244	1.853900E+01
60	  0.031823646	-2.040000E+00	  0.031823646	1.367770E+02	  0.031823646	6.749000E+00	  0.031823646	1.949400E+01
61	  0.032024048	-2.075000E+00	  0.032024048	1.348110E+02	  0.032024048	6.957000E+00	  0.032024048	2.046200E+01
62	  0.032224450	-2.112000E+00	  0.032224450	1.328490E+02	  0.032224450	7.181000E+00	  0.032224450	2.143900E+01
63	  0.032424849	-2.149000E+00	  0.032424849	1.308880E+02	  0.032424849	7.416000E+00	  0.032424849	2.242700E+01
64	  0.032625251	-2.186000E+00	  0.032625251	1.289180E+02	  0.032625251	7.660000E+00	  0.032625251	2.343300E+01
65	  0.032825653	-2.225000E+00	  0.032825653	1.269700E+02	  0.032825653	7.923000E+00	  0.032825653	2.444100E+01
66	  0.033026051	-2.268000E+00	  0.033026051	1.250080E+02	  0.033026051	8.214000E+00	  0.033026051	2.546800E+01
67	  0.033226453	-2.314000E+00	  0.033226453	1.230380E+02	  0.033226453	8.528000E+00	  0.033226453	2.651300E+01
68	  0.033426855	-2.362000E+00	  0.033426855	1.210910E+02	  0.033426855	8.863000E+00	  0.033426855	2.755900E+01
69	  0.033627257	-2.417000E+00	  0.033627257	1.190840E+02	  0.033627257	9.242000E+00	  0.033627257	2.865100E+01
70	  0.033827655	-2.470000E+00	  0.033827655	1.170470E+02	  0.033827655	9.638000E+00	  0.033827655	2.977700E+01
71	  0.034028057	-2.521000E+00	  0.034028057	1.149860E+02	  0.034028057	1.004600E+01	  0.034028057	3.093900E+01
72	  0.034228459	-2.572000E+00	  0.034228459	1.128910E+02	  0.034228459	1.048500E+01	  0.034228459	3.213900E+01
73	  0.034428857	-2.620000E+00	  0.034428857	1.107710E+02	  0.034428857	1.093400E+01	  0.034428857	3.338000E+01
74	  0.034629259	-2.669000E+00	  0.034629259	1.086540E+02	  0.034629259	1.141600E+01	  0.034629259	3.464200E+01
75	  0.034829661	-2.713000E+00	  0.034829661	1.065360E+02	  0.034829661	1.190000E+01	  0.034829661	3.593600E+01
76	  0.035030060	-2.757000E+00	  0.035030060	1.044280E+02	  0.035030060	1.241800E+01	  0.035030060	3.724800E+01
77	  0.035230462	-2.802000E+00	  0.035230462	1.023420E+02	  0.035230462	1.296200E+01	  0.035230462	3.857400E+01
78	  0.035430863	-2.843000E+00	  0.035430863	1.002650E+02	  0.035430863	1.352100E+01	  0.035430863	3.992500E+01
79	  0.035631265	-2.884000E+00	  0.035631265	9.818300E+01	  0.035631265	1.411400E+01	  0.035631265	4.131200E+01
80	  0.035831664	-2.927000E+00	  0.035831664	9.612000E+01	  0.035831664	1.475500E+01	  0.035831664	4.271100E+01
81	  0.036032066	-2.968000E+00	  0.036032066	9.406900E+01	  0.036032066	1.541900E+01	  0.036032066	4.413800E+01
82	  0.036232468	-3.012000E+00	  0.036232468	9.202300E+01	  0.036232468	1.614000E+01	  0.036232468	4.558900E+01
83	  0.036432866	-3.056000E+00	  0.036432866	9.000200E+01	  0.036432866	1.690400E+01	  0.036432866	4.705300E+01
84	  0.036633268	-3.102000E+00	  0.036633268	8.797800E+01	  0.036633268	1.772600E+01	  0.036633268	4.855000E+01
85	  0.036833670	-3.151000E+00	  0.036833670	8.594500E+01	  0.036833670	1.861900E+01	  0.036833670	5.008300E+01
86	  0.037034072	-3.199000E+00	  0.037034072	8.387500E+01	  0.037034072	1.958200E+01	  0.037034072	5.168200E+01
87	  0.037234470	-3.246000E+00	  0.037234470	8.177600E+01	  0.037234470	2.062000E+01	  0.037234470	5.334500E+01
88	  0.037434869	-3.289000E+00	  0.037434869	7.962100E+01	  0.037434869	2.172700E+01	  0.037434869	5.511000E+01
89	  0.037635271	-3.332000E+00	  0.037635271	7.737000E+01	  0.037635271	2.296700E+01	  0.037635271	5.700600E+01
90	  0.037835669	-3.381000E+00	  0.037835669	7.502500E+01	  0.037835669	2.439300E+01	  0.037835669	5.902200E+01
91	  0.038036071	-3.444000E+00	  0.038036071	7.262200E+01	  0.038036071	2.605800E+01	  0.038036071	6.109800E+01
92	  0.038236473	-3.525000E+00	  0.038236473	7.027100E+01	  0.038236473	2.795700E+01	  0.038236473	6.309500E+01
93	  0.038436871	-3.607000E+00	  0.038436871	6.799800E+01	  0.038436871	2.997500E+01	  0.038436871	6.503100E+01
94	  0.038637273	-3.683000E+00	  0.038637273	6.582900E+01	  0.038637273	3.203900E+01	  0.038637273	6.690300E+01
