! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may8/255.ns.m5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 11:09:38 AM	05/08/2018 10:55:57 AM
! INTERNAL TEMP:    	51.0 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.18°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.487 ohm, -3.366 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.480000E-01	  0.020000000	-1.241770E+02	  0.020000000	2.388000E+00	  0.020000000	-2.643800E+01
2	  0.020200402	-6.440000E-01	  0.020200402	-1.256070E+02	  0.020200402	2.344000E+00	  0.020200402	-2.564700E+01
3	  0.020400802	-6.450000E-01	  0.020400802	-1.270280E+02	  0.020400802	2.318000E+00	  0.020400802	-2.487000E+01
4	  0.020601204	-6.470000E-01	  0.020601204	-1.284820E+02	  0.020601204	2.295000E+00	  0.020601204	-2.408500E+01
5	  0.020801604	-6.500000E-01	  0.020801604	-1.299680E+02	  0.020801604	2.277000E+00	  0.020801604	-2.329200E+01
6	  0.021002004	-6.570000E-01	  0.021002004	-1.314730E+02	  0.021002004	2.274000E+00	  0.021002004	-2.249800E+01
7	  0.021202406	-6.640000E-01	  0.021202406	-1.330000E+02	  0.021202406	2.273000E+00	  0.021202406	-2.170200E+01
8	  0.021402806	-6.690000E-01	  0.021402806	-1.345190E+02	  0.021402806	2.265000E+00	  0.021402806	-2.092000E+01
9	  0.021603208	-6.730000E-01	  0.021603208	-1.360340E+02	  0.021603208	2.252000E+00	  0.021603208	-2.014800E+01
10	  0.021803608	-6.760000E-01	  0.021803608	-1.375610E+02	  0.021803608	2.239000E+00	  0.021803608	-1.937800E+01
11	  0.022004008	-6.800000E-01	  0.022004008	-1.390940E+02	  0.022004008	2.230000E+00	  0.022004008	-1.861400E+01
12	  0.022204408	-6.840000E-01	  0.022204408	-1.406440E+02	  0.022204408	2.220000E+00	  0.022204408	-1.784900E+01
13	  0.022404809	-6.860000E-01	  0.022404809	-1.422130E+02	  0.022404809	2.206000E+00	  0.022404809	-1.708200E+01
14	  0.022605211	-6.910000E-01	  0.022605211	-1.437960E+02	  0.022605211	2.200000E+00	  0.022605211	-1.631500E+01
15	  0.022805611	-6.940000E-01	  0.022805611	-1.453970E+02	  0.022805611	2.191000E+00	  0.022805611	-1.554700E+01
16	  0.023006011	-6.950000E-01	  0.023006011	-1.469750E+02	  0.023006011	2.177000E+00	  0.023006011	-1.479600E+01
