! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may8/255.ns.s.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 11:26:05 AM	05/08/2018 11:16:31 AM
! INTERNAL TEMP:    	51.8 C	51.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-123.62°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.505 ohm, -3.988 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-1.011000E+00	  0.020000000	-1.236150E+02	  0.020000000	3.738000E+00	  0.020000000	-2.668400E+01
2	  0.020200402	-1.066000E+00	  0.020200402	-1.250360E+02	  0.020200402	3.889000E+00	  0.020200402	-2.588400E+01
3	  0.020400802	-1.120000E+00	  0.020400802	-1.264670E+02	  0.020400802	4.035000E+00	  0.020400802	-2.508800E+01
4	  0.020601204	-1.173000E+00	  0.020601204	-1.279300E+02	  0.020601204	4.171000E+00	  0.020601204	-2.428600E+01
5	  0.020801604	-1.226000E+00	  0.020801604	-1.294300E+02	  0.020801604	4.305000E+00	  0.020801604	-2.347500E+01
6	  0.021002004	-1.273000E+00	  0.021002004	-1.309780E+02	  0.021002004	4.415000E+00	  0.021002004	-2.265000E+01
7	  0.021202406	-1.315000E+00	  0.021202406	-1.325570E+02	  0.021202406	4.504000E+00	  0.021202406	-2.182000E+01
8	  0.021402806	-1.354000E+00	  0.021402806	-1.341470E+02	  0.021402806	4.580000E+00	  0.021402806	-2.099700E+01
9	  0.021603208	-1.383000E+00	  0.021603208	-1.357370E+02	  0.021603208	4.625000E+00	  0.021603208	-2.018500E+01
10	  0.021803608	-1.403000E+00	  0.021803608	-1.373620E+02	  0.021803608	4.641000E+00	  0.021803608	-1.936600E+01
11	  0.022004008	-1.414000E+00	  0.022004008	-1.389670E+02	  0.022004008	4.626000E+00	  0.022004008	-1.856900E+01
12	  0.022204408	-1.413000E+00	  0.022204408	-1.406160E+02	  0.022204408	4.575000E+00	  0.022204408	-1.776100E+01
13	  0.022404809	-1.404000E+00	  0.022404809	-1.422850E+02	  0.022404809	4.501000E+00	  0.022404809	-1.695200E+01
14	  0.022605211	-1.390000E+00	  0.022605211	-1.439550E+02	  0.022605211	4.412000E+00	  0.022605211	-1.615200E+01
15	  0.022805611	-1.368000E+00	  0.022805611	-1.456090E+02	  0.022805611	4.303000E+00	  0.022805611	-1.536800E+01
16	  0.023006011	-1.338000E+00	  0.023006011	-1.472660E+02	  0.023006011	4.175000E+00	  0.023006011	-1.458900E+01
