! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m15.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 12:17:41 PM	05/09/2018 12:08:51 PM
! INTERNAL TEMP:    	55.5 C	54.8 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.78°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.172 ohm, -0.809 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.520000E-01	  0.020000000	-1.267800E+02	  0.020000000	2.348000E+00	  0.020000000	-2.500400E+01
2	  0.020200402	-6.540000E-01	  0.020200402	-1.282480E+02	  0.020200402	2.324000E+00	  0.020200402	-2.421000E+01
3	  0.020400802	-6.540000E-01	  0.020400802	-1.297240E+02	  0.020400802	2.298000E+00	  0.020400802	-2.342100E+01
4	  0.020601204	-6.580000E-01	  0.020601204	-1.312340E+02	  0.020601204	2.283000E+00	  0.020601204	-2.262300E+01
5	  0.020801604	-6.610000E-01	  0.020801604	-1.327580E+02	  0.020801604	2.264000E+00	  0.020801604	-2.182800E+01
6	  0.021002004	-6.630000E-01	  0.021002004	-1.342980E+02	  0.021002004	2.246000E+00	  0.021002004	-2.103400E+01
7	  0.021202406	-6.660000E-01	  0.021202406	-1.358380E+02	  0.021202406	2.231000E+00	  0.021202406	-2.024800E+01
8	  0.021402806	-6.680000E-01	  0.021402806	-1.373780E+02	  0.021402806	2.213000E+00	  0.021402806	-1.947100E+01
9	  0.021603208	-6.720000E-01	  0.021603208	-1.389070E+02	  0.021603208	2.206000E+00	  0.021603208	-1.870800E+01
10	  0.021803608	-6.760000E-01	  0.021803608	-1.404340E+02	  0.021803608	2.195000E+00	  0.021803608	-1.795300E+01
11	  0.022004008	-6.810000E-01	  0.022004008	-1.419770E+02	  0.022004008	2.193000E+00	  0.022004008	-1.719700E+01
12	  0.022204408	-6.870000E-01	  0.022204408	-1.435470E+02	  0.022204408	2.192000E+00	  0.022204408	-1.643600E+01
13	  0.022404809	-6.910000E-01	  0.022404809	-1.451290E+02	  0.022404809	2.185000E+00	  0.022404809	-1.567500E+01
14	  0.022605211	-6.940000E-01	  0.022605211	-1.467280E+02	  0.022605211	2.175000E+00	  0.022605211	-1.491300E+01
15	  0.022805611	-7.000000E-01	  0.022805611	-1.483150E+02	  0.022805611	2.176000E+00	  0.022805611	-1.416300E+01
16	  0.023006011	-7.070000E-01	  0.023006011	-1.499050E+02	  0.023006011	2.183000E+00	  0.023006011	-1.341700E+01
17	  0.023206413	-7.120000E-01	  0.023206413	-1.514890E+02	  0.023206413	2.180000E+00	  0.023206413	-1.268000E+01
18	  0.023406813	-7.160000E-01	  0.023406813	-1.530740E+02	  0.023406813	2.177000E+00	  0.023406813	-1.194800E+01
19	  0.023607215	-7.210000E-01	  0.023607215	-1.546810E+02	  0.023607215	2.181000E+00	  0.023607215	-1.121000E+01
20	  0.023807615	-7.310000E-01	  0.023807615	-1.562920E+02	  0.023807615	2.195000E+00	  0.023807615	-1.047500E+01
21	  0.024008015	-7.380000E-01	  0.024008015	-1.579340E+02	  0.024008015	2.204000E+00	  0.024008015	-9.730000E+00
22	  0.024208417	-7.450000E-01	  0.024208417	-1.595750E+02	  0.024208417	2.214000E+00	  0.024208417	-8.990000E+00
23	  0.024408817	-7.510000E-01	  0.024408817	-1.612390E+02	  0.024408817	2.221000E+00	  0.024408817	-8.244000E+00
24	  0.024609219	-7.570000E-01	  0.024609219	-1.628990E+02	  0.024609219	2.229000E+00	  0.024609219	-7.502000E+00
25	  0.024809619	-7.660000E-01	  0.024809619	-1.645770E+02	  0.024809619	2.243000E+00	  0.024809619	-6.756000E+00
26	  0.025010020	-7.750000E-01	  0.025010020	-1.662350E+02	  0.025010020	2.262000E+00	  0.025010020	-6.022000E+00
27	  0.025210422	-7.840000E-01	  0.025210422	-1.679210E+02	  0.025210422	2.282000E+00	  0.025210422	-5.279000E+00
28	  0.025410822	-7.950000E-01	  0.025410822	-1.696130E+02	  0.025410822	2.307000E+00	  0.025410822	-4.534000E+00
29	  0.025611224	-8.060000E-01	  0.025611224	-1.713120E+02	  0.025611224	2.331000E+00	  0.025611224	-3.789000E+00
30	  0.025811624	-8.160000E-01	  0.025811624	-1.730240E+02	  0.025811624	2.357000E+00	  0.025811624	-3.040000E+00
31	  0.026012026	-8.270000E-01	  0.026012026	-1.747590E+02	  0.026012026	2.384000E+00	  0.026012026	-2.282000E+00
32	  0.026212426	-8.370000E-01	  0.026212426	-1.764900E+02	  0.026212426	2.410000E+00	  0.026212426	-1.528000E+00
33	  0.026412826	-8.510000E-01	  0.026412826	-1.782390E+02	  0.026412826	2.449000E+00	  0.026412826	-7.660000E-01
34	  0.026613226	-8.650000E-01	  0.026613226	-1.799930E+02	  0.026613226	2.489000E+00	  0.026613226	-2.000000E-03
35	  0.026813626	-8.800000E-01	  0.026813626	1.782430E+02	  0.026813626	2.532000E+00	  0.026813626	7.640000E-01
36	  0.027014028	-8.950000E-01	  0.027014028	1.764760E+02	  0.027014028	2.576000E+00	  0.027014028	1.533000E+00
37	  0.027214428	-9.110000E-01	  0.027214428	1.746920E+02	  0.027214428	2.625000E+00	  0.027214428	2.311000E+00
38	  0.027414829	-9.260000E-01	  0.027414829	1.729130E+02	  0.027414829	2.675000E+00	  0.027414829	3.087000E+00
39	  0.027615231	-9.430000E-01	  0.027615231	1.711110E+02	  0.027615231	2.729000E+00	  0.027615231	3.874000E+00
40	  0.027815631	-9.590000E-01	  0.027815631	1.693050E+02	  0.027815631	2.784000E+00	  0.027815631	4.665000E+00
41	  0.028016033	-9.770000E-01	  0.028016033	1.674870E+02	  0.028016033	2.844000E+00	  0.028016033	5.464000E+00
42	  0.028216433	-9.970000E-01	  0.028216433	1.656480E+02	  0.028216433	2.913000E+00	  0.028216433	6.274000E+00
43	  0.028416833	-1.016000E+00	  0.028416833	1.638070E+02	  0.028416833	2.981000E+00	  0.028416833	7.087000E+00
44	  0.028617235	-1.036000E+00	  0.028617235	1.619570E+02	  0.028617235	3.055000E+00	  0.028617235	7.909000E+00
45	  0.028817635	-1.056000E+00	  0.028817635	1.601190E+02	  0.028817635	3.131000E+00	  0.028817635	8.729000E+00
46	  0.029018037	-1.078000E+00	  0.029018037	1.582620E+02	  0.029018037	3.213000E+00	  0.029018037	9.562000E+00
47	  0.029218437	-1.101000E+00	  0.029218437	1.563970E+02	  0.029218437	3.302000E+00	  0.029218437	1.040300E+01
48	  0.029418837	-1.125000E+00	  0.029418837	1.545070E+02	  0.029418837	3.398000E+00	  0.029418837	1.126000E+01
49	  0.029619239	-1.149000E+00	  0.029619239	1.526120E+02	  0.029619239	3.500000E+00	  0.029619239	1.212600E+01
50	  0.029819639	-1.174000E+00	  0.029819639	1.507070E+02	  0.029819639	3.605000E+00	  0.029819639	1.300300E+01
51	  0.030020041	-1.199000E+00	  0.030020041	1.487990E+02	  0.030020041	3.713000E+00	  0.030020041	1.388900E+01
