! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ns.m10.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 01:04:55 PM	05/09/2018 12:54:36 PM
! INTERNAL TEMP:    	58.8 C	58.3 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.72°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.400 ohm, -1.557 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.340000E-01	  0.020000000	-1.267180E+02	  0.020000000	2.282000E+00	  0.020000000	-2.504000E+01
2	  0.020200402	-6.370000E-01	  0.020200402	-1.281880E+02	  0.020200402	2.267000E+00	  0.020200402	-2.424400E+01
3	  0.020400802	-6.420000E-01	  0.020400802	-1.296760E+02	  0.020400802	2.255000E+00	  0.020400802	-2.344800E+01
4	  0.020601204	-6.460000E-01	  0.020601204	-1.311890E+02	  0.020601204	2.243000E+00	  0.020601204	-2.264800E+01
5	  0.020801604	-6.500000E-01	  0.020801604	-1.327340E+02	  0.020801604	2.227000E+00	  0.020801604	-2.184200E+01
6	  0.021002004	-6.510000E-01	  0.021002004	-1.342940E+02	  0.021002004	2.206000E+00	  0.021002004	-2.103700E+01
7	  0.021202406	-6.560000E-01	  0.021202406	-1.358510E+02	  0.021202406	2.199000E+00	  0.021202406	-2.024300E+01
8	  0.021402806	-6.580000E-01	  0.021402806	-1.374040E+02	  0.021402806	2.180000E+00	  0.021402806	-1.945900E+01
9	  0.021603208	-6.610000E-01	  0.021603208	-1.389490E+02	  0.021603208	2.170000E+00	  0.021603208	-1.868800E+01
10	  0.021803608	-6.650000E-01	  0.021803608	-1.405170E+02	  0.021803608	2.160000E+00	  0.021803608	-1.791300E+01
11	  0.022004008	-6.710000E-01	  0.022004008	-1.420760E+02	  0.022004008	2.158000E+00	  0.022004008	-1.715000E+01
12	  0.022204408	-6.780000E-01	  0.022204408	-1.436450E+02	  0.022204408	2.160000E+00	  0.022204408	-1.638900E+01
13	  0.022404809	-6.860000E-01	  0.022404809	-1.452430E+02	  0.022404809	2.168000E+00	  0.022404809	-1.562100E+01
14	  0.022605211	-6.880000E-01	  0.022605211	-1.468530E+02	  0.022605211	2.155000E+00	  0.022605211	-1.485400E+01
15	  0.022805611	-6.900000E-01	  0.022805611	-1.484790E+02	  0.022805611	2.144000E+00	  0.022805611	-1.408700E+01
16	  0.023006011	-6.960000E-01	  0.023006011	-1.500800E+02	  0.023006011	2.145000E+00	  0.023006011	-1.333700E+01
17	  0.023206413	-7.010000E-01	  0.023206413	-1.516800E+02	  0.023206413	2.145000E+00	  0.023206413	-1.259200E+01
