! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b255.ew.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 08:11:06 PM	05/09/2018 08:05:48 PM
! INTERNAL TEMP:    	54.3 C	54.5 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.58°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.689 ohm, -1.482 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-9.020000E-01	  0.020000000	-1.255790E+02	  0.020000000	3.278000E+00	  0.020000000	-2.562000E+01
2	  0.020200402	-9.100000E-01	  0.020200402	-1.270230E+02	  0.020200402	3.267000E+00	  0.020200402	-2.483100E+01
3	  0.020400802	-9.190000E-01	  0.020400802	-1.284760E+02	  0.020400802	3.256000E+00	  0.020400802	-2.404600E+01
4	  0.020601204	-9.280000E-01	  0.020601204	-1.299420E+02	  0.020601204	3.248000E+00	  0.020601204	-2.326400E+01
5	  0.020801604	-9.390000E-01	  0.020801604	-1.314350E+02	  0.020801604	3.247000E+00	  0.020801604	-2.247700E+01
6	  0.021002004	-9.460000E-01	  0.021002004	-1.329520E+02	  0.021002004	3.235000E+00	  0.021002004	-2.168800E+01
7	  0.021202406	-9.550000E-01	  0.021202406	-1.344510E+02	  0.021202406	3.230000E+00	  0.021202406	-2.091700E+01
8	  0.021402806	-9.640000E-01	  0.021402806	-1.359460E+02	  0.021402806	3.224000E+00	  0.021402806	-2.015600E+01
9	  0.021603208	-9.730000E-01	  0.021603208	-1.374560E+02	  0.021603208	3.221000E+00	  0.021603208	-1.939500E+01
10	  0.021803608	-9.840000E-01	  0.021803608	-1.389470E+02	  0.021803608	3.224000E+00	  0.021803608	-1.865200E+01
11	  0.022004008	-9.950000E-01	  0.022004008	-1.404390E+02	  0.022004008	3.231000E+00	  0.022004008	-1.791500E+01
12	  0.022204408	-1.006000E+00	  0.022204408	-1.419570E+02	  0.022204408	3.237000E+00	  0.022204408	-1.717200E+01
13	  0.022404809	-1.017000E+00	  0.022404809	-1.435110E+02	  0.022404809	3.243000E+00	  0.022404809	-1.641900E+01
14	  0.022605211	-1.025000E+00	  0.022605211	-1.450730E+02	  0.022605211	3.237000E+00	  0.022605211	-1.566900E+01
15	  0.022805611	-1.036000E+00	  0.022805611	-1.466300E+02	  0.022805611	3.245000E+00	  0.022805611	-1.492800E+01
16	  0.023006011	-1.046000E+00	  0.023006011	-1.481890E+02	  0.023006011	3.250000E+00	  0.023006011	-1.419100E+01
17	  0.023206413	-1.055000E+00	  0.023206413	-1.497360E+02	  0.023206413	3.255000E+00	  0.023206413	-1.346700E+01
