! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ew.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 06:28:38 PM	05/10/2018 06:18:15 PM
! INTERNAL TEMP:    	60.3 C	60.0 C
! # POINTS:         	487	487
! START FREQ:       	20.601 202 MHz	20.601 202 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.648 ohm, -1.857 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020601204	-6.450000E-01	  0.020601204	-1.294540E+02	  0.020601204	2.270000E+00	  0.020601204	-2.356600E+01
2	  0.020801604	-6.500000E-01	  0.020801604	-1.309760E+02	  0.020801604	2.258000E+00	  0.020801604	-2.276000E+01
3	  0.021002004	-6.520000E-01	  0.021002004	-1.325020E+02	  0.021002004	2.241000E+00	  0.021002004	-2.196100E+01
4	  0.021202406	-6.550000E-01	  0.021202406	-1.340420E+02	  0.021202406	2.225000E+00	  0.021202406	-2.116600E+01
5	  0.021402806	-6.590000E-01	  0.021402806	-1.355860E+02	  0.021402806	2.212000E+00	  0.021402806	-2.037700E+01
6	  0.021603208	-6.610000E-01	  0.021603208	-1.371180E+02	  0.021603208	2.196000E+00	  0.021603208	-1.960300E+01
7	  0.021803608	-6.660000E-01	  0.021803608	-1.386660E+02	  0.021803608	2.188000E+00	  0.021803608	-1.882800E+01
8	  0.022004008	-6.710000E-01	  0.022004008	-1.402120E+02	  0.022004008	2.184000E+00	  0.022004008	-1.806300E+01
9	  0.022204408	-6.760000E-01	  0.022204408	-1.417870E+02	  0.022204408	2.179000E+00	  0.022204408	-1.729000E+01
10	  0.022404809	-6.800000E-01	  0.022404809	-1.433850E+02	  0.022404809	2.171000E+00	  0.022404809	-1.651400E+01
11	  0.022605211	-6.820000E-01	  0.022605211	-1.449840E+02	  0.022605211	2.158000E+00	  0.022605211	-1.574500E+01
12	  0.022805611	-6.850000E-01	  0.022805611	-1.465930E+02	  0.022805611	2.150000E+00	  0.022805611	-1.497800E+01
13	  0.023006011	-6.910000E-01	  0.023006011	-1.481920E+02	  0.023006011	2.149000E+00	  0.023006011	-1.422100E+01
14	  0.023206413	-6.930000E-01	  0.023206413	-1.497730E+02	  0.023206413	2.140000E+00	  0.023206413	-1.348000E+01
15	  0.023406813	-6.960000E-01	  0.023406813	-1.513810E+02	  0.023406813	2.134000E+00	  0.023406813	-1.273100E+01
16	  0.023607215	-7.010000E-01	  0.023607215	-1.529790E+02	  0.023607215	2.135000E+00	  0.023607215	-1.199200E+01
17	  0.023807615	-7.100000E-01	  0.023807615	-1.545800E+02	  0.023807615	2.146000E+00	  0.023807615	-1.125700E+01
18	  0.024008015	-7.180000E-01	  0.024008015	-1.562010E+02	  0.024008015	2.159000E+00	  0.024008015	-1.051700E+01
19	  0.024208417	-7.250000E-01	  0.024208417	-1.578540E+02	  0.024208417	2.168000E+00	  0.024208417	-9.767000E+00
20	  0.024408817	-7.310000E-01	  0.024408817	-1.594920E+02	  0.024408817	2.173000E+00	  0.024408817	-9.028000E+00
21	  0.024609219	-7.380000E-01	  0.024609219	-1.611350E+02	  0.024609219	2.182000E+00	  0.024609219	-8.291000E+00
22	  0.024809619	-7.460000E-01	  0.024809619	-1.627820E+02	  0.024809619	2.196000E+00	  0.024809619	-7.555000E+00
23	  0.025010020	-7.570000E-01	  0.025010020	-1.644300E+02	  0.025010020	2.219000E+00	  0.025010020	-6.822000E+00
24	  0.025210422	-7.680000E-01	  0.025210422	-1.660860E+02	  0.025210422	2.242000E+00	  0.025210422	-6.088000E+00
25	  0.025410822	-7.800000E-01	  0.025410822	-1.677650E+02	  0.025410822	2.270000E+00	  0.025410822	-5.347000E+00
26	  0.025611224	-7.930000E-01	  0.025611224	-1.694340E+02	  0.025611224	2.300000E+00	  0.025611224	-4.613000E+00
27	  0.025811624	-8.040000E-01	  0.025811624	-1.711380E+02	  0.025811624	2.327000E+00	  0.025811624	-3.865000E+00
28	  0.026012026	-8.150000E-01	  0.026012026	-1.728500E+02	  0.026012026	2.353000E+00	  0.026012026	-3.116000E+00
29	  0.026212426	-8.280000E-01	  0.026212426	-1.745670E+02	  0.026212426	2.389000E+00	  0.026212426	-2.366000E+00
30	  0.026412826	-8.440000E-01	  0.026412826	-1.762920E+02	  0.026412826	2.430000E+00	  0.026412826	-1.614000E+00
31	  0.026613226	-8.590000E-01	  0.026613226	-1.780530E+02	  0.026613226	2.473000E+00	  0.026613226	-8.470000E-01
32	  0.026813626	-8.760000E-01	  0.026813626	-1.798110E+02	  0.026813626	2.520000E+00	  0.026813626	-8.200000E-02
33	  0.027014028	-8.940000E-01	  0.027014028	1.784220E+02	  0.027014028	2.573000E+00	  0.027014028	6.860000E-01
34	  0.027214428	-9.110000E-01	  0.027214428	1.766440E+02	  0.027214428	2.622000E+00	  0.027214428	1.460000E+00
35	  0.027414829	-9.280000E-01	  0.027414829	1.748540E+02	  0.027414829	2.674000E+00	  0.027414829	2.240000E+00
36	  0.027615231	-9.460000E-01	  0.027615231	1.730470E+02	  0.027615231	2.730000E+00	  0.027615231	3.028000E+00
37	  0.027815631	-9.650000E-01	  0.027815631	1.712240E+02	  0.027815631	2.792000E+00	  0.027815631	3.824000E+00
38	  0.028016033	-9.840000E-01	  0.028016033	1.693880E+02	  0.028016033	2.855000E+00	  0.028016033	4.628000E+00
39	  0.028216433	-1.005000E+00	  0.028216433	1.675370E+02	  0.028216433	2.924000E+00	  0.028216433	5.440000E+00
40	  0.028416833	-1.025000E+00	  0.028416833	1.656870E+02	  0.028416833	2.995000E+00	  0.028416833	6.255000E+00
41	  0.028617235	-1.046000E+00	  0.028617235	1.638330E+02	  0.028617235	3.068000E+00	  0.028617235	7.074000E+00
42	  0.028817635	-1.068000E+00	  0.028817635	1.619680E+02	  0.028817635	3.149000E+00	  0.028817635	7.902000E+00
43	  0.029018037	-1.092000E+00	  0.029018037	1.601210E+02	  0.029018037	3.235000E+00	  0.029018037	8.726000E+00
44	  0.029218437	-1.115000E+00	  0.029218437	1.582450E+02	  0.029218437	3.324000E+00	  0.029218437	9.567000E+00
45	  0.029418837	-1.139000E+00	  0.029418837	1.563500E+02	  0.029418837	3.418000E+00	  0.029418837	1.042100E+01
46	  0.029619239	-1.165000E+00	  0.029619239	1.544590E+02	  0.029619239	3.520000E+00	  0.029619239	1.127900E+01
47	  0.029819639	-1.191000E+00	  0.029819639	1.525570E+02	  0.029819639	3.627000E+00	  0.029819639	1.214700E+01
48	  0.030020041	-1.218000E+00	  0.030020041	1.506520E+02	  0.030020041	3.740000E+00	  0.030020041	1.302400E+01
49	  0.030220442	-1.245000E+00	  0.030220442	1.487510E+02	  0.030220442	3.858000E+00	  0.030220442	1.390600E+01
50	  0.030420844	-1.273000E+00	  0.030420844	1.468460E+02	  0.030420844	3.981000E+00	  0.030420844	1.479700E+01
51	  0.030621244	-1.303000E+00	  0.030621244	1.449390E+02	  0.030621244	4.117000E+00	  0.030621244	1.569600E+01
52	  0.030821642	-1.337000E+00	  0.030821642	1.430210E+02	  0.030821642	4.268000E+00	  0.030821642	1.660900E+01
53	  0.031022044	-1.370000E+00	  0.031022044	1.410970E+02	  0.031022044	4.422000E+00	  0.031022044	1.753500E+01
54	  0.031222444	-1.397000E+00	  0.031222444	1.391780E+02	  0.031222444	4.565000E+00	  0.031222444	1.846800E+01
55	  0.031422846	-1.432000E+00	  0.031422846	1.372050E+02	  0.031422846	4.741000E+00	  0.031422846	1.943900E+01
56	  0.031623244	-1.468000E+00	  0.031623244	1.352360E+02	  0.031623244	4.925000E+00	  0.031623244	2.041800E+01
57	  0.031823646	-1.508000E+00	  0.031823646	1.332610E+02	  0.031823646	5.130000E+00	  0.031823646	2.141200E+01
58	  0.032024048	-1.547000E+00	  0.032024048	1.312830E+02	  0.032024048	5.345000E+00	  0.032024048	2.242100E+01
