! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ns.m5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 05:43:05 PM	05/10/2018 05:30:44 PM
! INTERNAL TEMP:    	59.3 C	57.8 C
! # POINTS:         	490	490
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.41°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.727 ohm, -1.596 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.530000E-01	  0.020000000	-1.254090E+02	  0.020000000	2.378000E+00	  0.020000000	-2.575500E+01
2	  0.020200402	-6.570000E-01	  0.020200402	-1.268690E+02	  0.020200402	2.362000E+00	  0.020200402	-2.495500E+01
3	  0.020400802	-6.590000E-01	  0.020400802	-1.283230E+02	  0.020400802	2.340000E+00	  0.020400802	-2.416900E+01
4	  0.020601204	-6.620000E-01	  0.020601204	-1.298030E+02	  0.020601204	2.321000E+00	  0.020601204	-2.337800E+01
5	  0.020801604	-6.650000E-01	  0.020801604	-1.313120E+02	  0.020801604	2.305000E+00	  0.020801604	-2.258100E+01
6	  0.021002004	-6.670000E-01	  0.021002004	-1.328130E+02	  0.021002004	2.284000E+00	  0.021002004	-2.179800E+01
7	  0.021202406	-6.690000E-01	  0.021202406	-1.343250E+02	  0.021202406	2.267000E+00	  0.021202406	-2.101900E+01
8	  0.021402806	-6.730000E-01	  0.021402806	-1.358270E+02	  0.021402806	2.256000E+00	  0.021402806	-2.025300E+01
9	  0.021603208	-6.760000E-01	  0.021603208	-1.373420E+02	  0.021603208	2.241000E+00	  0.021603208	-1.948900E+01
10	  0.021803608	-6.790000E-01	  0.021803608	-1.388330E+02	  0.021803608	2.230000E+00	  0.021803608	-1.874400E+01
11	  0.022004008	-6.840000E-01	  0.022004008	-1.403530E+02	  0.022004008	2.223000E+00	  0.022004008	-1.799200E+01
12	  0.022204408	-6.880000E-01	  0.022204408	-1.418720E+02	  0.022204408	2.216000E+00	  0.022204408	-1.724800E+01
13	  0.022404809	-6.970000E-01	  0.022404809	-1.434130E+02	  0.022404809	2.224000E+00	  0.022404809	-1.649900E+01
14	  0.022605211	-6.990000E-01	  0.022605211	-1.449770E+02	  0.022605211	2.212000E+00	  0.022605211	-1.574700E+01
15	  0.022805611	-7.010000E-01	  0.022805611	-1.465420E+02	  0.022805611	2.199000E+00	  0.022805611	-1.500100E+01
16	  0.023006011	-7.040000E-01	  0.023006011	-1.480930E+02	  0.023006011	2.193000E+00	  0.023006011	-1.426700E+01
17	  0.023206413	-7.080000E-01	  0.023206413	-1.496520E+02	  0.023206413	2.188000E+00	  0.023206413	-1.353600E+01
