! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/255.ew.m9.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:58:19 PM	05/10/2018 01:50:32 PM
! INTERNAL TEMP:    	56.5 C	56.0 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.57°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.762 ohm, -1.616 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-9.190000E-01	  0.020000000	-1.255690E+02	  0.020000000	3.342000E+00	  0.020000000	-2.562200E+01
2	  0.020200402	-9.290000E-01	  0.020200402	-1.270190E+02	  0.020200402	3.335000E+00	  0.020200402	-2.482900E+01
3	  0.020400802	-9.380000E-01	  0.020400802	-1.284420E+02	  0.020400802	3.324000E+00	  0.020400802	-2.406100E+01
4	  0.020601204	-9.470000E-01	  0.020601204	-1.299090E+02	  0.020601204	3.318000E+00	  0.020601204	-2.327800E+01
5	  0.020801604	-9.580000E-01	  0.020801604	-1.313950E+02	  0.020801604	3.315000E+00	  0.020801604	-2.249500E+01
6	  0.021002004	-9.660000E-01	  0.021002004	-1.329050E+02	  0.021002004	3.305000E+00	  0.021002004	-2.170900E+01
7	  0.021202406	-9.760000E-01	  0.021202406	-1.344170E+02	  0.021202406	3.300000E+00	  0.021202406	-2.093100E+01
8	  0.021402806	-9.850000E-01	  0.021402806	-1.358990E+02	  0.021402806	3.295000E+00	  0.021402806	-2.017600E+01
9	  0.021603208	-9.930000E-01	  0.021603208	-1.373930E+02	  0.021603208	3.290000E+00	  0.021603208	-1.942400E+01
10	  0.021803608	-1.005000E+00	  0.021803608	-1.388880E+02	  0.021803608	3.294000E+00	  0.021803608	-1.867800E+01
11	  0.022004008	-1.014000E+00	  0.022004008	-1.403840E+02	  0.022004008	3.293000E+00	  0.022004008	-1.793900E+01
12	  0.022204408	-1.025000E+00	  0.022204408	-1.418930E+02	  0.022204408	3.300000E+00	  0.022204408	-1.720100E+01
13	  0.022404809	-1.035000E+00	  0.022404809	-1.434390E+02	  0.022404809	3.299000E+00	  0.022404809	-1.645100E+01
14	  0.022605211	-1.048000E+00	  0.022605211	-1.449800E+02	  0.022605211	3.312000E+00	  0.022605211	-1.571100E+01
15	  0.022805611	-1.059000E+00	  0.022805611	-1.465320E+02	  0.022805611	3.319000E+00	  0.022805611	-1.497100E+01
16	  0.023006011	-1.067000E+00	  0.023006011	-1.480820E+02	  0.023006011	3.318000E+00	  0.023006011	-1.424000E+01
17	  0.023206413	-1.073000E+00	  0.023206413	-1.496280E+02	  0.023206413	3.313000E+00	  0.023206413	-1.351500E+01
18	  0.023406813	-1.083000E+00	  0.023406813	-1.511810E+02	  0.023406813	3.319000E+00	  0.023406813	-1.279300E+01
19	  0.023607215	-1.095000E+00	  0.023607215	-1.527490E+02	  0.023607215	3.334000E+00	  0.023607215	-1.206800E+01
20	  0.023807615	-1.109000E+00	  0.023807615	-1.543210E+02	  0.023807615	3.355000E+00	  0.023807615	-1.134700E+01
21	  0.024008015	-1.123000E+00	  0.024008015	-1.559150E+02	  0.024008015	3.376000E+00	  0.024008015	-1.062000E+01
22	  0.024208417	-1.133000E+00	  0.024208417	-1.575380E+02	  0.024208417	3.385000E+00	  0.024208417	-9.884000E+00
23	  0.024408817	-1.143000E+00	  0.024408817	-1.591570E+02	  0.024408817	3.398000E+00	  0.024408817	-9.154000E+00
24	  0.024609219	-1.155000E+00	  0.024609219	-1.607810E+02	  0.024609219	3.415000E+00	  0.024609219	-8.426000E+00
25	  0.024809619	-1.168000E+00	  0.024809619	-1.624160E+02	  0.024809619	3.437000E+00	  0.024809619	-7.697000E+00
26	  0.025010020	-1.183000E+00	  0.025010020	-1.640570E+02	  0.025010020	3.467000E+00	  0.025010020	-6.968000E+00
27	  0.025210422	-1.196000E+00	  0.025210422	-1.656980E+02	  0.025210422	3.492000E+00	  0.025210422	-6.242000E+00
28	  0.025410822	-1.213000E+00	  0.025410822	-1.673550E+02	  0.025410822	3.530000E+00	  0.025410822	-5.512000E+00
29	  0.025611224	-1.229000E+00	  0.025611224	-1.690190E+02	  0.025611224	3.564000E+00	  0.025611224	-4.781000E+00
30	  0.025811624	-1.246000E+00	  0.025811624	-1.707010E+02	  0.025811624	3.605000E+00	  0.025811624	-4.045000E+00
31	  0.026012026	-1.263000E+00	  0.026012026	-1.724030E+02	  0.026012026	3.644000E+00	  0.026012026	-3.302000E+00
32	  0.026212426	-1.278000E+00	  0.026212426	-1.741070E+02	  0.026212426	3.682000E+00	  0.026212426	-2.559000E+00
33	  0.026412826	-1.296000E+00	  0.026412826	-1.758090E+02	  0.026412826	3.728000E+00	  0.026412826	-1.818000E+00
34	  0.026613226	-1.315000E+00	  0.026613226	-1.775280E+02	  0.026613226	3.779000E+00	  0.026613226	-1.072000E+00
35	  0.026813626	-1.335000E+00	  0.026813626	-1.792710E+02	  0.026813626	3.835000E+00	  0.026813626	-3.150000E-01
36	  0.027014028	-1.355000E+00	  0.027014028	1.789920E+02	  0.027014028	3.895000E+00	  0.027014028	4.360000E-01
37	  0.027214428	-1.378000E+00	  0.027214428	1.772460E+02	  0.027214428	3.960000E+00	  0.027214428	1.194000E+00
38	  0.027414829	-1.400000E+00	  0.027414829	1.754970E+02	  0.027414829	4.028000E+00	  0.027414829	1.952000E+00
39	  0.027615231	-1.422000E+00	  0.027615231	1.737220E+02	  0.027615231	4.097000E+00	  0.027615231	2.723000E+00
40	  0.027815631	-1.445000E+00	  0.027815631	1.719460E+02	  0.027815631	4.171000E+00	  0.027815631	3.495000E+00
41	  0.028016033	-1.470000E+00	  0.028016033	1.701570E+02	  0.028016033	4.254000E+00	  0.028016033	4.274000E+00
42	  0.028216433	-1.496000E+00	  0.028216433	1.683450E+02	  0.028216433	4.341000E+00	  0.028216433	5.064000E+00
43	  0.028416833	-1.524000E+00	  0.028416833	1.665410E+02	  0.028416833	4.436000E+00	  0.028416833	5.853000E+00
44	  0.028617235	-1.550000E+00	  0.028617235	1.647280E+02	  0.028617235	4.529000E+00	  0.028617235	6.648000E+00
45	  0.028817635	-1.578000E+00	  0.028817635	1.629030E+02	  0.028817635	4.631000E+00	  0.028817635	7.452000E+00
46	  0.029018037	-1.607000E+00	  0.029018037	1.610860E+02	  0.029018037	4.739000E+00	  0.029018037	8.255000E+00
47	  0.029218437	-1.635000E+00	  0.029218437	1.592400E+02	  0.029218437	4.850000E+00	  0.029218437	9.074000E+00
48	  0.029418837	-1.667000E+00	  0.029418837	1.573940E+02	  0.029418837	4.973000E+00	  0.029418837	9.898000E+00
49	  0.029619239	-1.697000E+00	  0.029619239	1.555240E+02	  0.029619239	5.097000E+00	  0.029619239	1.073700E+01
50	  0.029819639	-1.728000E+00	  0.029819639	1.536330E+02	  0.029819639	5.228000E+00	  0.029819639	1.159000E+01
51	  0.030020041	-1.761000E+00	  0.030020041	1.517600E+02	  0.030020041	5.370000E+00	  0.030020041	1.244100E+01
52	  0.030220442	-1.793000E+00	  0.030220442	1.498710E+02	  0.030220442	5.511000E+00	  0.030220442	1.330500E+01
53	  0.030420844	-1.826000E+00	  0.030420844	1.479810E+02	  0.030420844	5.662000E+00	  0.030420844	1.417500E+01
54	  0.030621244	-1.860000E+00	  0.030621244	1.460880E+02	  0.030621244	5.823000E+00	  0.030621244	1.505400E+01
55	  0.030821642	-1.896000E+00	  0.030821642	1.441950E+02	  0.030821642	5.995000E+00	  0.030821642	1.594100E+01
56	  0.031022044	-1.932000E+00	  0.031022044	1.422720E+02	  0.031022044	6.176000E+00	  0.031022044	1.684900E+01
57	  0.031222444	-1.959000E+00	  0.031222444	1.403540E+02	  0.031222444	6.336000E+00	  0.031222444	1.776600E+01
58	  0.031422846	-1.997000E+00	  0.031422846	1.383970E+02	  0.031422846	6.539000E+00	  0.031422846	1.870900E+01
59	  0.031623244	-2.036000E+00	  0.031623244	1.364360E+02	  0.031623244	6.751000E+00	  0.031623244	1.966500E+01
60	  0.031823646	-2.071000E+00	  0.031823646	1.344710E+02	  0.031823646	6.962000E+00	  0.031823646	2.063400E+01
61	  0.032024048	-2.112000E+00	  0.032024048	1.325030E+02	  0.032024048	7.199000E+00	  0.032024048	2.161500E+01
62	  0.032224450	-2.153000E+00	  0.032224450	1.305350E+02	  0.032224450	7.449000E+00	  0.032224450	2.260800E+01
63	  0.032424849	-2.195000E+00	  0.032424849	1.285300E+02	  0.032424849	7.716000E+00	  0.032424849	2.363300E+01
64	  0.032625251	-2.233000E+00	  0.032625251	1.265440E+02	  0.032625251	7.981000E+00	  0.032625251	2.466300E+01
65	  0.032825653	-2.274000E+00	  0.032825653	1.245290E+02	  0.032825653	8.270000E+00	  0.032825653	2.572300E+01
66	  0.033026051	-2.315000E+00	  0.033026051	1.225090E+02	  0.033026051	8.573000E+00	  0.033026051	2.680200E+01
67	  0.033226453	-2.357000E+00	  0.033226453	1.204850E+02	  0.033226453	8.894000E+00	  0.033226453	2.790000E+01
68	  0.033426855	-2.398000E+00	  0.033426855	1.184710E+02	  0.033426855	9.228000E+00	  0.033426855	2.900900E+01
69	  0.033627257	-2.442000E+00	  0.033627257	1.164510E+02	  0.033627257	9.593000E+00	  0.033627257	3.014000E+01
70	  0.033827655	-2.483000E+00	  0.033827655	1.144300E+02	  0.033827655	9.963000E+00	  0.033827655	3.129200E+01
71	  0.034028057	-2.529000E+00	  0.034028057	1.124230E+02	  0.034028057	1.037000E+01	  0.034028057	3.245300E+01
72	  0.034228459	-2.573000E+00	  0.034228459	1.103720E+02	  0.034228459	1.079700E+01	  0.034228459	3.366400E+01
73	  0.034428857	-2.620000E+00	  0.034428857	1.083270E+02	  0.034428857	1.125900E+01	  0.034428857	3.489100E+01
74	  0.034629259	-2.667000E+00	  0.034629259	1.062440E+02	  0.034629259	1.175200E+01	  0.034629259	3.616700E+01
75	  0.034829661	-2.712000E+00	  0.034829661	1.041910E+02	  0.034829661	1.226000E+01	  0.034829661	3.745100E+01
76	  0.035030060	-2.763000E+00	  0.035030060	1.021490E+02	  0.035030060	1.282400E+01	  0.035030060	3.874700E+01
