! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/bot20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:19:48 PM	05/10/2018 01:17:32 PM
! INTERNAL TEMP:    	52.3 C	52.0 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:154.49°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(32.415 ohm, 35.222 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.264000E+00	  0.020000000	1.544900E+02	  0.020000000	2.061600E+01	  0.020000000	9.473000E+00
2	  0.020200402	-7.263000E+00	  0.020200402	1.542420E+02	  0.020200402	2.063200E+01	  0.020200402	9.567000E+00
3	  0.020400802	-7.263000E+00	  0.020400802	1.540000E+02	  0.020400802	2.064800E+01	  0.020400802	9.658000E+00
4	  0.020601204	-7.262000E+00	  0.020601204	1.537360E+02	  0.020601204	2.066300E+01	  0.020601204	9.759000E+00
5	  0.020801604	-7.261000E+00	  0.020801604	1.534930E+02	  0.020801604	2.068000E+01	  0.020801604	9.851000E+00
6	  0.021002004	-7.261000E+00	  0.021002004	1.532390E+02	  0.021002004	2.069700E+01	  0.021002004	9.947000E+00
7	  0.021202406	-7.262000E+00	  0.021202406	1.529900E+02	  0.021202406	2.071800E+01	  0.021202406	1.004100E+01
8	  0.021402806	-7.262000E+00	  0.021402806	1.527480E+02	  0.021402806	2.073400E+01	  0.021402806	1.013300E+01
9	  0.021603208	-7.264000E+00	  0.021603208	1.524880E+02	  0.021603208	2.075900E+01	  0.021603208	1.023000E+01
10	  0.021803608	-7.266000E+00	  0.021803608	1.522360E+02	  0.021803608	2.078200E+01	  0.021803608	1.032500E+01
11	  0.022004008	-7.264000E+00	  0.022004008	1.519970E+02	  0.022004008	2.079600E+01	  0.022004008	1.041700E+01
12	  0.022204408	-7.264000E+00	  0.022204408	1.517290E+02	  0.022204408	2.081600E+01	  0.022204408	1.051900E+01
13	  0.022404809	-7.267000E+00	  0.022404809	1.514920E+02	  0.022404809	2.084200E+01	  0.022404809	1.060700E+01
14	  0.022605211	-7.267000E+00	  0.022605211	1.512400E+02	  0.022605211	2.086100E+01	  0.022605211	1.070300E+01
15	  0.022805611	-7.261000E+00	  0.022805611	1.509810E+02	  0.022805611	2.086800E+01	  0.022805611	1.080400E+01
16	  0.023006011	-7.262000E+00	  0.023006011	1.507350E+02	  0.023006011	2.089000E+01	  0.023006011	1.089700E+01
17	  0.023206413	-7.264000E+00	  0.023206413	1.504920E+02	  0.023206413	2.091300E+01	  0.023206413	1.098900E+01
18	  0.023406813	-7.266000E+00	  0.023406813	1.502140E+02	  0.023406813	2.094000E+01	  0.023406813	1.109400E+01
19	  0.023607215	-7.268000E+00	  0.023607215	1.499900E+02	  0.023607215	2.096500E+01	  0.023607215	1.117800E+01
20	  0.023807615	-7.267000E+00	  0.023807615	1.497560E+02	  0.023807615	2.098000E+01	  0.023807615	1.126800E+01
21	  0.024008015	-7.265000E+00	  0.024008015	1.495000E+02	  0.024008015	2.099800E+01	  0.024008015	1.136700E+01
22	  0.024208417	-7.268000E+00	  0.024208417	1.492510E+02	  0.024208417	2.102500E+01	  0.024208417	1.146100E+01
23	  0.024408817	-7.268000E+00	  0.024408817	1.490000E+02	  0.024408817	2.104600E+01	  0.024408817	1.155700E+01
24	  0.024609219	-7.271000E+00	  0.024609219	1.487520E+02	  0.024609219	2.107400E+01	  0.024609219	1.165000E+01
25	  0.024809619	-7.269000E+00	  0.024809619	1.485140E+02	  0.024809619	2.109100E+01	  0.024809619	1.174200E+01
26	  0.025010020	-7.272000E+00	  0.025010020	1.482660E+02	  0.025010020	2.112000E+01	  0.025010020	1.183500E+01
27	  0.025210422	-7.272000E+00	  0.025210422	1.480300E+02	  0.025210422	2.114000E+01	  0.025210422	1.192600E+01
28	  0.025410822	-7.273000E+00	  0.025410822	1.477570E+02	  0.025410822	2.116700E+01	  0.025410822	1.203000E+01
29	  0.025611224	-7.272000E+00	  0.025611224	1.474990E+02	  0.025611224	2.118900E+01	  0.025611224	1.212900E+01
30	  0.025811624	-7.274000E+00	  0.025811624	1.472570E+02	  0.025811624	2.121500E+01	  0.025811624	1.222100E+01
31	  0.026012026	-7.276000E+00	  0.026012026	1.470010E+02	  0.026012026	2.124300E+01	  0.026012026	1.231800E+01
32	  0.026212426	-7.275000E+00	  0.026212426	1.467380E+02	  0.026212426	2.126400E+01	  0.026212426	1.242000E+01
33	  0.026412826	-7.275000E+00	  0.026412826	1.464960E+02	  0.026412826	2.128700E+01	  0.026412826	1.251300E+01
34	  0.026613226	-7.274000E+00	  0.026613226	1.462470E+02	  0.026613226	2.130900E+01	  0.026613226	1.260900E+01
35	  0.026813626	-7.273000E+00	  0.026813626	1.459890E+02	  0.026813626	2.133000E+01	  0.026813626	1.270900E+01
36	  0.027014028	-7.275000E+00	  0.027014028	1.457530E+02	  0.027014028	2.135700E+01	  0.027014028	1.279900E+01
37	  0.027214428	-7.275000E+00	  0.027214428	1.454880E+02	  0.027214428	2.138200E+01	  0.027214428	1.290100E+01
38	  0.027414829	-7.275000E+00	  0.027414829	1.452350E+02	  0.027414829	2.140800E+01	  0.027414829	1.299800E+01
39	  0.027615231	-7.276000E+00	  0.027615231	1.449790E+02	  0.027615231	2.143500E+01	  0.027615231	1.309600E+01
40	  0.027815631	-7.277000E+00	  0.027815631	1.447260E+02	  0.027815631	2.146100E+01	  0.027815631	1.319400E+01
