! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r20.5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 01:24:30 PM	05/27/2018 01:14:08 PM
! INTERNAL TEMP:    	52.0 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(32.574 ohm, 35.040 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.288000E+00	  0.020000000	1.545550E+02	  0.020000000	2.067200E+01	  0.020000000	9.437000E+00
2	  0.020200402	-7.290000E+00	  0.020200402	1.543120E+02	  0.020200402	2.069400E+01	  0.020200402	9.528000E+00
3	  0.020400802	-7.287000E+00	  0.020400802	1.540790E+02	  0.020400802	2.070200E+01	  0.020400802	9.617000E+00
4	  0.020601204	-7.286000E+00	  0.020601204	1.538370E+02	  0.020601204	2.071600E+01	  0.020601204	9.709000E+00
5	  0.020801604	-7.284000E+00	  0.020801604	1.535550E+02	  0.020801604	2.073100E+01	  0.020801604	9.817000E+00
6	  0.021002004	-7.280000E+00	  0.021002004	1.533040E+02	  0.021002004	2.073900E+01	  0.021002004	9.913000E+00
7	  0.021202406	-7.279000E+00	  0.021202406	1.530610E+02	  0.021202406	2.075400E+01	  0.021202406	1.000600E+01
8	  0.021402806	-7.284000E+00	  0.021402806	1.528100E+02	  0.021402806	2.078500E+01	  0.021402806	1.009900E+01
9	  0.021603208	-7.284000E+00	  0.021603208	1.525890E+02	  0.021603208	2.080200E+01	  0.021603208	1.018200E+01
10	  0.021803608	-7.288000E+00	  0.021803608	1.523320E+02	  0.021803608	2.083100E+01	  0.021803608	1.027800E+01
11	  0.022004008	-7.291000E+00	  0.022004008	1.521100E+02	  0.022004008	2.085400E+01	  0.022004008	1.036100E+01
12	  0.022204408	-7.292000E+00	  0.022204408	1.518720E+02	  0.022204408	2.087600E+01	  0.022204408	1.045000E+01
13	  0.022404809	-7.292000E+00	  0.022404809	1.516260E+02	  0.022404809	2.089400E+01	  0.022404809	1.054300E+01
14	  0.022605211	-7.297000E+00	  0.022605211	1.513810E+02	  0.022605211	2.092700E+01	  0.022605211	1.063400E+01
15	  0.022805611	-7.297000E+00	  0.022805611	1.511260E+02	  0.022805611	2.094600E+01	  0.022805611	1.073100E+01
16	  0.023006011	-7.295000E+00	  0.023006011	1.508810E+02	  0.023006011	2.096000E+01	  0.023006011	1.082500E+01
17	  0.023206413	-7.294000E+00	  0.023206413	1.506050E+02	  0.023206413	2.097900E+01	  0.023206413	1.093100E+01
18	  0.023406813	-7.296000E+00	  0.023406813	1.503390E+02	  0.023406813	2.100700E+01	  0.023406813	1.103000E+01
19	  0.023607215	-7.295000E+00	  0.023607215	1.500630E+02	  0.023607215	2.102600E+01	  0.023607215	1.113600E+01
20	  0.023807615	-7.294000E+00	  0.023807615	1.497880E+02	  0.023807615	2.104700E+01	  0.023807615	1.124100E+01
21	  0.024008015	-7.296000E+00	  0.024008015	1.495320E+02	  0.024008015	2.107300E+01	  0.024008015	1.133800E+01
22	  0.024208417	-7.295000E+00	  0.024208417	1.493100E+02	  0.024208417	2.108900E+01	  0.024208417	1.142300E+01
23	  0.024408817	-7.299000E+00	  0.024408817	1.490650E+02	  0.024408817	2.112000E+01	  0.024408817	1.151400E+01
24	  0.024609219	-7.303000E+00	  0.024609219	1.488420E+02	  0.024609219	2.115000E+01	  0.024609219	1.159700E+01
25	  0.024809619	-7.303000E+00	  0.024809619	1.485850E+02	  0.024809619	2.117100E+01	  0.024809619	1.169500E+01
26	  0.025010020	-7.304000E+00	  0.025010020	1.483490E+02	  0.025010020	2.119400E+01	  0.025010020	1.178500E+01
27	  0.025210422	-7.306000E+00	  0.025210422	1.480950E+02	  0.025210422	2.122100E+01	  0.025210422	1.188100E+01
28	  0.025410822	-7.313000E+00	  0.025410822	1.478150E+02	  0.025410822	2.126300E+01	  0.025410822	1.198400E+01
29	  0.025611224	-7.312000E+00	  0.025611224	1.475330E+02	  0.025611224	2.128600E+01	  0.025611224	1.209200E+01
30	  0.025811624	-7.307000E+00	  0.025811624	1.472330E+02	  0.025811624	2.130000E+01	  0.025811624	1.221000E+01
31	  0.026012026	-7.302000E+00	  0.026012026	1.469760E+02	  0.026012026	2.131200E+01	  0.026012026	1.231200E+01
32	  0.026212426	-7.297000E+00	  0.026212426	1.466970E+02	  0.026212426	2.132400E+01	  0.026212426	1.242200E+01
33	  0.026412826	-7.294000E+00	  0.026412826	1.464260E+02	  0.026412826	2.134300E+01	  0.026412826	1.252800E+01
34	  0.026613226	-7.295000E+00	  0.026613226	1.462050E+02	  0.026613226	2.136500E+01	  0.026613226	1.261200E+01
35	  0.026813626	-7.289000E+00	  0.026813626	1.459860E+02	  0.026813626	2.137000E+01	  0.026813626	1.270000E+01
36	  0.027014028	-7.287000E+00	  0.027014028	1.457750E+02	  0.027014028	2.138700E+01	  0.027014028	1.278200E+01
37	  0.027214428	-7.294000E+00	  0.027214428	1.455860E+02	  0.027214428	2.142000E+01	  0.027214428	1.285100E+01
38	  0.027414829	-7.291000E+00	  0.027414829	1.453740E+02	  0.027414829	2.143300E+01	  0.027414829	1.293500E+01
39	  0.027615231	-7.292000E+00	  0.027615231	1.451590E+02	  0.027615231	2.145700E+01	  0.027615231	1.301700E+01
40	  0.027815631	-7.298000E+00	  0.027815631	1.449170E+02	  0.027815631	2.149700E+01	  0.027815631	1.310600E+01
41	  0.028016033	-7.301000E+00	  0.028016033	1.446630E+02	  0.028016033	2.152900E+01	  0.028016033	1.320200E+01
42	  0.028216433	-7.303000E+00	  0.028216433	1.443910E+02	  0.028216433	2.156200E+01	  0.028216433	1.330600E+01
43	  0.028416833	-7.303000E+00	  0.028416833	1.441190E+02	  0.028416833	2.158900E+01	  0.028416833	1.341100E+01
44	  0.028617235	-7.303000E+00	  0.028617235	1.438640E+02	  0.028617235	2.161600E+01	  0.028617235	1.350900E+01
45	  0.028817635	-7.303000E+00	  0.028817635	1.435700E+02	  0.028817635	2.164400E+01	  0.028817635	1.362400E+01
46	  0.029018037	-7.306000E+00	  0.029018037	1.433000E+02	  0.029018037	2.168000E+01	  0.029018037	1.372600E+01
47	  0.029218437	-7.301000E+00	  0.029218437	1.430300E+02	  0.029218437	2.169600E+01	  0.029218437	1.383400E+01
48	  0.029418837	-7.297000E+00	  0.029418837	1.427950E+02	  0.029418837	2.171100E+01	  0.029418837	1.392700E+01
49	  0.029619239	-7.295000E+00	  0.029619239	1.425900E+02	  0.029619239	2.172800E+01	  0.029619239	1.400800E+01
50	  0.029819639	-7.292000E+00	  0.029819639	1.423890E+02	  0.029819639	2.174000E+01	  0.029819639	1.408900E+01
51	  0.030020041	-7.291000E+00	  0.030020041	1.422050E+02	  0.030020041	2.175800E+01	  0.030020041	1.416100E+01
52	  0.030220442	-7.295000E+00	  0.030220442	1.419920E+02	  0.030220442	2.179100E+01	  0.030220442	1.424100E+01
53	  0.030420844	-7.304000E+00	  0.030420844	1.417680E+02	  0.030420844	2.183800E+01	  0.030420844	1.432200E+01
54	  0.030621244	-7.311000E+00	  0.030621244	1.415150E+02	  0.030621244	2.188400E+01	  0.030621244	1.441500E+01
55	  0.030821644	-7.316000E+00	  0.030821644	1.412170E+02	  0.030821644	2.193100E+01	  0.030821644	1.452700E+01
56	  0.031022044	-7.318000E+00	  0.031022044	1.409160E+02	  0.031022044	2.196900E+01	  0.031022044	1.464300E+01
57	  0.031222444	-7.307000E+00	  0.031222444	1.406530E+02	  0.031222444	2.197100E+01	  0.031222444	1.475300E+01
58	  0.031422846	-7.308000E+00	  0.031422846	1.403680E+02	  0.031422846	2.200400E+01	  0.031422846	1.486400E+01
59	  0.031623244	-7.309000E+00	  0.031623244	1.400650E+02	  0.031623244	2.204200E+01	  0.031623244	1.498200E+01
60	  0.031823646	-7.298000E+00	  0.031823646	1.398150E+02	  0.031823646	2.204200E+01	  0.031823646	1.508800E+01
61	  0.032024048	-7.293000E+00	  0.032024048	1.395780E+02	  0.032024048	2.205900E+01	  0.032024048	1.518400E+01
62	  0.032224450	-7.288000E+00	  0.032224450	1.393280E+02	  0.032224450	2.207300E+01	  0.032224450	1.528600E+01
63	  0.032424849	-7.277000E+00	  0.032424849	1.390960E+02	  0.032424849	2.207300E+01	  0.032424849	1.538600E+01
64	  0.032625251	-7.273000E+00	  0.032625251	1.389040E+02	  0.032625251	2.208700E+01	  0.032625251	1.546400E+01
65	  0.032825653	-7.275000E+00	  0.032825653	1.386470E+02	  0.032825653	2.212200E+01	  0.032825653	1.556300E+01
66	  0.033026051	-7.274000E+00	  0.033026051	1.384660E+02	  0.033026051	2.214000E+01	  0.033026051	1.563600E+01
67	  0.033226453	-7.276000E+00	  0.033226453	1.382360E+02	  0.033226453	2.217300E+01	  0.033226453	1.572500E+01
68	  0.033426855	-7.282000E+00	  0.033426855	1.379840E+02	  0.033426855	2.222100E+01	  0.033426855	1.581900E+01
69	  0.033627257	-7.284000E+00	  0.033627257	1.377310E+02	  0.033627257	2.225700E+01	  0.033627257	1.591700E+01
70	  0.033827655	-7.287000E+00	  0.033827655	1.374530E+02	  0.033827655	2.230000E+01	  0.033827655	1.602400E+01
71	  0.034028057	-7.295000E+00	  0.034028057	1.371840E+02	  0.034028057	2.235300E+01	  0.034028057	1.612400E+01
72	  0.034228459	-7.298000E+00	  0.034228459	1.369270E+02	  0.034228459	2.239400E+01	  0.034228459	1.622300E+01
73	  0.034428857	-7.302000E+00	  0.034428857	1.366530E+02	  0.034428857	2.243800E+01	  0.034428857	1.632800E+01
74	  0.034629259	-7.299000E+00	  0.034629259	1.363870E+02	  0.034629259	2.246400E+01	  0.034629259	1.643500E+01
75	  0.034829661	-7.292000E+00	  0.034829661	1.361260E+02	  0.034829661	2.248100E+01	  0.034829661	1.654400E+01
76	  0.035030060	-7.288000E+00	  0.035030060	1.358560E+02	  0.035030060	2.250700E+01	  0.035030060	1.665400E+01
77	  0.035230462	-7.282000E+00	  0.035230462	1.356030E+02	  0.035230462	2.252400E+01	  0.035230462	1.676000E+01
78	  0.035430863	-7.273000E+00	  0.035430863	1.353830E+02	  0.035430863	2.252800E+01	  0.035430863	1.685500E+01
