! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.m5_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:15:22 PM	05/27/2018 03:52:12 PM
! INTERNAL TEMP:    	51.8 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(17.293 ohm, -2.569 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.150000E-01	  0.020000000	-1.249880E+02	  0.020000000	2.615000E+00	  0.020000000	-2.597800E+01
2	  0.020200402	-7.160000E-01	  0.020200402	-1.264480E+02	  0.020200402	2.585000E+00	  0.020200402	-2.517600E+01
3	  0.020400802	-7.170000E-01	  0.020400802	-1.278870E+02	  0.020400802	2.555000E+00	  0.020400802	-2.439500E+01
4	  0.020601204	-7.220000E-01	  0.020601204	-1.293210E+02	  0.020601204	2.543000E+00	  0.020601204	-2.362700E+01
5	  0.020801604	-7.300000E-01	  0.020801604	-1.307910E+02	  0.020801604	2.541000E+00	  0.020801604	-2.284700E+01
6	  0.021002004	-7.370000E-01	  0.021002004	-1.323000E+02	  0.021002004	2.536000E+00	  0.021002004	-2.205600E+01
7	  0.021202406	-7.450000E-01	  0.021202406	-1.338250E+02	  0.021202406	2.533000E+00	  0.021202406	-2.126700E+01
8	  0.021402806	-7.540000E-01	  0.021402806	-1.353520E+02	  0.021402806	2.536000E+00	  0.021402806	-2.048500E+01
9	  0.021603208	-7.600000E-01	  0.021603208	-1.368860E+02	  0.021603208	2.528000E+00	  0.021603208	-1.970800E+01
10	  0.021803608	-7.670000E-01	  0.021803608	-1.384220E+02	  0.021803608	2.525000E+00	  0.021803608	-1.893900E+01
11	  0.022004008	-7.730000E-01	  0.022004008	-1.399920E+02	  0.022004008	2.518000E+00	  0.022004008	-1.816100E+01
12	  0.022204408	-7.780000E-01	  0.022204408	-1.415800E+02	  0.022204408	2.510000E+00	  0.022204408	-1.738200E+01
13	  0.022404809	-7.790000E-01	  0.022404809	-1.431820E+02	  0.022404809	2.488000E+00	  0.022404809	-1.660400E+01
14	  0.022605211	-7.840000E-01	  0.022605211	-1.447450E+02	  0.022605211	2.484000E+00	  0.022605211	-1.585100E+01
15	  0.022805611	-7.870000E-01	  0.022805611	-1.463080E+02	  0.022805611	2.472000E+00	  0.022805611	-1.510500E+01
16	  0.023006011	-7.880000E-01	  0.023006011	-1.478770E+02	  0.023006011	2.456000E+00	  0.023006011	-1.436200E+01
17	  0.023206413	-7.950000E-01	  0.023206413	-1.494540E+02	  0.023206413	2.459000E+00	  0.023206413	-1.362200E+01
18	  0.023406813	-8.030000E-01	  0.023406813	-1.510510E+02	  0.023406813	2.465000E+00	  0.023406813	-1.287700E+01
19	  0.023607215	-8.100000E-01	  0.023607215	-1.526570E+02	  0.023607215	2.468000E+00	  0.023607215	-1.213300E+01
20	  0.023807615	-8.200000E-01	  0.023807615	-1.542460E+02	  0.023807615	2.483000E+00	  0.023807615	-1.140300E+01
21	  0.024008015	-8.280000E-01	  0.024008015	-1.558530E+02	  0.024008015	2.492000E+00	  0.024008015	-1.066900E+01
22	  0.024208417	-8.400000E-01	  0.024208417	-1.574510E+02	  0.024208417	2.512000E+00	  0.024208417	-9.943000E+00
23	  0.024408817	-8.520000E-01	  0.024408817	-1.590740E+02	  0.024408817	2.536000E+00	  0.024408817	-9.210000E+00
24	  0.024609219	-8.650000E-01	  0.024609219	-1.607180E+02	  0.024609219	2.561000E+00	  0.024609219	-8.471000E+00
25	  0.024809619	-8.750000E-01	  0.024809619	-1.623920E+02	  0.024809619	2.577000E+00	  0.024809619	-7.723000E+00
26	  0.025010020	-8.830000E-01	  0.025010020	-1.640670E+02	  0.025010020	2.590000E+00	  0.025010020	-6.978000E+00
27	  0.025210422	-8.930000E-01	  0.025210422	-1.657280E+02	  0.025210422	2.609000E+00	  0.025210422	-6.242000E+00
28	  0.025410822	-9.080000E-01	  0.025410822	-1.674160E+02	  0.025410822	2.644000E+00	  0.025410822	-5.497000E+00
29	  0.025611224	-9.190000E-01	  0.025611224	-1.690960E+02	  0.025611224	2.669000E+00	  0.025611224	-4.758000E+00
30	  0.025811624	-9.330000E-01	  0.025811624	-1.708130E+02	  0.025811624	2.700000E+00	  0.025811624	-4.005000E+00
31	  0.026012026	-9.470000E-01	  0.026012026	-1.725300E+02	  0.026012026	2.736000E+00	  0.026012026	-3.254000E+00
32	  0.026212426	-9.650000E-01	  0.026212426	-1.742680E+02	  0.026212426	2.781000E+00	  0.026212426	-2.495000E+00
33	  0.026412826	-9.820000E-01	  0.026412826	-1.760140E+02	  0.026412826	2.829000E+00	  0.026412826	-1.734000E+00
34	  0.026613226	-1.002000E+00	  0.026613226	-1.777720E+02	  0.026613226	2.883000E+00	  0.026613226	-9.680000E-01
35	  0.026813626	-1.020000E+00	  0.026813626	-1.795230E+02	  0.026813626	2.933000E+00	  0.026813626	-2.070000E-01
36	  0.027014028	-1.036000E+00	  0.027014028	1.787330E+02	  0.027014028	2.980000E+00	  0.027014028	5.500000E-01
37	  0.027214428	-1.050000E+00	  0.027214428	1.769810E+02	  0.027214428	3.022000E+00	  0.027214428	1.312000E+00
38	  0.027414829	-1.067000E+00	  0.027414829	1.752260E+02	  0.027414829	3.075000E+00	  0.027414829	2.076000E+00
39	  0.027615231	-1.085000E+00	  0.027615231	1.734670E+02	  0.027615231	3.130000E+00	  0.027615231	2.842000E+00
40	  0.027815631	-1.107000E+00	  0.027815631	1.717030E+02	  0.027815631	3.201000E+00	  0.027815631	3.611000E+00
41	  0.028016033	-1.127000E+00	  0.028016033	1.699190E+02	  0.028016033	3.265000E+00	  0.028016033	4.391000E+00
42	  0.028216433	-1.149000E+00	  0.028216433	1.681220E+02	  0.028216433	3.339000E+00	  0.028216433	5.178000E+00
43	  0.028416833	-1.171000E+00	  0.028416833	1.663350E+02	  0.028416833	3.415000E+00	  0.028416833	5.962000E+00
44	  0.028617235	-1.195000E+00	  0.028617235	1.645520E+02	  0.028617235	3.498000E+00	  0.028617235	6.748000E+00
45	  0.028817635	-1.223000E+00	  0.028817635	1.627410E+02	  0.028817635	3.596000E+00	  0.028817635	7.549000E+00
46	  0.029018037	-1.250000E+00	  0.029018037	1.609050E+02	  0.029018037	3.695000E+00	  0.029018037	8.364000E+00
47	  0.029218437	-1.277000E+00	  0.029218437	1.590490E+02	  0.029218437	3.794000E+00	  0.029218437	9.193000E+00
48	  0.029418837	-1.302000E+00	  0.029418837	1.571970E+02	  0.029418837	3.891000E+00	  0.029418837	1.002400E+01
49	  0.029619239	-1.326000E+00	  0.029619239	1.553450E+02	  0.029619239	3.990000E+00	  0.029619239	1.086000E+01
50	  0.029819639	-1.355000E+00	  0.029819639	1.534980E+02	  0.029819639	4.107000E+00	  0.029819639	1.169800E+01
