! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.r50.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:35:45 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	53.3 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(52.417 ohm, 1.716 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.855900E+01	  0.020000000	4.449600E+01	  0.020000000	5.084200E+01	  0.020000000	8.410000E-01
2	  0.020200402	-3.813700E+01	  0.020200402	4.431500E+01	  0.020200402	5.088600E+01	  0.020200402	8.810000E-01
3	  0.020400802	-3.767100E+01	  0.020400802	4.423400E+01	  0.020400802	5.093700E+01	  0.020400802	9.290000E-01
4	  0.020601204	-3.728300E+01	  0.020601204	4.524400E+01	  0.020601204	5.096200E+01	  0.020601204	9.890000E-01
5	  0.020801604	-3.692000E+01	  0.020801604	4.643700E+01	  0.020801604	5.098100E+01	  0.020801604	1.053000E+00
6	  0.021002004	-3.660100E+01	  0.021002004	4.763500E+01	  0.021002004	5.099400E+01	  0.021002004	1.114000E+00
7	  0.021202406	-3.640200E+01	  0.021202406	4.991300E+01	  0.021202406	5.097000E+01	  0.021202406	1.180000E+00
8	  0.021402806	-3.621600E+01	  0.021402806	5.160000E+01	  0.021402806	5.095400E+01	  0.021402806	1.234000E+00
9	  0.021603208	-3.609700E+01	  0.021603208	5.420200E+01	  0.021603208	5.090800E+01	  0.021603208	1.294000E+00
10	  0.021803608	-3.609000E+01	  0.021803608	5.642700E+01	  0.021803608	5.085700E+01	  0.021803608	1.329000E+00
11	  0.022004008	-3.609400E+01	  0.022004008	5.879100E+01	  0.022004008	5.080000E+01	  0.022004008	1.362000E+00
12	  0.022204408	-3.618800E+01	  0.022204408	6.088700E+01	  0.022204408	5.074100E+01	  0.022204408	1.375000E+00
13	  0.022404809	-3.630500E+01	  0.022404809	6.243100E+01	  0.022404809	5.069400E+01	  0.022404809	1.375000E+00
14	  0.022605211	-3.645700E+01	  0.022605211	6.441700E+01	  0.022605211	5.063400E+01	  0.022605211	1.373000E+00
15	  0.022805611	-3.675300E+01	  0.022805611	6.530500E+01	  0.022805611	5.059300E+01	  0.022805611	1.336000E+00
16	  0.023006011	-3.711400E+01	  0.023006011	6.668400E+01	  0.023006011	5.053800E+01	  0.023006011	1.294000E+00
17	  0.023206413	-3.738300E+01	  0.023206413	6.672100E+01	  0.023206413	5.052100E+01	  0.023206413	1.254000E+00
