! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/bot.s11.47pf.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 11:53:10 AM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.3 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.800000E-02	  0.020000000	-5.515900E+01	  0.020000000	3.850000E-01	  0.020000000	-9.572100E+01
2	  0.020200402	-2.700000E-02	  0.020200402	-5.570600E+01	  0.020200402	3.680000E-01	  0.020200402	-9.461800E+01
3	  0.020400802	-2.800000E-02	  0.020400802	-5.623500E+01	  0.020400802	3.740000E-01	  0.020400802	-9.357000E+01
4	  0.020601204	-3.000000E-02	  0.020601204	-5.677100E+01	  0.020601204	3.860000E-01	  0.020601204	-9.252600E+01
5	  0.020801604	-3.000000E-02	  0.020801604	-5.731500E+01	  0.020801604	3.820000E-01	  0.020801604	-9.148500E+01
6	  0.021002004	-3.200000E-02	  0.021002004	-5.785900E+01	  0.021002004	4.010000E-01	  0.021002004	-9.046200E+01
7	  0.021202406	-3.200000E-02	  0.021202406	-5.839000E+01	  0.021202406	3.910000E-01	  0.021202406	-8.948000E+01
8	  0.021402806	-3.200000E-02	  0.021402806	-5.892600E+01	  0.021402806	3.840000E-01	  0.021402806	-8.850600E+01
9	  0.021603208	-3.400000E-02	  0.021603208	-5.945900E+01	  0.021603208	3.990000E-01	  0.021603208	-8.755100E+01
10	  0.021803608	-3.500000E-02	  0.021803608	-5.999300E+01	  0.021803608	4.090000E-01	  0.021803608	-8.661200E+01
11	  0.022004008	-3.600000E-02	  0.022004008	-6.052800E+01	  0.022004008	4.130000E-01	  0.022004008	-8.568600E+01
12	  0.022204408	-3.500000E-02	  0.022204408	-6.107800E+01	  0.022204408	3.990000E-01	  0.022204408	-8.474900E+01
13	  0.022404809	-3.600000E-02	  0.022404809	-6.161200E+01	  0.022404809	4.010000E-01	  0.022404809	-8.385300E+01
14	  0.022605211	-3.600000E-02	  0.022605211	-6.214400E+01	  0.022605211	3.890000E-01	  0.022605211	-8.297500E+01
15	  0.022805611	-3.500000E-02	  0.022805611	-6.267300E+01	  0.022805611	3.730000E-01	  0.022805611	-8.211500E+01
16	  0.023006011	-3.600000E-02	  0.023006011	-6.321300E+01	  0.023006011	3.780000E-01	  0.023006011	-8.125100E+01
17	  0.023206413	-3.700000E-02	  0.023206413	-6.374900E+01	  0.023206413	3.830000E-01	  0.023206413	-8.040500E+01
18	  0.023406813	-3.800000E-02	  0.023406813	-6.427700E+01	  0.023406813	3.870000E-01	  0.023406813	-7.958600E+01
19	  0.023607215	-3.800000E-02	  0.023607215	-6.481400E+01	  0.023607215	3.800000E-01	  0.023607215	-7.876400E+01
20	  0.023807615	-3.600000E-02	  0.023807615	-6.536200E+01	  0.023807615	3.630000E-01	  0.023807615	-7.793800E+01
21	  0.024008015	-3.500000E-02	  0.024008015	-6.589400E+01	  0.024008015	3.460000E-01	  0.024008015	-7.714700E+01
22	  0.024208417	-3.600000E-02	  0.024208417	-6.642700E+01	  0.024208417	3.480000E-01	  0.024208417	-7.636600E+01
23	  0.024408817	-3.700000E-02	  0.024408817	-6.695100E+01	  0.024408817	3.580000E-01	  0.024408817	-7.561000E+01
24	  0.024609219	-3.800000E-02	  0.024609219	-6.748200E+01	  0.024609219	3.580000E-01	  0.024609219	-7.485400E+01
25	  0.024809619	-3.800000E-02	  0.024809619	-6.803000E+01	  0.024809619	3.570000E-01	  0.024809619	-7.408400E+01
26	  0.025010020	-3.800000E-02	  0.025010020	-6.855800E+01	  0.025010020	3.490000E-01	  0.025010020	-7.335200E+01
27	  0.025210422	-3.900000E-02	  0.025210422	-6.909100E+01	  0.025210422	3.510000E-01	  0.025210422	-7.262400E+01
28	  0.025410822	-3.900000E-02	  0.025410822	-6.963200E+01	  0.025410822	3.500000E-01	  0.025410822	-7.189500E+01
29	  0.025611224	-3.900000E-02	  0.025611224	-7.016500E+01	  0.025611224	3.400000E-01	  0.025611224	-7.118700E+01
30	  0.025811624	-4.000000E-02	  0.025811624	-7.070000E+01	  0.025811624	3.430000E-01	  0.025811624	-7.048500E+01
31	  0.026012026	-4.000000E-02	  0.026012026	-7.123900E+01	  0.026012026	3.450000E-01	  0.026012026	-6.978600E+01
32	  0.026212426	-4.000000E-02	  0.026212426	-7.177900E+01	  0.026212426	3.390000E-01	  0.026212426	-6.909700E+01
33	  0.026412826	-4.200000E-02	  0.026412826	-7.231300E+01	  0.026412826	3.510000E-01	  0.026412826	-6.842300E+01
34	  0.026613226	-4.200000E-02	  0.026613226	-7.284200E+01	  0.026613226	3.480000E-01	  0.026613226	-6.776500E+01
35	  0.026813626	-4.400000E-02	  0.026813626	-7.338400E+01	  0.026813626	3.590000E-01	  0.026813626	-6.709700E+01
36	  0.027014028	-4.300000E-02	  0.027014028	-7.392100E+01	  0.027014028	3.480000E-01	  0.027014028	-6.644500E+01
37	  0.027214428	-4.500000E-02	  0.027214428	-7.445800E+01	  0.027214428	3.590000E-01	  0.027214428	-6.580100E+01
38	  0.027414829	-4.600000E-02	  0.027414829	-7.498600E+01	  0.027414829	3.630000E-01	  0.027414829	-6.517500E+01
39	  0.027615231	-4.800000E-02	  0.027615231	-7.552800E+01	  0.027615231	3.710000E-01	  0.027615231	-6.454100E+01
40	  0.027815631	-5.000000E-02	  0.027815631	-7.606100E+01	  0.027815631	3.840000E-01	  0.027815631	-6.392400E+01
41	  0.028016033	-5.100000E-02	  0.028016033	-7.661100E+01	  0.028016033	3.860000E-01	  0.028016033	-6.329700E+01
42	  0.028216433	-5.300000E-02	  0.028216433	-7.714000E+01	  0.028216433	3.960000E-01	  0.028216433	-6.269800E+01
43	  0.028416833	-5.500000E-02	  0.028416833	-7.767400E+01	  0.028416833	4.080000E-01	  0.028416833	-6.210300E+01
44	  0.028617235	-5.700000E-02	  0.028617235	-7.820100E+01	  0.028617235	4.140000E-01	  0.028617235	-6.152100E+01
45	  0.028817635	-5.800000E-02	  0.028817635	-7.873300E+01	  0.028817635	4.200000E-01	  0.028817635	-6.094100E+01
46	  0.029018037	-6.100000E-02	  0.029018037	-7.927100E+01	  0.029018037	4.370000E-01	  0.029018037	-6.036100E+01
47	  0.029218437	-6.400000E-02	  0.029218437	-7.980200E+01	  0.029218437	4.480000E-01	  0.029218437	-5.979400E+01
48	  0.029418837	-6.500000E-02	  0.029418837	-8.033100E+01	  0.029418837	4.550000E-01	  0.029418837	-5.923600E+01
49	  0.029619239	-6.600000E-02	  0.029619239	-8.085400E+01	  0.029619239	4.550000E-01	  0.029619239	-5.869100E+01
50	  0.029819639	-6.900000E-02	  0.029819639	-8.138400E+01	  0.029819639	4.680000E-01	  0.029819639	-5.814400E+01
51	  0.030020041	-7.200000E-02	  0.030020041	-8.191300E+01	  0.030020041	4.840000E-01	  0.030020041	-5.760300E+01
52	  0.030220442	-7.400000E-02	  0.030220442	-8.243400E+01	  0.030220442	4.910000E-01	  0.030220442	-5.707700E+01
53	  0.030420844	-7.500000E-02	  0.030420844	-8.296000E+01	  0.030420844	4.970000E-01	  0.030420844	-5.655100E+01
54	  0.030621244	-7.800000E-02	  0.030621244	-8.348700E+01	  0.030621244	5.080000E-01	  0.030621244	-5.603000E+01
55	  0.030821644	-7.900000E-02	  0.030821644	-8.399100E+01	  0.030821644	5.100000E-01	  0.030821644	-5.553600E+01
56	  0.031022044	-8.100000E-02	  0.031022044	-8.451300E+01	  0.031022044	5.200000E-01	  0.031022044	-5.502900E+01
57	  0.031222444	-8.000000E-02	  0.031222444	-8.504000E+01	  0.031222444	5.090000E-01	  0.031222444	-5.452400E+01
58	  0.031422846	-8.200000E-02	  0.031422846	-8.554600E+01	  0.031422846	5.130000E-01	  0.031422846	-5.404200E+01
59	  0.031623244	-8.500000E-02	  0.031623244	-8.605400E+01	  0.031623244	5.260000E-01	  0.031623244	-5.356400E+01
60	  0.031823646	-8.600000E-02	  0.031823646	-8.656300E+01	  0.031823646	5.290000E-01	  0.031823646	-5.308900E+01
61	  0.032024048	-8.900000E-02	  0.032024048	-8.706800E+01	  0.032024048	5.420000E-01	  0.032024048	-5.262300E+01
62	  0.032224450	-8.900000E-02	  0.032224450	-8.756700E+01	  0.032224450	5.360000E-01	  0.032224450	-5.216600E+01
63	  0.032424849	-9.100000E-02	  0.032424849	-8.807900E+01	  0.032424849	5.430000E-01	  0.032424849	-5.170100E+01
64	  0.032625251	-9.200000E-02	  0.032625251	-8.856800E+01	  0.032625251	5.480000E-01	  0.032625251	-5.126100E+01
65	  0.032825653	-9.400000E-02	  0.032825653	-8.906500E+01	  0.032825653	5.500000E-01	  0.032825653	-5.081900E+01
66	  0.033026051	-9.500000E-02	  0.033026051	-8.956900E+01	  0.033026051	5.520000E-01	  0.033026051	-5.037400E+01
67	  0.033226453	-9.600000E-02	  0.033226453	-9.007500E+01	  0.033226453	5.570000E-01	  0.033226453	-4.993000E+01
68	  0.033426855	-9.700000E-02	  0.033426855	-9.056700E+01	  0.033426855	5.560000E-01	  0.033426855	-4.950400E+01
69	  0.033627257	-1.000000E-01	  0.033627257	-9.106200E+01	  0.033627257	5.660000E-01	  0.033627257	-4.907700E+01
70	  0.033827655	-9.900000E-02	  0.033827655	-9.156500E+01	  0.033827655	5.550000E-01	  0.033827655	-4.864900E+01
71	  0.034028057	-1.010000E-01	  0.034028057	-9.206700E+01	  0.034028057	5.620000E-01	  0.034028057	-4.822400E+01
72	  0.034228459	-1.010000E-01	  0.034228459	-9.255000E+01	  0.034228459	5.610000E-01	  0.034228459	-4.781900E+01
73	  0.034428857	-1.020000E-01	  0.034428857	-9.306200E+01	  0.034428857	5.610000E-01	  0.034428857	-4.739300E+01
74	  0.034629259	-1.040000E-01	  0.034629259	-9.354500E+01	  0.034629259	5.670000E-01	  0.034629259	-4.699500E+01
75	  0.034829661	-1.040000E-01	  0.034829661	-9.403800E+01	  0.034829661	5.620000E-01	  0.034829661	-4.659100E+01
76	  0.035030060	-1.040000E-01	  0.035030060	-9.455000E+01	  0.035030060	5.570000E-01	  0.035030060	-4.617500E+01
77	  0.035230462	-1.060000E-01	  0.035230462	-9.504300E+01	  0.035230462	5.610000E-01	  0.035230462	-4.577800E+01
78	  0.035430863	-1.060000E-01	  0.035430863	-9.554000E+01	  0.035430863	5.560000E-01	  0.035430863	-4.538100E+01
79	  0.035631265	-1.060000E-01	  0.035631265	-9.603700E+01	  0.035631265	5.550000E-01	  0.035631265	-4.498700E+01
80	  0.035831664	-1.060000E-01	  0.035831664	-9.651400E+01	  0.035831664	5.530000E-01	  0.035831664	-4.461200E+01
81	  0.036032066	-1.080000E-01	  0.036032066	-9.702500E+01	  0.036032066	5.540000E-01	  0.036032066	-4.421300E+01
82	  0.036232468	-1.090000E-01	  0.036232468	-9.751100E+01	  0.036232468	5.560000E-01	  0.036232468	-4.383600E+01
83	  0.036432866	-1.090000E-01	  0.036432866	-9.801600E+01	  0.036432866	5.550000E-01	  0.036432866	-4.344900E+01
84	  0.036633268	-1.090000E-01	  0.036633268	-9.850200E+01	  0.036633268	5.490000E-01	  0.036633268	-4.307800E+01
85	  0.036833670	-1.100000E-01	  0.036833670	-9.900900E+01	  0.036833670	5.480000E-01	  0.036833670	-4.269300E+01
86	  0.037034072	-1.110000E-01	  0.037034072	-9.949000E+01	  0.037034072	5.530000E-01	  0.037034072	-4.233100E+01
87	  0.037234470	-1.110000E-01	  0.037234470	-9.998600E+01	  0.037234470	5.470000E-01	  0.037234470	-4.196200E+01
88	  0.037434869	-1.100000E-01	  0.037434869	-1.004810E+02	  0.037434869	5.400000E-01	  0.037434869	-4.159500E+01
89	  0.037635271	-1.130000E-01	  0.037635271	-1.009680E+02	  0.037635271	5.480000E-01	  0.037635271	-4.123600E+01
90	  0.037835669	-1.130000E-01	  0.037835669	-1.014740E+02	  0.037835669	5.460000E-01	  0.037835669	-4.086700E+01
91	  0.038036071	-1.150000E-01	  0.038036071	-1.019550E+02	  0.038036071	5.510000E-01	  0.038036071	-4.051800E+01
92	  0.038236473	-1.120000E-01	  0.038236473	-1.024380E+02	  0.038236473	5.330000E-01	  0.038236473	-4.017000E+01
93	  0.038436871	-1.140000E-01	  0.038436871	-1.029390E+02	  0.038436871	5.390000E-01	  0.038436871	-3.981200E+01
94	  0.038637273	-1.140000E-01	  0.038637273	-1.034240E+02	  0.038637273	5.350000E-01	  0.038637273	-3.946700E+01
95	  0.038837675	-1.150000E-01	  0.038837675	-1.039230E+02	  0.038837675	5.340000E-01	  0.038837675	-3.911500E+01
96	  0.039038073	-1.150000E-01	  0.039038073	-1.044040E+02	  0.039038073	5.310000E-01	  0.039038073	-3.877700E+01
97	  0.039238475	-1.140000E-01	  0.039238475	-1.048880E+02	  0.039238475	5.250000E-01	  0.039238475	-3.844000E+01
98	  0.039438877	-1.160000E-01	  0.039438877	-1.053820E+02	  0.039438877	5.300000E-01	  0.039438877	-3.809900E+01
99	  0.039639279	-1.160000E-01	  0.039639279	-1.058590E+02	  0.039639279	5.270000E-01	  0.039639279	-3.777100E+01
100	  0.039839678	-1.180000E-01	  0.039839678	-1.063520E+02	  0.039839678	5.320000E-01	  0.039839678	-3.743400E+01
101	  0.040040080	-1.170000E-01	  0.040040080	-1.068340E+02	  0.040040080	5.260000E-01	  0.040040080	-3.710700E+01
102	  0.040240481	-1.170000E-01	  0.040240481	-1.073260E+02	  0.040240481	5.220000E-01	  0.040240481	-3.677500E+01
103	  0.040440880	-1.180000E-01	  0.040440880	-1.078130E+02	  0.040440880	5.210000E-01	  0.040440880	-3.644800E+01
104	  0.040641282	-1.170000E-01	  0.040641282	-1.082930E+02	  0.040641282	5.160000E-01	  0.040641282	-3.612800E+01
105	  0.040841684	-1.190000E-01	  0.040841684	-1.087820E+02	  0.040841684	5.190000E-01	  0.040841684	-3.580500E+01
106	  0.041042086	-1.190000E-01	  0.041042086	-1.092650E+02	  0.041042086	5.160000E-01	  0.041042086	-3.548700E+01
107	  0.041242484	-1.210000E-01	  0.041242484	-1.097470E+02	  0.041242484	5.220000E-01	  0.041242484	-3.517200E+01
108	  0.041442886	-1.210000E-01	  0.041442886	-1.102210E+02	  0.041442886	5.190000E-01	  0.041442886	-3.486300E+01
109	  0.041643288	-1.210000E-01	  0.041643288	-1.107120E+02	  0.041643288	5.180000E-01	  0.041643288	-3.454600E+01
110	  0.041843686	-1.220000E-01	  0.041843686	-1.111830E+02	  0.041843686	5.160000E-01	  0.041843686	-3.424300E+01
111	  0.042044088	-1.210000E-01	  0.042044088	-1.116730E+02	  0.042044088	5.090000E-01	  0.042044088	-3.393000E+01
112	  0.042244490	-1.230000E-01	  0.042244490	-1.121410E+02	  0.042244490	5.150000E-01	  0.042244490	-3.363300E+01
