LEDA 18May cable calibration by E. Tong. 05/31/18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via a MS147 jack.  Cable data include the push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,7 dB attenuator (BW3),,SMA(m) barrel,,,,,,,,,,,,,
Frequency,S21,,S21,,S11,,,,,,,,,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,,,,,,,,,
10,-6.972024975,-0.42205175,-0.009556972,-0.20605869, < -50,--,,,,,,,,,,
10.495,-6.975757792,-0.29039475,-0.008267214,-0.21292342, < -50,--,,,,,,,,,,
10.99,-6.963653504,-0.36917025,-0.01425534,-0.24653225, < -50,--,,,,,,,,,,
11.485,-6.979172753,-0.39612117,-0.011481221,-0.24328263, < -50,--,,,,,,,,,,
11.98,-6.976547195,-0.37095311,-0.015886433,-0.21971923, < -50,--,,,,,,,,,,
12.475,-6.973481852,-0.39520692,-0.01932559,-0.27060016, < -50,--,,,,,,,,,,
12.97,-6.977552349,-0.42245165,-0.009268403,-0.29300926, < -50,--,,,,,,,,,,
13.465,-6.973858649,-0.38563931,-0.01049529,-0.2699367, < -50,--,,,,,,,,,,
13.96,-6.972556832,-0.4245094,-0.005949906,-0.31995216, < -50,--,,,,,,,,,,
14.455,-6.983027205,-0.40094089,-0.017100389,-0.35824634, < -50,--,,,,,,,,,,
14.95,-6.977880247,-0.49323561,-0.011806418,-0.3494514, < -50,--,,,,,,,,,,
15.445,-6.983456373,-0.47505429,-0.014083524,-0.36179264, < -50,--,,,,,,,,,,
15.94,-6.981485577,-0.52897957,-0.007963837,-0.37857357, < -50,--,,,,,,,,,,
16.435,-6.973856456,-0.51495843,-0.019307165,-0.37742428, < -50,--,,,,,,,,,,
16.93,-6.969704183,-0.52792197,-0.012631053,-0.48186321, < -50,--,,,,,,,,,,
17.425,-6.97294142,-0.51415238,-0.01614851,-0.39634432, < -50,--,,,,,,,,,,
17.92,-6.981078628,-0.55689511,-0.012849129,-0.44827042, < -50,--,,,,,,,,,,
18.415,-6.982125116,-0.60376524,-0.015459745,-0.46607586, < -50,--,,,,,,,,,,
18.91,-6.973645549,-0.57319223,-0.011516079,-0.45283723, < -50,--,,,,,,,,,,
19.405,-6.973348222,-0.60328275,-0.010914715,-0.48255209, < -50,--,,,,,,,,,,
19.9,-6.978825036,-0.6404274,-0.012208801,-0.47563815, < -50,--,,,,,,,,,,
20.395,-6.982897032,-0.62268451,-0.007384082,-0.46648482, < -50,--,,,,,,,,,,
20.89,-6.976803841,-0.64802777,-0.015156744,-0.52311454, < -50,--,,,,,,,,,,
21.385,-6.979225164,-0.68796059,-0.017128002,-0.52348366, < -50,--,,,,,,,,,,
21.88,-6.97513749,-0.68683167,-0.014400759,-0.53752563, < -50,--,,,,,,,,,,
22.375,-6.975973495,-0.69498906,-0.012138137,-0.5650339, < -50,--,,,,,,,,,,
