"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via  a MS147 jack.  Cable data include a push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,
,,,,,,,,
,,,,,,,,
Frequency,S11,,S21,,S22,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,
10,-41.58607308,80.49739225,-0.022482633,-5.722764301,-44.49091138,41.64305801,,
10.495,-41.93941593,75.39523954,-0.022878212,-5.982081348,-43.53385114,45.38174584,,
10.99,-41.39834685,78.04008367,-0.024470008,-6.271253936,-42.40117961,35.62789161,,
11.485,-41.02648568,76.95361568,-0.027299808,-6.531988026,-42.57203373,35.3535957,,
11.98,-40.9980093,74.18485521,-0.02503517,-6.805396353,-42.69315515,41.27530871,,
12.475,-40.50936911,72.5204764,-0.028293164,-7.080503441,-42.82240335,41.32917046,,
12.97,-40.2159261,72.6539886,-0.027572234,-7.342471955,-42.33324931,41.9508809,,
13.465,-40.1351633,73.25259673,-0.025660274,-7.63878285,-42.6884169,40.42352614,,
13.96,-40.04282159,74.52890005,-0.028743374,-7.905701928,-41.62991657,37.94251973,,
14.455,-39.70551637,72.51558459,-0.027533201,-8.170866844,-41.91135226,37.27724022,,
14.95,-39.42296808,72.61796612,-0.029561201,-8.447647842,-42.1971223,34.94451756,,
15.445,-39.2389804,71.31634002,-0.029082729,-8.721482978,-41.89026619,39.08752796,,
15.94,-39.25934401,70.70959848,-0.031022563,-8.989331353,-41.44808315,37.45449519,,
16.435,-38.80065801,68.36901004,-0.029671417,-9.265713697,-41.95553334,40.46044359,,
16.93,-38.71285302,68.06291462,-0.030542385,-9.550646515,-41.74178672,37.34135324,,
17.425,-38.41061851,67.19791893,-0.031100084,-9.824325982,-41.91085201,38.74051723,,
17.92,-38.31474294,68.20892172,-0.03271022,-10.08898838,-41.61166481,37.12650463,,
18.415,-38.11353149,66.70326688,-0.033625228,-10.38391455,-41.8976005,36.86825994,,
18.91,-37.97781469,65.74056025,-0.033721506,-10.64763982,-41.45893579,35.28253031,,
19.405,-37.78480817,65.78514176,-0.03417329,-10.92627952,-41.15917663,33.43619546,,
19.9,-37.65893463,65.59363405,-0.034664632,-11.19961234,-40.98805104,35.92270212,,
20.395,-37.43565697,65.18081416,-0.034429514,-11.47074164,-40.6561514,32.40178253,,
20.89,-37.34754908,64.62310042,-0.036182362,-11.74984525,-41.12042436,32.70763588,,
21.385,-37.29897338,64.06379944,-0.035543807,-12.02102168,-40.45244402,34.04402591,,
21.88,-36.98974558,62.65261178,-0.037952608,-12.29234056,-40.78429971,33.07497605,,
22.375,-36.67593497,63.51410619,-0.037871923,-12.56617626,-40.47765403,30.92670474,,
22.87,-36.68792561,62.12444416,-0.037847361,-12.83726096,-40.64814932,34.19008992,,
23.365,-36.61632845,62.22153639,-0.039726043,-13.11130028,-40.11520938,33.83002387,,
23.86,-36.49078005,61.45245163,-0.038595663,-13.39484554,-40.20248636,33.63610881,,
24.355,-36.22293034,61.7432402,-0.039852227,-13.66643915,-40.04655629,30.34833283,,
24.85,-36.27960414,61.70032722,-0.041295878,-13.93770799,-39.6709974,30.52472125,,
25.345,-35.99601007,60.62881115,-0.041115697,-14.20933314,-39.91346481,31.95206585,,
25.84,-35.93561204,60.87215042,-0.042047502,-14.48580051,-39.68789432,32.18903299,,
26.335,-35.74681456,59.77117365,-0.041054784,-14.75201704,-39.89113727,32.8173986,,
26.83,-35.76485241,59.97817618,-0.041520375,-15.03112352,-39.36916082,32.49014078,,
27.325,-35.57892084,59.34145024,-0.042660472,-15.30247348,-39.32286892,31.66118633,,
27.82,-35.4523334,58.78704307,-0.042919792,-15.57265058,-39.46648268,30.81223875,,
28.315,-35.24004616,58.52471899,-0.043655906,-15.84985406,-39.25368583,31.98434344,,
28.81,-35.22848014,58.42730985,-0.044456338,-16.11861767,-39.21356336,32.03888366,,
29.305,-35.03182044,58.75765336,-0.044308524,-16.39350315,-39.21266838,29.98176361,,
29.8,-34.95139554,58.10370712,-0.044509465,-16.66520584,-38.91620751,30.66748159,,
30.295,-34.86047589,56.71697052,-0.045294486,-16.93202342,-38.95581426,31.23310945,,
30.79,-34.89233963,56.65789292,-0.045517571,-17.22100942,-38.58019916,33.01792734,,
31.285,-34.73756039,56.31751543,-0.045561684,-17.48180949,-38.59133592,32.04197207,,
31.78,-34.53682585,56.13280857,-0.046888493,-17.75419728,-38.61343637,31.63034642,,
32.275,-34.40910201,55.92607509,-0.046782504,-18.03062039,-38.49875691,30.84850342,,
32.77,-34.36705745,55.43860104,-0.048254703,-18.30696844,-38.39390384,29.936401,,
33.265,-34.21037371,54.6196806,-0.047641175,-18.5788262,-38.33417375,30.27456581,,
33.76,-34.19996874,54.69397696,-0.048122035,-18.85148051,-38.30476367,30.60354937,,
34.255,-34.02939297,54.22874178,-0.04914469,-19.12330396,-38.22384655,29.3518029,,
34.75,-33.91377893,53.59363133,-0.048891326,-19.39791833,-38.23407241,29.28781755,,
35.245,-33.86299667,53.40417202,-0.048833702,-19.65922161,-38.08535111,29.48801539,,
35.74,-33.74424542,52.93945733,-0.048918093,-19.93996405,-37.83395595,29.51677116,,
36.235,-33.68180016,53.13446216,-0.050802257,-20.21347388,-37.84299492,29.31911175,,
36.73,-33.57632492,52.05677508,-0.050342344,-20.49001272,-37.90339853,29.3086307,,
37.225,-33.46279553,52.31761837,-0.053147428,-20.75216442,-37.80677717,26.78720503,,
37.72,-33.36146472,51.55174236,-0.052158245,-21.03178032,-37.80160969,27.38522726,,
38.215,-33.27776607,51.01171362,-0.051790898,-21.29929013,-37.86114547,27.04955369,,
38.71,-33.2043344,51.15785299,-0.05310275,-21.57334727,-37.75811686,26.3919704,,
39.205,-33.14703654,50.90603842,-0.052843186,-21.85113548,-37.32952313,25.97142487,,
39.7,-33.03455655,49.95148475,-0.052961281,-22.11889375,-37.47336738,25.94963022,,
40.195,-32.94611825,49.87185129,-0.053626343,-22.39260521,-37.29327016,26.71037616,,
40.69,-32.81079302,49.39613649,-0.053967948,-22.6654946,-37.43538167,25.71206748,,
41.185,-32.75965675,49.3854738,-0.054567187,-22.94122648,-37.25747681,24.62963962,,
41.68,-32.73128458,48.6530672,-0.055167927,-23.21526819,-37.11563817,24.74570489,,
42.175,-32.58784845,48.26009226,-0.055871339,-23.48628465,-37.05944274,24.76368181,,
42.67,-32.52180141,48.19551133,-0.055557936,-23.75605901,-36.95478264,23.98293934,,
43.165,-32.48855525,47.61693001,-0.055900396,-24.03313302,-37.03161624,24.41377511,,
43.66,-32.35123,47.0009143,-0.056354633,-24.30637297,-37.01418722,24.0339106,,
44.155,-32.30682551,46.67084775,-0.056276649,-24.57892774,-36.87934163,24.0156928,,
44.65,-32.28265645,46.20024446,-0.057340211,-24.85167706,-36.67052657,24.78705968,,
45.145,-32.15775139,46.29284511,-0.058405303,-25.12512425,-36.6989812,22.82541751,,
45.64,-32.07872488,45.76869685,-0.057632379,-25.39633625,-36.55882393,22.63416374,,
46.135,-31.99195578,45.13360087,-0.058307697,-25.67061265,-36.55347962,23.19642161,,
46.63,-31.91767399,44.9272141,-0.059209999,-25.94478221,-36.55777233,21.89009746,,
47.125,-31.86133536,44.62290373,-0.058700058,-26.21741633,-36.39824734,22.12001643,,
47.62,-31.78879266,44.09970243,-0.059319432,-26.49213546,-36.37048031,22.69170312,,
48.115,-31.7368847,43.98127146,-0.059897369,-26.76566365,-36.25345232,21.29318309,,
48.61,-31.68042919,43.38002204,-0.060048806,-27.03877248,-36.22363368,22.03911049,,
49.105,-31.61666049,42.99533956,-0.059882694,-27.31596552,-36.06094671,21.65605647,,
49.6,-31.55080787,42.87446158,-0.060634698,-27.58469491,-36.11852857,20.50517988,,
50.095,-31.4804799,42.38959224,-0.060881676,-27.85947453,-35.89951767,21.01471201,,
50.59,-31.38707416,42.00818051,-0.061466372,-28.12977042,-35.92827973,20.80488386,,
51.085,-31.33544988,41.60346546,-0.061637914,-28.40462433,-35.90415968,20.68352165,,
51.58,-31.27938546,41.25254884,-0.062042293,-28.67502508,-35.83540851,20.28134358,,
52.075,-31.18400244,40.66460053,-0.061860055,-28.94888281,-35.83956261,20.08137606,,
52.57,-31.17242083,40.47463144,-0.061851438,-29.22321052,-35.65052562,20.07095428,,
53.065,-31.05866134,39.91865288,-0.063135376,-29.50731453,-35.85690712,18.56067099,,
53.56,-31.12276476,39.51227669,-0.062550029,-29.75852937,-35.55764572,19.81187781,,
54.055,-30.96595623,38.81808714,-0.063709711,-30.03820834,-35.71980584,19.6105765,,
54.55,-30.89718975,38.66066867,-0.062678255,-30.31613556,-35.76416448,17.70570455,,
55.045,-30.91788118,38.62698744,-0.06325907,-30.58006077,-35.23140494,19.52776357,,
55.54,-30.79802796,38.06366521,-0.06433146,-30.85400443,-35.27312558,18.42833832,,
56.035,-30.74862503,38.15288937,-0.065428307,-31.12797719,-35.41333761,16.03542264,,
56.53,-30.75929772,37.80459546,-0.064226066,-31.39621291,-35.32172417,16.83272758,,
57.025,-30.68331151,37.0550257,-0.065578321,-31.67140146,-35.22720775,16.10910067,,
57.52,-30.58353376,37.16769277,-0.065855446,-31.94628185,-35.24276076,17.55590924,,
58.015,-30.56838685,36.21366609,-0.065325104,-32.22109753,-34.92598449,17.26161529,,
58.51,-30.49123355,35.54976911,-0.065784545,-32.48596798,-35.19312905,16.3387319,,
59.005,-30.435027,35.4545358,-0.067859217,-32.76079512,-34.98481937,16.91764034,,
59.5,-30.40982153,35.03514087,-0.066290125,-33.03090812,-34.87524391,17.75807993,,
59.995,-30.29218023,34.30591489,-0.066907706,-33.30229332,-35.26573448,15.90533825,,
60.49,-30.27424046,34.17943157,-0.066692006,-33.57099742,-35.00119738,15.72193038,,
60.985,-30.20465606,33.84195735,-0.06792482,-33.84433871,-34.88312705,14.58900569,,
61.48,-30.16595137,33.7758472,-0.06927568,-34.12328252,-34.94192498,14.16182577,,
61.975,-30.16834976,33.34767164,-0.068134887,-34.39875136,-34.68965869,14.09436523,,
62.47,-30.05967976,33.07219329,-0.068414006,-34.66065703,-34.71861657,12.79980295,,
62.965,-30.04113766,32.61650074,-0.068523061,-34.93464981,-34.46971381,14.52826052,,
63.46,-29.95331876,32.13052715,-0.068996327,-35.21953425,-34.65688801,12.44522486,,
63.955,-29.91890007,32.08312658,-0.070262198,-35.48037815,-34.65238397,10.74008118,,
64.45,-29.93734791,31.09672804,-0.069358174,-35.75672249,-34.43878364,13.56325687,,
64.945,-29.85876669,31.19628338,-0.070480506,-36.02775916,-34.53738123,12.75339927,,
65.44,-29.80356095,30.78313286,-0.070254207,-36.29788412,-34.56660438,12.71738877,,
