! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may12.cable.cal/bot.200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 01:47:35 PM	05/12/2018 01:41:40 PM
! INTERNAL TEMP:    	49.0 C	49.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.539000E+00	  0.020000000	-2.239100E+01	  0.020000000	1.270890E+02	  0.020000000	-8.854000E+01
2	  0.020200402	-4.540000E+00	  0.020200402	-2.261900E+01	  0.020200402	1.261870E+02	  0.020200402	-8.873500E+01
3	  0.020400802	-4.539000E+00	  0.020400802	-2.284100E+01	  0.020400802	1.253250E+02	  0.020400802	-8.897000E+01
4	  0.020601204	-4.541000E+00	  0.020601204	-2.305800E+01	  0.020601204	1.244730E+02	  0.020601204	-8.911400E+01
5	  0.020801604	-4.541000E+00	  0.020801604	-2.330000E+01	  0.020801604	1.235360E+02	  0.020801604	-8.932100E+01
6	  0.021002004	-4.543000E+00	  0.021002004	-2.352600E+01	  0.021002004	1.226600E+02	  0.021002004	-8.946700E+01
7	  0.021202406	-4.543000E+00	  0.021202406	-2.375100E+01	  0.021202406	1.218010E+02	  0.021202406	-8.964700E+01
8	  0.021402806	-4.543000E+00	  0.021402806	-2.397600E+01	  0.021402806	1.209450E+02	  0.021402806	-8.979600E+01
9	  0.021603208	-4.544000E+00	  0.021603208	-2.420500E+01	  0.021603208	1.200750E+02	  0.021603208	-8.993700E+01
10	  0.021803608	-4.544000E+00	  0.021803608	-2.443200E+01	  0.021803608	1.192210E+02	  0.021803608	-9.008600E+01
11	  0.022004008	-4.545000E+00	  0.022004008	-2.465400E+01	  0.022004008	1.183890E+02	  0.022004008	-9.019200E+01
12	  0.022204408	-4.546000E+00	  0.022204408	-2.488400E+01	  0.022204408	1.175300E+02	  0.022204408	-9.030400E+01
13	  0.022404809	-4.545000E+00	  0.022404809	-2.511300E+01	  0.022404809	1.166860E+02	  0.022404809	-9.044000E+01
14	  0.022605211	-4.547000E+00	  0.022605211	-2.532600E+01	  0.022605211	1.158960E+02	  0.022605211	-9.050700E+01
15	  0.022805611	-4.547000E+00	  0.022805611	-2.555100E+01	  0.022805611	1.150770E+02	  0.022805611	-9.060000E+01
16	  0.023006011	-4.548000E+00	  0.023006011	-2.578000E+01	  0.023006011	1.142420E+02	  0.023006011	-9.068600E+01
17	  0.023206413	-4.549000E+00	  0.023206413	-2.600400E+01	  0.023206413	1.134340E+02	  0.023206413	-9.075200E+01
18	  0.023406813	-4.548000E+00	  0.023406813	-2.623700E+01	  0.023406813	1.126010E+02	  0.023406813	-9.085000E+01
19	  0.023607215	-4.549000E+00	  0.023607215	-2.646600E+01	  0.023607215	1.117820E+02	  0.023607215	-9.089400E+01
20	  0.023807615	-4.550000E+00	  0.023807615	-2.669400E+01	  0.023807615	1.109750E+02	  0.023807615	-9.094900E+01
21	  0.024008015	-4.551000E+00	  0.024008015	-2.691500E+01	  0.024008015	1.101980E+02	  0.024008015	-9.096800E+01
22	  0.024208417	-4.551000E+00	  0.024208417	-2.714500E+01	  0.024208417	1.093970E+02	  0.024208417	-9.102200E+01
23	  0.024408817	-4.552000E+00	  0.024408817	-2.735500E+01	  0.024408817	1.086680E+02	  0.024408817	-9.104600E+01
24	  0.024609219	-4.552000E+00	  0.024609219	-2.759800E+01	  0.024609219	1.078320E+02	  0.024609219	-9.107900E+01
25	  0.024809619	-4.553000E+00	  0.024809619	-2.781500E+01	  0.024809619	1.070870E+02	  0.024809619	-9.109800E+01
