! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may12.cable.cal/top.20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 01:29:28 PM	05/12/2018 01:24:18 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.267000E+00	  0.020000000	1.545570E+02	  0.020000000	2.062100E+01	  0.020000000	9.446000E+00
2	  0.020200402	-7.271000E+00	  0.020200402	1.543260E+02	  0.020200402	2.064500E+01	  0.020200402	9.531000E+00
3	  0.020400802	-7.271000E+00	  0.020400802	1.540790E+02	  0.020400802	2.066200E+01	  0.020400802	9.625000E+00
4	  0.020601204	-7.269000E+00	  0.020601204	1.538180E+02	  0.020601204	2.067500E+01	  0.020601204	9.724000E+00
5	  0.020801604	-7.269000E+00	  0.020801604	1.535760E+02	  0.020801604	2.069400E+01	  0.020801604	9.816000E+00
6	  0.021002004	-7.272000E+00	  0.021002004	1.533400E+02	  0.021002004	2.071700E+01	  0.021002004	9.904000E+00
7	  0.021202406	-7.272000E+00	  0.021202406	1.530850E+02	  0.021202406	2.073600E+01	  0.021202406	1.000000E+01
8	  0.021402806	-7.271000E+00	  0.021402806	1.528350E+02	  0.021402806	2.075200E+01	  0.021402806	1.009500E+01
9	  0.021603208	-7.273000E+00	  0.021603208	1.525840E+02	  0.021603208	2.077500E+01	  0.021603208	1.018900E+01
10	  0.021803608	-7.272000E+00	  0.021803608	1.523340E+02	  0.021803608	2.079200E+01	  0.021803608	1.028400E+01
11	  0.022004008	-7.273000E+00	  0.022004008	1.520990E+02	  0.022004008	2.081100E+01	  0.022004008	1.037300E+01
12	  0.022204408	-7.275000E+00	  0.022204408	1.518290E+02	  0.022204408	2.083600E+01	  0.022204408	1.047500E+01
13	  0.022404809	-7.273000E+00	  0.022404809	1.515870E+02	  0.022404809	2.085000E+01	  0.022404809	1.056800E+01
14	  0.022605211	-7.278000E+00	  0.022605211	1.513500E+02	  0.022605211	2.088000E+01	  0.022605211	1.065500E+01
15	  0.022805611	-7.278000E+00	  0.022805611	1.510930E+02	  0.022805611	2.090200E+01	  0.022805611	1.075300E+01
16	  0.023006011	-7.278000E+00	  0.023006011	1.508550E+02	  0.023006011	2.091900E+01	  0.023006011	1.084400E+01
17	  0.023206413	-7.276000E+00	  0.023206413	1.506020E+02	  0.023206413	2.093600E+01	  0.023206413	1.094100E+01
18	  0.023406813	-7.276000E+00	  0.023406813	1.503440E+02	  0.023406813	2.095500E+01	  0.023406813	1.104000E+01
19	  0.023607215	-7.278000E+00	  0.023607215	1.501000E+02	  0.023607215	2.098000E+01	  0.023607215	1.113100E+01
20	  0.023807615	-7.279000E+00	  0.023807615	1.498560E+02	  0.023807615	2.100400E+01	  0.023807615	1.122400E+01
21	  0.024008015	-7.278000E+00	  0.024008015	1.496230E+02	  0.024008015	2.102100E+01	  0.024008015	1.131300E+01
22	  0.024208417	-7.279000E+00	  0.024208417	1.493740E+02	  0.024208417	2.104200E+01	  0.024208417	1.140800E+01
23	  0.024408817	-7.280000E+00	  0.024408817	1.491170E+02	  0.024408817	2.106800E+01	  0.024408817	1.150500E+01
24	  0.024609219	-7.282000E+00	  0.024609219	1.488570E+02	  0.024609219	2.109300E+01	  0.024609219	1.160300E+01
25	  0.024809619	-7.282000E+00	  0.024809619	1.486220E+02	  0.024809619	2.111600E+01	  0.024809619	1.169300E+01
26	  0.025010020	-7.284000E+00	  0.025010020	1.483660E+02	  0.025010020	2.114200E+01	  0.025010020	1.179000E+01
27	  0.025210422	-7.284000E+00	  0.025210422	1.481240E+02	  0.025210422	2.116200E+01	  0.025210422	1.188300E+01
28	  0.025410822	-7.287000E+00	  0.025410822	1.478670E+02	  0.025410822	2.119300E+01	  0.025410822	1.197900E+01
29	  0.025611224	-7.288000E+00	  0.025611224	1.476280E+02	  0.025611224	2.121700E+01	  0.025611224	1.207000E+01
30	  0.025811624	-7.286000E+00	  0.025811624	1.473720E+02	  0.025811624	2.123500E+01	  0.025811624	1.216900E+01
31	  0.026012026	-7.287000E+00	  0.026012026	1.471240E+02	  0.026012026	2.126000E+01	  0.026012026	1.226400E+01
32	  0.026212426	-7.288000E+00	  0.026212426	1.468880E+02	  0.026212426	2.128400E+01	  0.026212426	1.235400E+01
33	  0.026412826	-7.290000E+00	  0.026412826	1.466260E+02	  0.026412826	2.131400E+01	  0.026412826	1.245300E+01
34	  0.026613226	-7.289000E+00	  0.026613226	1.463720E+02	  0.026613226	2.133500E+01	  0.026613226	1.255200E+01
35	  0.026813626	-7.290000E+00	  0.026813626	1.461200E+02	  0.026813626	2.135900E+01	  0.026813626	1.264800E+01
36	  0.027014028	-7.289000E+00	  0.027014028	1.458860E+02	  0.027014028	2.138000E+01	  0.027014028	1.273800E+01
37	  0.027214428	-7.292000E+00	  0.027214428	1.456200E+02	  0.027214428	2.141200E+01	  0.027214428	1.283900E+01
38	  0.027414829	-7.290000E+00	  0.027414829	1.453750E+02	  0.027414829	2.143100E+01	  0.027414829	1.293500E+01
39	  0.027615231	-7.290000E+00	  0.027615231	1.451350E+02	  0.027615231	2.145600E+01	  0.027615231	1.302700E+01
40	  0.027815631	-7.291000E+00	  0.027815631	1.448680E+02	  0.027815631	2.148500E+01	  0.027815631	1.312900E+01
41	  0.028016033	-7.293000E+00	  0.028016033	1.446230E+02	  0.028016033	2.151300E+01	  0.028016033	1.322300E+01
42	  0.028216433	-7.293000E+00	  0.028216433	1.443760E+02	  0.028216433	2.153900E+01	  0.028216433	1.331800E+01
43	  0.028416833	-7.293000E+00	  0.028416833	1.441380E+02	  0.028416833	2.156000E+01	  0.028416833	1.341100E+01
44	  0.028617235	-7.294000E+00	  0.028617235	1.438780E+02	  0.028617235	2.159000E+01	  0.028617235	1.351000E+01
45	  0.028817635	-7.292000E+00	  0.028817635	1.436340E+02	  0.028817635	2.161100E+01	  0.028817635	1.360600E+01
46	  0.029018037	-7.292000E+00	  0.029018037	1.433810E+02	  0.029018037	2.163600E+01	  0.029018037	1.370400E+01
47	  0.029218437	-7.295000E+00	  0.029218437	1.431410E+02	  0.029218437	2.166900E+01	  0.029218437	1.379500E+01
48	  0.029418837	-7.294000E+00	  0.029418837	1.428900E+02	  0.029418837	2.169200E+01	  0.029418837	1.389300E+01
49	  0.029619239	-7.292000E+00	  0.029619239	1.426320E+02	  0.029619239	2.171500E+01	  0.029619239	1.399400E+01
50	  0.029819639	-7.295000E+00	  0.029819639	1.423900E+02	  0.029819639	2.174800E+01	  0.029819639	1.408600E+01
51	  0.030020041	-7.293000E+00	  0.030020041	1.421380E+02	  0.030020041	2.177100E+01	  0.030020041	1.418500E+01
52	  0.030220442	-7.294000E+00	  0.030220442	1.418880E+02	  0.030220442	2.179900E+01	  0.030220442	1.428200E+01
53	  0.030420844	-7.293000E+00	  0.030420844	1.416430E+02	  0.030420844	2.182500E+01	  0.030420844	1.437800E+01
54	  0.030621244	-7.294000E+00	  0.030621244	1.413900E+02	  0.030621244	2.185500E+01	  0.030621244	1.447600E+01
55	  0.030821644	-7.294000E+00	  0.030821644	1.411290E+02	  0.030821644	2.188400E+01	  0.030821644	1.457700E+01
56	  0.031022044	-7.295000E+00	  0.031022044	1.408880E+02	  0.031022044	2.191400E+01	  0.031022044	1.467100E+01
57	  0.031222444	-7.277000E+00	  0.031222444	1.407110E+02	  0.031222444	2.188600E+01	  0.031222444	1.475300E+01
58	  0.031422846	-7.277000E+00	  0.031422846	1.404710E+02	  0.031422846	2.191300E+01	  0.031422846	1.484700E+01
