! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/bot.20.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:06:57 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:155.73°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(30.591 ohm, 33.357 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.245000E+00	  0.020000000	1.557260E+02	  0.020000000	2.048900E+01	  0.020000000	9.014000E+00
2	  0.020200402	-7.247000E+00	  0.020200402	1.554870E+02	  0.020200402	2.050800E+01	  0.020200402	9.103000E+00
3	  0.020400802	-7.247000E+00	  0.020400802	1.552520E+02	  0.020400802	2.052400E+01	  0.020400802	9.192000E+00
4	  0.020601204	-7.247000E+00	  0.020601204	1.550170E+02	  0.020601204	2.053800E+01	  0.020601204	9.281000E+00
5	  0.020801604	-7.248000E+00	  0.020801604	1.547720E+02	  0.020801604	2.055900E+01	  0.020801604	9.373000E+00
6	  0.021002004	-7.249000E+00	  0.021002004	1.545450E+02	  0.021002004	2.057600E+01	  0.021002004	9.458000E+00
7	  0.021202406	-7.247000E+00	  0.021202406	1.543040E+02	  0.021202406	2.058700E+01	  0.021202406	9.550000E+00
8	  0.021402806	-7.250000E+00	  0.021402806	1.540730E+02	  0.021402806	2.061100E+01	  0.021402806	9.636000E+00
9	  0.021603208	-7.249000E+00	  0.021603208	1.538390E+02	  0.021603208	2.062500E+01	  0.021603208	9.725000E+00
10	  0.021803608	-7.249000E+00	  0.021803608	1.535950E+02	  0.021803608	2.064100E+01	  0.021803608	9.818000E+00
11	  0.022004008	-7.250000E+00	  0.022004008	1.533570E+02	  0.022004008	2.066200E+01	  0.022004008	9.907000E+00
12	  0.022204408	-7.248000E+00	  0.022204408	1.531140E+02	  0.022204408	2.067400E+01	  0.022204408	1.000100E+01
13	  0.022404809	-7.249000E+00	  0.022404809	1.528730E+02	  0.022404809	2.069300E+01	  0.022404809	1.009200E+01
14	  0.022605211	-7.251000E+00	  0.022605211	1.526340E+02	  0.022605211	2.071500E+01	  0.022605211	1.018200E+01
15	  0.022805611	-7.253000E+00	  0.022805611	1.523900E+02	  0.022805611	2.074000E+01	  0.022805611	1.027300E+01
16	  0.023006011	-7.252000E+00	  0.023006011	1.521550E+02	  0.023006011	2.075500E+01	  0.023006011	1.036300E+01
17	  0.023206413	-7.251000E+00	  0.023206413	1.519350E+02	  0.023206413	2.076800E+01	  0.023206413	1.044700E+01
18	  0.023406813	-7.252000E+00	  0.023406813	1.516900E+02	  0.023406813	2.078900E+01	  0.023406813	1.054000E+01
