! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/top.49p99.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 03:52:03 PM	05/08/2018 03:47:05 PM
! INTERNAL TEMP:    	50.5 C	50.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:56.15°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.207 ohm, 1.334 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.971500E+01	  0.020000000	5.614700E+01	  0.020000000	5.057100E+01	  0.020000000	8.670000E-01
2	  0.020200402	-3.955800E+01	  0.020200402	5.589300E+01	  0.020200402	5.058500E+01	  0.020200402	8.810000E-01
3	  0.020400802	-3.949600E+01	  0.020400802	5.507200E+01	  0.020400802	5.060200E+01	  0.020400802	8.790000E-01
4	  0.020601204	-3.944500E+01	  0.020601204	5.575100E+01	  0.020601204	5.059500E+01	  0.020601204	8.910000E-01
5	  0.020801604	-3.937100E+01	  0.020801604	5.547600E+01	  0.020801604	5.060500E+01	  0.020801604	8.960000E-01
6	  0.021002004	-3.938400E+01	  0.021002004	5.557800E+01	  0.021002004	5.060200E+01	  0.021002004	8.960000E-01
7	  0.021202406	-3.925900E+01	  0.021202406	5.515200E+01	  0.021202406	5.061700E+01	  0.021202406	9.040000E-01
8	  0.021402806	-3.923300E+01	  0.021402806	5.523400E+01	  0.021402806	5.061800E+01	  0.021402806	9.080000E-01
9	  0.021603208	-3.918300E+01	  0.021603208	5.479600E+01	  0.021603208	5.062900E+01	  0.021603208	9.090000E-01
10	  0.021803608	-3.908200E+01	  0.021803608	5.513700E+01	  0.021803608	5.063000E+01	  0.021803608	9.230000E-01
11	  0.022004008	-3.906700E+01	  0.022004008	5.474000E+01	  0.022004008	5.063800E+01	  0.022004008	9.200000E-01
12	  0.022204408	-3.900600E+01	  0.022204408	5.489800E+01	  0.022204408	5.064000E+01	  0.022204408	9.290000E-01
13	  0.022404809	-3.899700E+01	  0.022404809	5.468200E+01	  0.022404809	5.064400E+01	  0.022404809	9.270000E-01
14	  0.022605211	-3.888000E+01	  0.022605211	5.466500E+01	  0.022605211	5.065300E+01	  0.022605211	9.400000E-01
15	  0.022805611	-3.884100E+01	  0.022805611	5.423500E+01	  0.022805611	5.066300E+01	  0.022805611	9.390000E-01
16	  0.023006011	-3.885700E+01	  0.023006011	5.464600E+01	  0.023006011	5.065500E+01	  0.023006011	9.420000E-01
17	  0.023206413	-3.874600E+01	  0.023206413	5.401900E+01	  0.023206413	5.067400E+01	  0.023206413	9.470000E-01
18	  0.023406813	-3.866600E+01	  0.023406813	5.471000E+01	  0.023406813	5.066800E+01	  0.023406813	9.640000E-01
19	  0.023607215	-3.862300E+01	  0.023607215	5.410100E+01	  0.023607215	5.068200E+01	  0.023607215	9.620000E-01
20	  0.023807615	-3.859300E+01	  0.023807615	5.400200E+01	  0.023807615	5.068600E+01	  0.023807615	9.640000E-01
21	  0.024008015	-3.852700E+01	  0.024008015	5.414400E+01	  0.024008015	5.068900E+01	  0.024008015	9.730000E-01
22	  0.024208417	-3.850400E+01	  0.024208417	5.397000E+01	  0.024208417	5.069400E+01	  0.024208417	9.740000E-01
23	  0.024408817	-3.839200E+01	  0.024408817	5.418200E+01	  0.024408817	5.069900E+01	  0.024408817	9.890000E-01
24	  0.024609219	-3.835000E+01	  0.024609219	5.407300E+01	  0.024609219	5.070400E+01	  0.024609219	9.930000E-01
25	  0.024809619	-3.828400E+01	  0.024809619	5.359900E+01	  0.024809619	5.071800E+01	  0.024809619	9.940000E-01
26	  0.025010020	-3.826700E+01	  0.025010020	5.329700E+01	  0.025010020	5.072500E+01	  0.025010020	9.930000E-01
27	  0.025210422	-3.822800E+01	  0.025210422	5.360800E+01	  0.025210422	5.072200E+01	  0.025210422	1.001000E+00
28	  0.025410822	-3.815600E+01	  0.025410822	5.343300E+01	  0.025410822	5.073200E+01	  0.025410822	1.007000E+00
29	  0.025611224	-3.806600E+01	  0.025611224	5.320800E+01	  0.025611224	5.074300E+01	  0.025611224	1.015000E+00
30	  0.025811624	-3.805600E+01	  0.025811624	5.350200E+01	  0.025811624	5.073900E+01	  0.025811624	1.020000E+00
31	  0.026012026	-3.800700E+01	  0.026012026	5.337100E+01	  0.026012026	5.074500E+01	  0.026012026	1.024000E+00
32	  0.026212426	-3.793400E+01	  0.026212426	5.365200E+01	  0.026212426	5.074600E+01	  0.026212426	1.037000E+00
33	  0.026412826	-3.791000E+01	  0.026412826	5.367800E+01	  0.026412826	5.074800E+01	  0.026412826	1.040000E+00
34	  0.026613226	-3.786400E+01	  0.026613226	5.290800E+01	  0.026613226	5.076600E+01	  0.026613226	1.035000E+00
35	  0.026813626	-3.782600E+01	  0.026813626	5.338600E+01	  0.026813626	5.076000E+01	  0.026813626	1.046000E+00
36	  0.027014028	-3.777300E+01	  0.027014028	5.297100E+01	  0.027014028	5.077300E+01	  0.027014028	1.047000E+00
37	  0.027214428	-3.768700E+01	  0.027214428	5.242400E+01	  0.027214428	5.079100E+01	  0.027214428	1.050000E+00
38	  0.027414829	-3.768800E+01	  0.027414829	5.301300E+01	  0.027414829	5.078000E+01	  0.027414829	1.058000E+00
39	  0.027615231	-3.768900E+01	  0.027615231	5.253100E+01	  0.027615231	5.078900E+01	  0.027615231	1.052000E+00
40	  0.027815631	-3.750300E+01	  0.027815631	5.264100E+01	  0.027815631	5.080300E+01	  0.027815631	1.076000E+00
41	  0.028016033	-3.752900E+01	  0.028016033	5.233900E+01	  0.028016033	5.080700E+01	  0.028016033	1.069000E+00
42	  0.028216433	-3.746600E+01	  0.028216433	5.245400E+01	  0.028216433	5.081000E+01	  0.028216433	1.078000E+00
43	  0.028416833	-3.739800E+01	  0.028416833	5.195900E+01	  0.028416833	5.082600E+01	  0.028416833	1.080000E+00
44	  0.028617235	-3.736400E+01	  0.028617235	5.226000E+01	  0.028617235	5.082400E+01	  0.028617235	1.089000E+00
45	  0.028817635	-3.738900E+01	  0.028817635	5.237500E+01	  0.028817635	5.081900E+01	  0.028817635	1.087000E+00
46	  0.029018037	-3.730800E+01	  0.029018037	5.180900E+01	  0.029018037	5.083800E+01	  0.029018037	1.089000E+00
47	  0.029218437	-3.728400E+01	  0.029218437	5.233200E+01	  0.029218437	5.083000E+01	  0.029218437	1.100000E+00
