! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/top.50.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:15:37 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.5 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:56.35°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.205 ohm, 1.537 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.889700E+01	  0.020000000	5.634600E+01	  0.020000000	5.062400E+01	  0.020000000	9.560000E-01
2	  0.020200402	-3.892300E+01	  0.020200402	5.612500E+01	  0.020200402	5.062500E+01	  0.020200402	9.510000E-01
3	  0.020400802	-3.874000E+01	  0.020400802	5.593400E+01	  0.020400802	5.064200E+01	  0.020400802	9.700000E-01
4	  0.020601204	-3.878300E+01	  0.020601204	5.641000E+01	  0.020601204	5.063100E+01	  0.020601204	9.700000E-01
5	  0.020801604	-3.869500E+01	  0.020801604	5.589600E+01	  0.020801604	5.064600E+01	  0.020801604	9.740000E-01
6	  0.021002004	-3.868300E+01	  0.021002004	5.542900E+01	  0.021002004	5.065500E+01	  0.021002004	9.700000E-01
7	  0.021202406	-3.858400E+01	  0.021202406	5.609500E+01	  0.021202406	5.065100E+01	  0.021202406	9.890000E-01
8	  0.021402806	-3.847100E+01	  0.021402806	5.527500E+01	  0.021402806	5.067400E+01	  0.021402806	9.930000E-01
9	  0.021603208	-3.850900E+01	  0.021603208	5.587900E+01	  0.021603208	5.066000E+01	  0.021603208	9.950000E-01
10	  0.021803608	-3.834900E+01	  0.021803608	5.580500E+01	  0.021803608	5.067400E+01	  0.021803608	1.013000E+00
11	  0.022004008	-3.834500E+01	  0.022004008	5.535700E+01	  0.022004008	5.068200E+01	  0.022004008	1.009000E+00
12	  0.022204408	-3.826300E+01	  0.022204408	5.549800E+01	  0.022204408	5.068600E+01	  0.022204408	1.020000E+00
13	  0.022404809	-3.815100E+01	  0.022404809	5.544600E+01	  0.022404809	5.069600E+01	  0.022404809	1.033000E+00
14	  0.022605211	-3.821100E+01	  0.022605211	5.496500E+01	  0.022605211	5.069900E+01	  0.022605211	1.020000E+00
15	  0.022805611	-3.811300E+01	  0.022805611	5.483500E+01	  0.022805611	5.071000E+01	  0.022805611	1.030000E+00
16	  0.023006011	-3.801900E+01	  0.023006011	5.495300E+01	  0.023006011	5.071500E+01	  0.023006011	1.043000E+00
17	  0.023206413	-3.807800E+01	  0.023206413	5.511700E+01	  0.023206413	5.070700E+01	  0.023206413	1.038000E+00
18	  0.023406813	-3.794700E+01	  0.023406813	5.487800E+01	  0.023406813	5.072300E+01	  0.023406813	1.051000E+00
19	  0.023607215	-3.789400E+01	  0.023607215	5.525500E+01	  0.023607215	5.072000E+01	  0.023607215	1.062000E+00
20	  0.023807615	-3.780600E+01	  0.023807615	5.497100E+01	  0.023807615	5.073200E+01	  0.023807615	1.069000E+00
21	  0.024008015	-3.769200E+01	  0.024008015	5.483300E+01	  0.024008015	5.074500E+01	  0.024008015	1.082000E+00
22	  0.024208417	-3.777600E+01	  0.024208417	5.466700E+01	  0.024208417	5.074100E+01	  0.024208417	1.069000E+00
23	  0.024408817	-3.768200E+01	  0.024408817	5.478700E+01	  0.024408817	5.074700E+01	  0.024408817	1.083000E+00
24	  0.024609219	-3.763200E+01	  0.024609219	5.497000E+01	  0.024609219	5.074700E+01	  0.024609219	1.091000E+00
25	  0.024809619	-3.760400E+01	  0.024809619	5.451400E+01	  0.024809619	5.075800E+01	  0.024809619	1.089000E+00
26	  0.025010020	-3.752800E+01	  0.025010020	5.448900E+01	  0.025010020	5.076600E+01	  0.025010020	1.098000E+00
27	  0.025210422	-3.755400E+01	  0.025210422	5.452400E+01	  0.025210422	5.076300E+01	  0.025210422	1.095000E+00
28	  0.025410822	-3.747200E+01	  0.025410822	5.458900E+01	  0.025410822	5.076900E+01	  0.025410822	1.107000E+00
29	  0.025611224	-3.734800E+01	  0.025611224	5.456400E+01	  0.025611224	5.078000E+01	  0.025611224	1.123000E+00
30	  0.025811624	-3.741400E+01	  0.025811624	5.401600E+01	  0.025811624	5.078500E+01	  0.025811624	1.107000E+00
31	  0.026012026	-3.736200E+01	  0.026012026	5.406700E+01	  0.026012026	5.078900E+01	  0.026012026	1.114000E+00
32	  0.026212426	-3.725800E+01	  0.026212426	5.419500E+01	  0.026212426	5.079500E+01	  0.026212426	1.129000E+00
33	  0.026412826	-3.719200E+01	  0.026412826	5.416100E+01	  0.026412826	5.080200E+01	  0.026412826	1.138000E+00
34	  0.026613226	-3.717000E+01	  0.026613226	5.408000E+01	  0.026613226	5.080600E+01	  0.026613226	1.140000E+00
35	  0.026813626	-3.713100E+01	  0.026813626	5.398500E+01	  0.026813626	5.081100E+01	  0.026813626	1.143000E+00
36	  0.027014028	-3.710000E+01	  0.027014028	5.416000E+01	  0.027014028	5.081100E+01	  0.027014028	1.150000E+00
37	  0.027214428	-3.700600E+01	  0.027214428	5.366300E+01	  0.027214428	5.083000E+01	  0.027214428	1.156000E+00
38	  0.027414829	-3.690500E+01	  0.027414829	5.383200E+01	  0.027414829	5.083600E+01	  0.027414829	1.172000E+00
39	  0.027615231	-3.697700E+01	  0.027615231	5.379700E+01	  0.027615231	5.083000E+01	  0.027615231	1.162000E+00
40	  0.027815631	-3.691700E+01	  0.027815631	5.333500E+01	  0.027815631	5.084500E+01	  0.027815631	1.163000E+00
41	  0.028016033	-3.686600E+01	  0.028016033	5.367600E+01	  0.028016033	5.084300E+01	  0.028016033	1.175000E+00
42	  0.028216433	-3.679200E+01	  0.028216433	5.379000E+01	  0.028216433	5.084800E+01	  0.028216433	1.187000E+00
43	  0.028416833	-3.669000E+01	  0.028416833	5.324600E+01	  0.028416833	5.086900E+01	  0.028416833	1.193000E+00
44	  0.028617235	-3.669900E+01	  0.028617235	5.343700E+01	  0.028617235	5.086400E+01	  0.028617235	1.195000E+00
45	  0.028817635	-3.662900E+01	  0.028817635	5.305200E+01	  0.028817635	5.087900E+01	  0.028817635	1.199000E+00
