! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/unused.19p46.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 04:27:44 PM	05/08/2018 04:21:58 PM
! INTERNAL TEMP:    	50.0 C	50.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:156.08°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(30.437 ohm, 32.947 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.225000E+00	  0.020000000	1.560830E+02	  0.020000000	2.041600E+01	  0.020000000	8.888000E+00
2	  0.020200402	-7.227000E+00	  0.020200402	1.558520E+02	  0.020200402	2.043600E+01	  0.020200402	8.974000E+00
3	  0.020400802	-7.226000E+00	  0.020400802	1.556340E+02	  0.020400802	2.044700E+01	  0.020400802	9.057000E+00
4	  0.020601204	-7.228000E+00	  0.020601204	1.553940E+02	  0.020601204	2.046700E+01	  0.020601204	9.147000E+00
5	  0.020801604	-7.229000E+00	  0.020801604	1.551640E+02	  0.020801604	2.048500E+01	  0.020801604	9.233000E+00
6	  0.021002004	-7.230000E+00	  0.021002004	1.549260E+02	  0.021002004	2.050200E+01	  0.021002004	9.323000E+00
7	  0.021202406	-7.231000E+00	  0.021202406	1.547040E+02	  0.021202406	2.051900E+01	  0.021202406	9.406000E+00
8	  0.021402806	-7.232000E+00	  0.021402806	1.544580E+02	  0.021402806	2.054000E+01	  0.021402806	9.499000E+00
9	  0.021603208	-7.231000E+00	  0.021603208	1.542210E+02	  0.021603208	2.055400E+01	  0.021603208	9.589000E+00
10	  0.021803608	-7.231000E+00	  0.021803608	1.539870E+02	  0.021803608	2.057000E+01	  0.021803608	9.677000E+00
11	  0.022004008	-7.232000E+00	  0.022004008	1.537500E+02	  0.022004008	2.058800E+01	  0.022004008	9.767000E+00
12	  0.022204408	-7.233000E+00	  0.022204408	1.535200E+02	  0.022204408	2.060700E+01	  0.022204408	9.854000E+00
13	  0.022404809	-7.234000E+00	  0.022404809	1.532840E+02	  0.022404809	2.062600E+01	  0.022404809	9.943000E+00
14	  0.022605211	-7.234000E+00	  0.022605211	1.530410E+02	  0.022605211	2.064400E+01	  0.022605211	1.003500E+01
15	  0.022805611	-7.235000E+00	  0.022805611	1.528240E+02	  0.022805611	2.066100E+01	  0.022805611	1.011700E+01
16	  0.023006011	-7.235000E+00	  0.023006011	1.525790E+02	  0.023006011	2.068000E+01	  0.023006011	1.021000E+01
17	  0.023206413	-7.234000E+00	  0.023206413	1.523430E+02	  0.023206413	2.069600E+01	  0.023206413	1.030000E+01
