! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/uu.50.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:03:07 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:56.67°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.306 ohm, 1.420 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.927000E+01	  0.020000000	5.667000E+01	  0.020000000	5.059200E+01	  0.020000000	9.190000E-01
2	  0.020200402	-3.924800E+01	  0.020200402	5.658700E+01	  0.020200402	5.059500E+01	  0.020200402	9.210000E-01
3	  0.020400802	-3.910700E+01	  0.020400802	5.646800E+01	  0.020400802	5.060700E+01	  0.020400802	9.350000E-01
4	  0.020601204	-3.907300E+01	  0.020601204	5.661000E+01	  0.020601204	5.060700E+01	  0.020601204	9.400000E-01
5	  0.020801604	-3.905200E+01	  0.020801604	5.636600E+01	  0.020801604	5.061200E+01	  0.020801604	9.400000E-01
6	  0.021002004	-3.903900E+01	  0.021002004	5.573300E+01	  0.021002004	5.062400E+01	  0.021002004	9.340000E-01
7	  0.021202406	-3.889200E+01	  0.021202406	5.626100E+01	  0.021202406	5.062500E+01	  0.021202406	9.560000E-01
8	  0.021402806	-3.885800E+01	  0.021402806	5.608100E+01	  0.021402806	5.063100E+01	  0.021402806	9.580000E-01
9	  0.021603208	-3.882700E+01	  0.021603208	5.590500E+01	  0.021603208	5.063600E+01	  0.021603208	9.590000E-01
10	  0.021803608	-3.877000E+01	  0.021803608	5.605000E+01	  0.021803608	5.063800E+01	  0.021803608	9.680000E-01
11	  0.022004008	-3.871100E+01	  0.022004008	5.498700E+01	  0.022004008	5.066000E+01	  0.022004008	9.620000E-01
12	  0.022204408	-3.860000E+01	  0.022204408	5.528400E+01	  0.022204408	5.066400E+01	  0.022204408	9.780000E-01
13	  0.022404809	-3.852500E+01	  0.022404809	5.527200E+01	  0.022404809	5.066900E+01	  0.022404809	9.870000E-01
14	  0.022605211	-3.851700E+01	  0.022605211	5.557600E+01	  0.022605211	5.066500E+01	  0.022605211	9.910000E-01
15	  0.022805611	-3.848900E+01	  0.022805611	5.510400E+01	  0.022805611	5.067500E+01	  0.022805611	9.890000E-01
16	  0.023006011	-3.830500E+01	  0.023006011	5.500900E+01	  0.023006011	5.069100E+01	  0.023006011	1.009000E+00
17	  0.023206413	-3.841900E+01	  0.023206413	5.524400E+01	  0.023206413	5.067800E+01	  0.023206413	9.990000E-01
18	  0.023406813	-3.830300E+01	  0.023406813	5.520800E+01	  0.023406813	5.068800E+01	  0.023406813	1.012000E+00
19	  0.023607215	-3.823900E+01	  0.023607215	5.504700E+01	  0.023607215	5.069600E+01	  0.023607215	1.017000E+00
20	  0.023807615	-3.813500E+01	  0.023807615	5.520200E+01	  0.023807615	5.070100E+01	  0.023807615	1.032000E+00
21	  0.024008015	-3.802900E+01	  0.024008015	5.472500E+01	  0.024008015	5.071900E+01	  0.024008015	1.039000E+00
22	  0.024208417	-3.810900E+01	  0.024208417	5.450300E+01	  0.024208417	5.071600E+01	  0.024208417	1.026000E+00
23	  0.024408817	-3.805700E+01	  0.024408817	5.510900E+01	  0.024408817	5.070900E+01	  0.024408817	1.040000E+00
24	  0.024609219	-3.801200E+01	  0.024609219	5.442300E+01	  0.024609219	5.072600E+01	  0.024609219	1.037000E+00
25	  0.024809619	-3.798100E+01	  0.024809619	5.449200E+01	  0.024809619	5.072700E+01	  0.024809619	1.042000E+00
26	  0.025010020	-3.778800E+01	  0.025010020	5.429400E+01	  0.025010020	5.074700E+01	  0.025010020	1.063000E+00
27	  0.025210422	-3.780900E+01	  0.025210422	5.429400E+01	  0.025210422	5.074500E+01	  0.025210422	1.060000E+00
28	  0.025410822	-3.775800E+01	  0.025410822	5.418200E+01	  0.025410822	5.075200E+01	  0.025410822	1.065000E+00
29	  0.025611224	-3.768100E+01	  0.025611224	5.391600E+01	  0.025611224	5.076300E+01	  0.025611224	1.071000E+00
30	  0.025811624	-3.768700E+01	  0.025811624	5.377300E+01	  0.025811624	5.076500E+01	  0.025811624	1.069000E+00
31	  0.026012026	-3.758800E+01	  0.026012026	5.370600E+01	  0.026012026	5.077500E+01	  0.026012026	1.080000E+00
32	  0.026212426	-3.755200E+01	  0.026212426	5.392800E+01	  0.026212426	5.077400E+01	  0.026212426	1.088000E+00
33	  0.026412826	-3.747000E+01	  0.026412826	5.421100E+01	  0.026412826	5.077600E+01	  0.026412826	1.102000E+00
34	  0.026613226	-3.749600E+01	  0.026613226	5.406500E+01	  0.026613226	5.077700E+01	  0.026613226	1.097000E+00
35	  0.026813626	-3.742500E+01	  0.026813626	5.377300E+01	  0.026813626	5.078900E+01	  0.026813626	1.102000E+00
36	  0.027014028	-3.740300E+01	  0.027014028	5.378500E+01	  0.027014028	5.079000E+01	  0.027014028	1.105000E+00
37	  0.027214428	-3.734300E+01	  0.027214428	5.347300E+01	  0.027214428	5.080200E+01	  0.027214428	1.108000E+00
38	  0.027414829	-3.718500E+01	  0.027414829	5.352100E+01	  0.027414829	5.081600E+01	  0.027414829	1.130000E+00
39	  0.027615231	-3.721700E+01	  0.027615231	5.345600E+01	  0.027615231	5.081400E+01	  0.027615231	1.125000E+00
40	  0.027815631	-3.715600E+01	  0.027815631	5.310300E+01	  0.027815631	5.082700E+01	  0.027815631	1.127000E+00
41	  0.028016033	-3.715400E+01	  0.028016033	5.286400E+01	  0.028016033	5.083200E+01	  0.028016033	1.124000E+00
42	  0.028216433	-3.710800E+01	  0.028216433	5.329400E+01	  0.028216433	5.082700E+01	  0.028216433	1.137000E+00
43	  0.028416833	-3.696600E+01	  0.028416833	5.302800E+01	  0.028416833	5.084600E+01	  0.028416833	1.152000E+00
44	  0.028617235	-3.701100E+01	  0.028617235	5.284200E+01	  0.028617235	5.084600E+01	  0.028617235	1.143000E+00
45	  0.028817635	-3.692000E+01	  0.028817635	5.276800E+01	  0.028817635	5.085600E+01	  0.028817635	1.154000E+00
46	  0.029018037	-3.695400E+01	  0.029018037	5.257100E+01	  0.029018037	5.085700E+01	  0.029018037	1.147000E+00
47	  0.029218437	-3.687700E+01	  0.029218437	5.290900E+01	  0.029218437	5.085800E+01	  0.029218437	1.162000E+00
48	  0.029418837	-3.681600E+01	  0.029418837	5.230900E+01	  0.029418837	5.087600E+01	  0.029418837	1.161000E+00
49	  0.029619239	-3.676700E+01	  0.029619239	5.247900E+01	  0.029619239	5.087700E+01	  0.029619239	1.171000E+00
50	  0.029819639	-3.672100E+01	  0.029819639	5.222800E+01	  0.029819639	5.088700E+01	  0.029819639	1.173000E+00
51	  0.030020041	-3.667800E+01	  0.030020041	5.223400E+01	  0.030020041	5.089200E+01	  0.030020041	1.179000E+00
52	  0.030220442	-3.664600E+01	  0.030220442	5.184900E+01	  0.030220442	5.090300E+01	  0.030220442	1.178000E+00
53	  0.030420844	-3.657600E+01	  0.030420844	5.222900E+01	  0.030420844	5.090200E+01	  0.030420844	1.193000E+00
54	  0.030621244	-3.651100E+01	  0.030621244	5.224900E+01	  0.030621244	5.090800E+01	  0.030621244	1.203000E+00
55	  0.030821644	-3.656100E+01	  0.030821644	5.205800E+01	  0.030821644	5.090700E+01	  0.030821644	1.193000E+00
56	  0.031022044	-3.652500E+01	  0.031022044	5.169000E+01	  0.031022044	5.091900E+01	  0.031022044	1.192000E+00
57	  0.031222444	-3.635000E+01	  0.031222444	5.200200E+01	  0.031222444	5.093100E+01	  0.031222444	1.222000E+00
58	  0.031422846	-3.635500E+01	  0.031422846	5.186800E+01	  0.031422846	5.093300E+01	  0.031422846	1.219000E+00
