! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may12.cable.cal/top.200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 01:33:34 PM	05/12/2018 01:24:18 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.537000E+00	  0.020000000	-2.252600E+01	  0.020000000	1.265750E+02	  0.020000000	-8.873900E+01
2	  0.020200402	-4.535000E+00	  0.020200402	-2.276200E+01	  0.020200402	1.256580E+02	  0.020200402	-8.900000E+01
3	  0.020400802	-4.536000E+00	  0.020400802	-2.298600E+01	  0.020400802	1.247810E+02	  0.020400802	-8.918500E+01
4	  0.020601204	-4.539000E+00	  0.020601204	-2.320800E+01	  0.020601204	1.239080E+02	  0.020601204	-8.931500E+01
5	  0.020801604	-4.538000E+00	  0.020801604	-2.343900E+01	  0.020801604	1.230210E+02	  0.020801604	-8.952500E+01
6	  0.021002004	-4.539000E+00	  0.021002004	-2.367400E+01	  0.021002004	1.221160E+02	  0.021002004	-8.968200E+01
7	  0.021202406	-4.539000E+00	  0.021202406	-2.389000E+01	  0.021202406	1.212900E+02	  0.021202406	-8.983400E+01
8	  0.021402806	-4.540000E+00	  0.021402806	-2.412800E+01	  0.021402806	1.203820E+02	  0.021402806	-8.997700E+01
9	  0.021603208	-4.541000E+00	  0.021603208	-2.434700E+01	  0.021603208	1.195500E+02	  0.021603208	-9.009600E+01
10	  0.021803608	-4.540000E+00	  0.021803608	-2.458700E+01	  0.021803608	1.186580E+02	  0.021803608	-9.027300E+01
11	  0.022004008	-4.542000E+00	  0.022004008	-2.480700E+01	  0.022004008	1.178290E+02	  0.022004008	-9.035700E+01
12	  0.022204408	-4.541000E+00	  0.022204408	-2.504000E+01	  0.022204408	1.169690E+02	  0.022204408	-9.051700E+01
13	  0.022404809	-4.542000E+00	  0.022404809	-2.526300E+01	  0.022404809	1.161460E+02	  0.022404809	-9.060400E+01
14	  0.022605211	-4.544000E+00	  0.022605211	-2.547400E+01	  0.022605211	1.153670E+02	  0.022605211	-9.065600E+01
15	  0.022805611	-4.546000E+00	  0.022805611	-2.570300E+01	  0.022805611	1.145280E+02	  0.022805611	-9.070900E+01
16	  0.023006011	-4.545000E+00	  0.023006011	-2.594000E+01	  0.023006011	1.136740E+02	  0.023006011	-9.081000E+01
