! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/bot.s11.19p46.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 11:49:28 AM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.3 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.266000E+00	  0.020000000	1.556840E+02	  0.020000000	2.054300E+01	  0.020000000	9.021000E+00
2	  0.020200402	-7.265000E+00	  0.020200402	1.554360E+02	  0.020200402	2.055600E+01	  0.020200402	9.115000E+00
3	  0.020400802	-7.264000E+00	  0.020400802	1.552060E+02	  0.020400802	2.057000E+01	  0.020400802	9.202000E+00
4	  0.020601204	-7.269000E+00	  0.020601204	1.549660E+02	  0.020601204	2.059700E+01	  0.020601204	9.291000E+00
5	  0.020801604	-7.266000E+00	  0.020801604	1.547350E+02	  0.020801604	2.060600E+01	  0.020801604	9.379000E+00
6	  0.021002004	-7.265000E+00	  0.021002004	1.544890E+02	  0.021002004	2.062000E+01	  0.021002004	9.472000E+00
7	  0.021202406	-7.266000E+00	  0.021202406	1.542570E+02	  0.021202406	2.063900E+01	  0.021202406	9.559000E+00
8	  0.021402806	-7.269000E+00	  0.021402806	1.540230E+02	  0.021402806	2.066100E+01	  0.021402806	9.647000E+00
9	  0.021603208	-7.268000E+00	  0.021603208	1.537770E+02	  0.021603208	2.067500E+01	  0.021603208	9.740000E+00
10	  0.021803608	-7.268000E+00	  0.021803608	1.535310E+02	  0.021803608	2.069300E+01	  0.021803608	9.833000E+00
11	  0.022004008	-7.269000E+00	  0.022004008	1.533100E+02	  0.022004008	2.071200E+01	  0.022004008	9.916000E+00
12	  0.022204408	-7.270000E+00	  0.022204408	1.530600E+02	  0.022204408	2.073100E+01	  0.022204408	1.001100E+01
13	  0.022404809	-7.270000E+00	  0.022404809	1.528260E+02	  0.022404809	2.074900E+01	  0.022404809	1.009900E+01
14	  0.022605211	-7.272000E+00	  0.022605211	1.525830E+02	  0.022605211	2.077200E+01	  0.022605211	1.019000E+01
15	  0.022805611	-7.271000E+00	  0.022805611	1.523420E+02	  0.022805611	2.078900E+01	  0.022805611	1.028200E+01
16	  0.023006011	-7.274000E+00	  0.023006011	1.521210E+02	  0.023006011	2.081200E+01	  0.023006011	1.036500E+01
17	  0.023206413	-7.272000E+00	  0.023206413	1.518640E+02	  0.023206413	2.082600E+01	  0.023206413	1.046300E+01
18	  0.023406813	-7.276000E+00	  0.023406813	1.516280E+02	  0.023406813	2.085400E+01	  0.023406813	1.055100E+01
19	  0.023607215	-7.275000E+00	  0.023607215	1.513870E+02	  0.023607215	2.087000E+01	  0.023607215	1.064300E+01
20	  0.023807615	-7.275000E+00	  0.023807615	1.511530E+02	  0.023807615	2.089000E+01	  0.023807615	1.073200E+01
21	  0.024008015	-7.275000E+00	  0.024008015	1.509140E+02	  0.024008015	2.090700E+01	  0.024008015	1.082300E+01
22	  0.024208417	-7.274000E+00	  0.024208417	1.506690E+02	  0.024208417	2.092500E+01	  0.024208417	1.091600E+01
23	  0.024408817	-7.275000E+00	  0.024408817	1.504360E+02	  0.024408817	2.094600E+01	  0.024408817	1.100500E+01
24	  0.024609219	-7.276000E+00	  0.024609219	1.501880E+02	  0.024609219	2.096900E+01	  0.024609219	1.109800E+01
25	  0.024809619	-7.276000E+00	  0.024809619	1.499470E+02	  0.024809619	2.098800E+01	  0.024809619	1.119000E+01
26	  0.025010020	-7.278000E+00	  0.025010020	1.497020E+02	  0.025010020	2.101200E+01	  0.025010020	1.128300E+01
27	  0.025210422	-7.277000E+00	  0.025210422	1.494750E+02	  0.025210422	2.103000E+01	  0.025210422	1.137000E+01
28	  0.025410822	-7.279000E+00	  0.025410822	1.492390E+02	  0.025410822	2.105400E+01	  0.025410822	1.145900E+01
29	  0.025611224	-7.281000E+00	  0.025611224	1.490050E+02	  0.025611224	2.108000E+01	  0.025611224	1.154700E+01
30	  0.025811624	-7.280000E+00	  0.025811624	1.487550E+02	  0.025811624	2.109900E+01	  0.025811624	1.164300E+01
31	  0.026012026	-7.280000E+00	  0.026012026	1.485170E+02	  0.026012026	2.111800E+01	  0.026012026	1.173500E+01
32	  0.026212426	-7.281000E+00	  0.026212426	1.482820E+02	  0.026212426	2.114100E+01	  0.026212426	1.182400E+01
33	  0.026412826	-7.282000E+00	  0.026412826	1.480410E+02	  0.026412826	2.116400E+01	  0.026412826	1.191600E+01
34	  0.026613226	-7.280000E+00	  0.026613226	1.477960E+02	  0.026613226	2.118200E+01	  0.026613226	1.201100E+01
35	  0.026813626	-7.281000E+00	  0.026813626	1.475480E+02	  0.026813626	2.120600E+01	  0.026813626	1.210500E+01
36	  0.027014028	-7.282000E+00	  0.027014028	1.473140E+02	  0.027014028	2.123000E+01	  0.027014028	1.219400E+01
37	  0.027214428	-7.280000E+00	  0.027214428	1.470790E+02	  0.027214428	2.124700E+01	  0.027214428	1.228500E+01
38	  0.027414829	-7.284000E+00	  0.027414829	1.468330E+02	  0.027414829	2.127800E+01	  0.027414829	1.237800E+01
39	  0.027615231	-7.282000E+00	  0.027615231	1.465990E+02	  0.027615231	2.129500E+01	  0.027615231	1.246800E+01
40	  0.027815631	-7.283000E+00	  0.027815631	1.463680E+02	  0.027815631	2.131800E+01	  0.027815631	1.255700E+01
41	  0.028016033	-7.281000E+00	  0.028016033	1.461380E+02	  0.028016033	2.133700E+01	  0.028016033	1.264600E+01
42	  0.028216433	-7.284000E+00	  0.028216433	1.458960E+02	  0.028216433	2.136500E+01	  0.028216433	1.273800E+01
43	  0.028416833	-7.284000E+00	  0.028416833	1.456680E+02	  0.028416833	2.138800E+01	  0.028416833	1.282500E+01
44	  0.028617235	-7.284000E+00	  0.028617235	1.454150E+02	  0.028617235	2.141300E+01	  0.028617235	1.292300E+01
45	  0.028817635	-7.283000E+00	  0.028817635	1.451880E+02	  0.028817635	2.143200E+01	  0.028817635	1.301100E+01
46	  0.029018037	-7.282000E+00	  0.029018037	1.449420E+02	  0.029018037	2.145400E+01	  0.029018037	1.310700E+01
47	  0.029218437	-7.283000E+00	  0.029218437	1.447170E+02	  0.029218437	2.147700E+01	  0.029218437	1.319300E+01
48	  0.029418837	-7.282000E+00	  0.029418837	1.444760E+02	  0.029418837	2.150100E+01	  0.029418837	1.328700E+01
49	  0.029619239	-7.282000E+00	  0.029619239	1.442340E+02	  0.029619239	2.152500E+01	  0.029619239	1.338000E+01
