! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/uu.s11.194p465.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 11:39:29 AM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.8 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.550000E+00	  0.020000000	-2.129600E+01	  0.020000000	1.313460E+02	  0.020000000	-8.702700E+01
2	  0.020200402	-4.548000E+00	  0.020200402	-2.151000E+01	  0.020200402	1.305020E+02	  0.020200402	-8.732900E+01
3	  0.020400802	-4.548000E+00	  0.020400802	-2.171900E+01	  0.020400802	1.296730E+02	  0.020400802	-8.757600E+01
4	  0.020601204	-4.550000E+00	  0.020601204	-2.194000E+01	  0.020601204	1.287880E+02	  0.020601204	-8.779300E+01
5	  0.020801604	-4.551000E+00	  0.020801604	-2.215200E+01	  0.020801604	1.279440E+02	  0.020801604	-8.797700E+01
6	  0.021002004	-4.551000E+00	  0.021002004	-2.237100E+01	  0.021002004	1.270860E+02	  0.021002004	-8.821800E+01
7	  0.021202406	-4.552000E+00	  0.021202406	-2.258200E+01	  0.021202406	1.262520E+02	  0.021202406	-8.839500E+01
8	  0.021402806	-4.552000E+00	  0.021402806	-2.280500E+01	  0.021402806	1.253900E+02	  0.021402806	-8.861600E+01
9	  0.021603208	-4.552000E+00	  0.021603208	-2.301700E+01	  0.021603208	1.245660E+02	  0.021603208	-8.879900E+01
10	  0.021803608	-4.553000E+00	  0.021803608	-2.322600E+01	  0.021803608	1.237540E+02	  0.021803608	-8.895800E+01
11	  0.022004008	-4.554000E+00	  0.022004008	-2.345300E+01	  0.022004008	1.228780E+02	  0.022004008	-8.911800E+01
12	  0.022204408	-4.555000E+00	  0.022204408	-2.367100E+01	  0.022204408	1.220470E+02	  0.022204408	-8.928400E+01
13	  0.022404809	-4.555000E+00	  0.022404809	-2.389100E+01	  0.022404809	1.212100E+02	  0.022404809	-8.943800E+01
14	  0.022605211	-4.557000E+00	  0.022605211	-2.409700E+01	  0.022605211	1.204240E+02	  0.022605211	-8.953700E+01
15	  0.022805611	-4.558000E+00	  0.022805611	-2.431300E+01	  0.022805611	1.196090E+02	  0.022805611	-8.967200E+01
