! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/bot.s11.66pf.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 11:55:29 AM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.5 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.900000E-02	  0.020000000	-6.721400E+01	  0.020000000	4.650000E-01	  0.020000000	-7.523200E+01
2	  0.020200402	-4.800000E-02	  0.020200402	-6.785100E+01	  0.020200402	4.450000E-01	  0.020200402	-7.433300E+01
3	  0.020400802	-4.800000E-02	  0.020400802	-6.847100E+01	  0.020400802	4.410000E-01	  0.020400802	-7.347100E+01
4	  0.020601204	-4.900000E-02	  0.020601204	-6.910600E+01	  0.020601204	4.420000E-01	  0.020601204	-7.260400E+01
5	  0.020801604	-5.000000E-02	  0.020801604	-6.975800E+01	  0.020801604	4.440000E-01	  0.020801604	-7.172600E+01
6	  0.021002004	-5.000000E-02	  0.021002004	-7.038800E+01	  0.021002004	4.350000E-01	  0.021002004	-7.089200E+01
7	  0.021202406	-5.000000E-02	  0.021202406	-7.101400E+01	  0.021202406	4.340000E-01	  0.021202406	-7.007600E+01
8	  0.021402806	-5.000000E-02	  0.021402806	-7.164200E+01	  0.021402806	4.220000E-01	  0.021402806	-6.927000E+01
9	  0.021603208	-5.200000E-02	  0.021603208	-7.226800E+01	  0.021603208	4.320000E-01	  0.021603208	-6.847800E+01
10	  0.021803608	-5.400000E-02	  0.021803608	-7.288600E+01	  0.021803608	4.440000E-01	  0.021803608	-6.770900E+01
11	  0.022004008	-5.300000E-02	  0.022004008	-7.352200E+01	  0.022004008	4.290000E-01	  0.022004008	-6.692900E+01
12	  0.022204408	-5.100000E-02	  0.022204408	-7.415800E+01	  0.022204408	4.100000E-01	  0.022204408	-6.616000E+01
13	  0.022404809	-5.200000E-02	  0.022404809	-7.479000E+01	  0.022404809	4.100000E-01	  0.022404809	-6.540700E+01
14	  0.022605211	-5.600000E-02	  0.022605211	-7.539600E+01	  0.022605211	4.310000E-01	  0.022605211	-6.469400E+01
15	  0.022805611	-5.400000E-02	  0.022805611	-7.602100E+01	  0.022805611	4.110000E-01	  0.022805611	-6.397100E+01
