! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may23.rg316.s11.pre.field/sma.m-m.barrel.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 12:32:46 PM	05/23/2018 12:26:34 PM
! INTERNAL TEMP:    	48.3 C	48.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full 2 Port	Full 2 Port
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.542500E+01	  0.020000000	-9.324500E+01	  0.020000000	4.999600E+01	  0.020000000	-5.300000E-02
2	  0.020200402	-7.056700E+01	  0.020200402	-9.435500E+01	  0.020200402	4.999700E+01	  0.020200402	-2.900000E-02
3	  0.020400802	-7.246700E+01	  0.020400802	-1.362370E+02	  0.020400802	4.998200E+01	  0.020400802	-1.600000E-02
4	  0.020601204	-7.941700E+01	  0.020601204	-7.764000E+01	  0.020601204	5.000200E+01	  0.020601204	-1.000000E-02
5	  0.020801604	-7.083100E+01	  0.020801604	-1.391370E+02	  0.020801604	4.997800E+01	  0.020801604	-1.800000E-02
6	  0.021002004	-7.293400E+01	  0.021002004	-1.219720E+02	  0.021002004	4.998800E+01	  0.021002004	-1.900000E-02
7	  0.021202406	-7.266500E+01	  0.021202406	-1.472360E+02	  0.021202406	4.998000E+01	  0.021202406	-1.200000E-02
8	  0.021402806	-7.232600E+01	  0.021402806	-1.562570E+02	  0.021402806	4.997700E+01	  0.021402806	-9.000000E-03
9	  0.021603208	-7.706600E+01	  0.021603208	-1.225840E+02	  0.021603208	4.999200E+01	  0.021603208	-1.100000E-02
10	  0.021803608	-7.341900E+01	  0.021803608	-1.426540E+02	  0.021803608	4.998300E+01	  0.021803608	-1.200000E-02
11	  0.022004008	-7.314900E+01	  0.022004008	-1.658640E+02	  0.022004008	4.997800E+01	  0.022004008	-5.000000E-03
12	  0.022204408	-7.394800E+01	  0.022204408	-1.445510E+02	  0.022204408	4.998300E+01	  0.022204408	-1.100000E-02
13	  0.022404809	-9.886900E+01	  0.022404809	-7.709000E+01	  0.022404809	5.000000E+01	  0.022404809	-1.000000E-03
14	  0.022605211	-7.165000E+01	  0.022605211	-1.398180E+02	  0.022605211	4.998000E+01	  0.022605211	-1.600000E-02
15	  0.022805611	-7.633700E+01	  0.022805611	-1.645430E+02	  0.022805611	4.998500E+01	  0.022805611	-4.000000E-03
16	  0.023006011	-7.136600E+01	  0.023006011	-1.588740E+02	  0.023006011	4.997400E+01	  0.023006011	-9.000000E-03
