! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.47.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 07:53:19 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.3 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-1.900000E-02	  0.020000000	-5.628900E+01	  0.020000000	2.570000E-01	  0.020000000	-9.346500E+01
2	  0.020200402	-1.500000E-02	  0.020200402	-5.686600E+01	  0.020200402	1.990000E-01	  0.020200402	-9.234500E+01
3	  0.020400802	-1.500000E-02	  0.020400802	-5.741600E+01	  0.020400802	1.940000E-01	  0.020400802	-9.129400E+01
4	  0.020601204	-1.400000E-02	  0.020601204	-5.796800E+01	  0.020601204	1.730000E-01	  0.020601204	-9.025900E+01
5	  0.020801604	-1.500000E-02	  0.020801604	-5.853600E+01	  0.020801604	1.820000E-01	  0.020801604	-8.921300E+01
6	  0.021002004	-1.300000E-02	  0.021002004	-5.909400E+01	  0.021002004	1.650000E-01	  0.021002004	-8.820400E+01
7	  0.021202406	-1.800000E-02	  0.021202406	-5.967400E+01	  0.021202406	2.180000E-01	  0.021202406	-8.717300E+01
8	  0.021402806	-2.000000E-02	  0.021402806	-6.021800E+01	  0.021402806	2.340000E-01	  0.021402806	-8.622100E+01
9	  0.021603208	-2.200000E-02	  0.021603208	-6.076000E+01	  0.021603208	2.560000E-01	  0.021603208	-8.529000E+01
10	  0.021803608	-2.600000E-02	  0.021803608	-6.129200E+01	  0.021803608	2.910000E-01	  0.021803608	-8.438900E+01
11	  0.022004008	-2.700000E-02	  0.022004008	-6.181400E+01	  0.022004008	3.020000E-01	  0.022004008	-8.351900E+01
12	  0.022204408	-3.100000E-02	  0.022204408	-6.237100E+01	  0.022204408	3.400000E-01	  0.022204408	-8.260400E+01
13	  0.022404809	-3.400000E-02	  0.022404809	-6.292900E+01	  0.022404809	3.680000E-01	  0.022404809	-8.170400E+01
14	  0.022605211	-3.000000E-02	  0.022605211	-6.349000E+01	  0.022605211	3.180000E-01	  0.022605211	-8.081300E+01
15	  0.022805611	-2.900000E-02	  0.022805611	-6.405000E+01	  0.022805611	2.980000E-01	  0.022805611	-7.993600E+01
