! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.r200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 08:01:34 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.5 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.554000E+00	  0.020000000	-2.265100E+01	  0.020000000	1.259760E+02	  0.020000000	-8.842100E+01
2	  0.020200402	-4.553000E+00	  0.020200402	-2.288200E+01	  0.020200402	1.250850E+02	  0.020200402	-8.866600E+01
3	  0.020400802	-4.554000E+00	  0.020400802	-2.312100E+01	  0.020400802	1.241540E+02	  0.020400802	-8.885400E+01
4	  0.020601204	-4.552000E+00	  0.020601204	-2.336500E+01	  0.020601204	1.232290E+02	  0.020601204	-8.911000E+01
5	  0.020801604	-4.552000E+00	  0.020801604	-2.361300E+01	  0.020801604	1.222790E+02	  0.020801604	-8.929600E+01
6	  0.021002004	-4.552000E+00	  0.021002004	-2.386500E+01	  0.021002004	1.213240E+02	  0.021002004	-8.949900E+01
7	  0.021202406	-4.555000E+00	  0.021202406	-2.411800E+01	  0.021202406	1.203510E+02	  0.021202406	-8.960200E+01
8	  0.021402806	-4.557000E+00	  0.021402806	-2.435700E+01	  0.021402806	1.194480E+02	  0.021402806	-8.972200E+01
9	  0.021603208	-4.557000E+00	  0.021603208	-2.460800E+01	  0.021603208	1.185130E+02	  0.021603208	-8.988300E+01
10	  0.021803608	-4.557000E+00	  0.021803608	-2.481900E+01	  0.021803608	1.177290E+02	  0.021803608	-8.999700E+01
11	  0.022004008	-4.556000E+00	  0.022004008	-2.505300E+01	  0.022004008	1.168730E+02	  0.022004008	-9.015800E+01
12	  0.022204408	-4.557000E+00	  0.022204408	-2.527100E+01	  0.022204408	1.160670E+02	  0.022204408	-9.024300E+01
13	  0.022404809	-4.557000E+00	  0.022404809	-2.548600E+01	  0.022404809	1.152840E+02	  0.022404809	-9.034900E+01
14	  0.022605211	-4.554000E+00	  0.022605211	-2.574400E+01	  0.022605211	1.143570E+02	  0.022605211	-9.051300E+01
15	  0.022805611	-4.557000E+00	  0.022805611	-2.597000E+01	  0.022805611	1.135340E+02	  0.022805611	-9.054600E+01
16	  0.023006011	-4.556000E+00	  0.023006011	-2.619700E+01	  0.023006011	1.127250E+02	  0.023006011	-9.063800E+01
17	  0.023206413	-4.551000E+00	  0.023206413	-2.641700E+01	  0.023206413	1.119510E+02	  0.023206413	-9.083100E+01
18	  0.023406813	-4.547000E+00	  0.023406813	-2.666300E+01	  0.023406813	1.110910E+02	  0.023406813	-9.100800E+01
19	  0.023607215	-4.544000E+00	  0.023607215	-2.689400E+01	  0.023607215	1.102810E+02	  0.023607215	-9.112400E+01
20	  0.023807615	-4.543000E+00	  0.023807615	-2.710900E+01	  0.023807615	1.095310E+02	  0.023807615	-9.120600E+01
21	  0.024008015	-4.549000E+00	  0.024008015	-2.731600E+01	  0.024008015	1.088040E+02	  0.024008015	-9.111500E+01
22	  0.024208417	-4.550000E+00	  0.024208417	-2.752000E+01	  0.024208417	1.081000E+02	  0.024208417	-9.112100E+01
23	  0.024408817	-4.554000E+00	  0.024408817	-2.774400E+01	  0.024408817	1.073290E+02	  0.024408817	-9.106200E+01
24	  0.024609219	-4.558000E+00	  0.024609219	-2.794000E+01	  0.024609219	1.066600E+02	  0.024609219	-9.098600E+01
