! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.47.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:00:56 PM	05/27/2018 11:54:56 AM
! INTERNAL TEMP:    	50.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.725 ohm, -2.004 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-9.000000E-03	  0.020000000	-5.548300E+01	  0.020000000	1.230000E-01	  0.020000000	-9.506700E+01
2	  0.020200402	-8.000000E-03	  0.020200402	-5.603800E+01	  0.020200402	1.110000E-01	  0.020200402	-9.395900E+01
3	  0.020400802	-5.000000E-03	  0.020400802	-5.655100E+01	  0.020400802	7.500000E-02	  0.020400802	-9.295400E+01
4	  0.020601204	-5.000000E-03	  0.020601204	-5.706800E+01	  0.020601204	7.200000E-02	  0.020601204	-9.195600E+01
5	  0.020801604	-4.000000E-03	  0.020801604	-5.760100E+01	  0.020801604	6.000000E-02	  0.020801604	-9.094600E+01
6	  0.021002004	-5.000000E-03	  0.021002004	-5.813900E+01	  0.021002004	7.200000E-02	  0.021002004	-8.994400E+01
7	  0.021202406	-5.000000E-03	  0.021202406	-5.866000E+01	  0.021202406	7.100000E-02	  0.021202406	-8.898900E+01
8	  0.021402806	-7.000000E-03	  0.021402806	-5.921400E+01	  0.021402806	9.100000E-02	  0.021402806	-8.798900E+01
9	  0.021603208	-1.000000E-02	  0.021603208	-5.973300E+01	  0.021603208	1.180000E-01	  0.021603208	-8.706900E+01
10	  0.021803608	-1.100000E-02	  0.021803608	-6.025200E+01	  0.021803608	1.350000E-01	  0.021803608	-8.616300E+01
11	  0.022004008	-1.300000E-02	  0.022004008	-6.079300E+01	  0.022004008	1.480000E-01	  0.022004008	-8.523400E+01
12	  0.022204408	-1.500000E-02	  0.022204408	-6.134500E+01	  0.022204408	1.670000E-01	  0.022204408	-8.430000E+01
13	  0.022404809	-2.000000E-02	  0.022404809	-6.191800E+01	  0.022404809	2.230000E-01	  0.022404809	-8.334800E+01
14	  0.022605211	-2.300000E-02	  0.022605211	-6.247900E+01	  0.022605211	2.560000E-01	  0.022605211	-8.242900E+01
15	  0.022805611	-2.100000E-02	  0.022805611	-6.302200E+01	  0.022805611	2.290000E-01	  0.022805611	-8.155600E+01
16	  0.023006011	-1.500000E-02	  0.023006011	-6.359900E+01	  0.023006011	1.570000E-01	  0.023006011	-8.064200E+01
