! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.66.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:30:42 PM	05/27/2018 12:21:44 PM
! INTERNAL TEMP:    	53.8 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.797 ohm, 8.118 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.700000E-02	  0.020000000	-6.867300E+01	  0.020000000	3.430000E-01	  0.020000000	-7.319500E+01
2	  0.020200402	-3.500000E-02	  0.020200402	-6.933900E+01	  0.020200402	3.190000E-01	  0.020200402	-7.228900E+01
3	  0.020400802	-3.100000E-02	  0.020400802	-7.001800E+01	  0.020400802	2.740000E-01	  0.020400802	-7.138100E+01
4	  0.020601204	-2.900000E-02	  0.020601204	-7.067000E+01	  0.020601204	2.530000E-01	  0.020601204	-7.052500E+01
5	  0.020801604	-2.500000E-02	  0.020801604	-7.133400E+01	  0.020801604	2.140000E-01	  0.020801604	-6.966600E+01
6	  0.021002004	-2.700000E-02	  0.021002004	-7.200600E+01	  0.021002004	2.280000E-01	  0.021002004	-6.881000E+01
7	  0.021202406	-2.900000E-02	  0.021202406	-7.265500E+01	  0.021202406	2.430000E-01	  0.021202406	-6.799600E+01
8	  0.021402806	-2.900000E-02	  0.021402806	-7.328400E+01	  0.021402806	2.340000E-01	  0.021402806	-6.722100E+01
9	  0.021603208	-3.400000E-02	  0.021603208	-7.392600E+01	  0.021603208	2.740000E-01	  0.021603208	-6.644000E+01
10	  0.021803608	-3.700000E-02	  0.021803608	-7.452400E+01	  0.021803608	2.950000E-01	  0.021803608	-6.572300E+01
11	  0.022004008	-3.700000E-02	  0.022004008	-7.513400E+01	  0.022004008	2.910000E-01	  0.022004008	-6.500100E+01
12	  0.022204408	-4.000000E-02	  0.022204408	-7.576600E+01	  0.022204408	3.050000E-01	  0.022204408	-6.426500E+01
13	  0.022404809	-4.400000E-02	  0.022404809	-7.638500E+01	  0.022404809	3.320000E-01	  0.022404809	-6.355400E+01
14	  0.022605211	-4.300000E-02	  0.022605211	-7.699400E+01	  0.022605211	3.230000E-01	  0.022605211	-6.286300E+01
15	  0.022805611	-3.700000E-02	  0.022805611	-7.762800E+01	  0.022805611	2.720000E-01	  0.022805611	-6.215500E+01
16	  0.023006011	-2.800000E-02	  0.023006011	-7.827400E+01	  0.023006011	2.050000E-01	  0.023006011	-6.144200E+01
17	  0.023206413	-2.200000E-02	  0.023206413	-7.889400E+01	  0.023206413	1.630000E-01	  0.023206413	-6.076700E+01
18	  0.023406813	-1.900000E-02	  0.023406813	-7.951100E+01	  0.023406813	1.390000E-01	  0.023406813	-6.010600E+01
19	  0.023607215	-2.000000E-02	  0.023607215	-8.013600E+01	  0.023607215	1.390000E-01	  0.023607215	-5.944300E+01
20	  0.023807615	-2.200000E-02	  0.023807615	-8.073500E+01	  0.023807615	1.560000E-01	  0.023807615	-5.881600E+01
21	  0.024008015	-2.800000E-02	  0.024008015	-8.132500E+01	  0.024008015	1.910000E-01	  0.024008015	-5.820600E+01
22	  0.024208417	-3.500000E-02	  0.024208417	-8.189100E+01	  0.024208417	2.360000E-01	  0.024208417	-5.762800E+01
23	  0.024408817	-4.300000E-02	  0.024408817	-8.250500E+01	  0.024408817	2.900000E-01	  0.024408817	-5.700800E+01
24	  0.024609219	-4.700000E-02	  0.024609219	-8.311500E+01	  0.024609219	3.120000E-01	  0.024609219	-5.639800E+01
25	  0.024809619	-5.300000E-02	  0.024809619	-8.376300E+01	  0.024809619	3.470000E-01	  0.024809619	-5.576000E+01
26	  0.025010020	-5.400000E-02	  0.025010020	-8.444500E+01	  0.025010020	3.500000E-01	  0.025010020	-5.509700E+01
27	  0.025210422	-5.900000E-02	  0.025210422	-8.511600E+01	  0.025210422	3.740000E-01	  0.025210422	-5.445200E+01
28	  0.025410822	-6.100000E-02	  0.025410822	-8.581300E+01	  0.025410822	3.840000E-01	  0.025410822	-5.379100E+01
29	  0.025611224	-5.900000E-02	  0.025611224	-8.650300E+01	  0.025611224	3.660000E-01	  0.025611224	-5.314700E+01
30	  0.025811624	-5.300000E-02	  0.025811624	-8.717000E+01	  0.025811624	3.230000E-01	  0.025811624	-5.253100E+01
31	  0.026012026	-4.700000E-02	  0.026012026	-8.779800E+01	  0.026012026	2.860000E-01	  0.026012026	-5.195700E+01
32	  0.026212426	-4.500000E-02	  0.026212426	-8.840800E+01	  0.026212426	2.670000E-01	  0.026212426	-5.140700E+01
33	  0.026412826	-4.400000E-02	  0.026412826	-8.901900E+01	  0.026412826	2.580000E-01	  0.026412826	-5.086200E+01
34	  0.026613226	-4.700000E-02	  0.026613226	-8.958500E+01	  0.026613226	2.760000E-01	  0.026613226	-5.036200E+01
35	  0.026813626	-5.200000E-02	  0.026813626	-9.017300E+01	  0.026813626	2.980000E-01	  0.026813626	-4.984700E+01
36	  0.027014028	-5.800000E-02	  0.027014028	-9.071000E+01	  0.027014028	3.300000E-01	  0.027014028	-4.938200E+01
37	  0.027214428	-6.800000E-02	  0.027214428	-9.126100E+01	  0.027214428	3.880000E-01	  0.027214428	-4.890900E+01
38	  0.027414829	-7.800000E-02	  0.027414829	-9.186400E+01	  0.027414829	4.370000E-01	  0.027414829	-4.839600E+01
39	  0.027615231	-8.400000E-02	  0.027615231	-9.250400E+01	  0.027615231	4.650000E-01	  0.027615231	-4.785800E+01
40	  0.027815631	-8.300000E-02	  0.027815631	-9.314600E+01	  0.027815631	4.570000E-01	  0.027815631	-4.732400E+01
41	  0.028016033	-8.100000E-02	  0.028016033	-9.380700E+01	  0.028016033	4.400000E-01	  0.028016033	-4.678100E+01
42	  0.028216433	-7.100000E-02	  0.028216433	-9.446500E+01	  0.028216433	3.810000E-01	  0.028216433	-4.624600E+01
43	  0.028416833	-6.400000E-02	  0.028416833	-9.512500E+01	  0.028416833	3.420000E-01	  0.028416833	-4.571400E+01
44	  0.028617235	-5.800000E-02	  0.028617235	-9.575500E+01	  0.028617235	3.030000E-01	  0.028617235	-4.521200E+01
45	  0.028817635	-5.200000E-02	  0.028817635	-9.636100E+01	  0.028817635	2.700000E-01	  0.028817635	-4.473400E+01
46	  0.029018037	-4.500000E-02	  0.029018037	-9.690900E+01	  0.029018037	2.350000E-01	  0.029018037	-4.430500E+01
