! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a..m.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:45:32 PM	05/27/2018 04:42:15 PM
! INTERNAL TEMP:    	52.3 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.460 ohm, 0.004 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.830000E-01	  0.020000000	-1.261880E+02	  0.020000000	2.472000E+00	  0.020000000	-2.532300E+01
2	  0.020200402	-6.810000E-01	  0.020200402	-1.276450E+02	  0.020200402	2.434000E+00	  0.020200402	-2.453100E+01
3	  0.020400802	-6.790000E-01	  0.020400802	-1.290910E+02	  0.020400802	2.397000E+00	  0.020400802	-2.375500E+01
4	  0.020601204	-6.790000E-01	  0.020601204	-1.305180E+02	  0.020601204	2.368000E+00	  0.020601204	-2.299800E+01
5	  0.020801604	-6.830000E-01	  0.020801604	-1.319960E+02	  0.020801604	2.355000E+00	  0.020801604	-2.222200E+01
6	  0.021002004	-6.910000E-01	  0.021002004	-1.334950E+02	  0.021002004	2.356000E+00	  0.021002004	-2.144300E+01
7	  0.021202406	-6.970000E-01	  0.021202406	-1.350100E+02	  0.021202406	2.348000E+00	  0.021202406	-2.066600E+01
8	  0.021402806	-7.040000E-01	  0.021402806	-1.365190E+02	  0.021402806	2.348000E+00	  0.021402806	-1.989900E+01
9	  0.021603208	-7.070000E-01	  0.021603208	-1.380410E+02	  0.021603208	2.335000E+00	  0.021603208	-1.913600E+01
10	  0.021803608	-7.150000E-01	  0.021803608	-1.395640E+02	  0.021803608	2.338000E+00	  0.021803608	-1.837800E+01
11	  0.022004008	-7.170000E-01	  0.022004008	-1.410910E+02	  0.022004008	2.321000E+00	  0.022004008	-1.762600E+01
12	  0.022204408	-7.240000E-01	  0.022204408	-1.426620E+02	  0.022204408	2.322000E+00	  0.022204408	-1.686000E+01
13	  0.022404809	-7.240000E-01	  0.022404809	-1.442220E+02	  0.022404809	2.301000E+00	  0.022404809	-1.610700E+01
14	  0.022605211	-7.270000E-01	  0.022605211	-1.457840E+02	  0.022605211	2.290000E+00	  0.022605211	-1.535900E+01
15	  0.022805611	-7.280000E-01	  0.022805611	-1.473100E+02	  0.022805611	2.274000E+00	  0.022805611	-1.463500E+01
16	  0.023006011	-7.310000E-01	  0.023006011	-1.488330E+02	  0.023006011	2.267000E+00	  0.023006011	-1.391800E+01
