! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a.m4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:25:42 PM	05/27/2018 05:09:13 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.429 ohm, 0.274 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.810000E-01	  0.020000000	-1.263970E+02	  0.020000000	2.459000E+00	  0.020000000	-2.520900E+01
2	  0.020200402	-6.820000E-01	  0.020200402	-1.278510E+02	  0.020200402	2.431000E+00	  0.020200402	-2.442000E+01
3	  0.020400802	-6.780000E-01	  0.020400802	-1.292930E+02	  0.020400802	2.389000E+00	  0.020400802	-2.364700E+01
4	  0.020601204	-6.790000E-01	  0.020601204	-1.307130E+02	  0.020601204	2.366000E+00	  0.020601204	-2.289500E+01
5	  0.020801604	-6.830000E-01	  0.020801604	-1.321680E+02	  0.020801604	2.353000E+00	  0.020801604	-2.213200E+01
6	  0.021002004	-6.890000E-01	  0.021002004	-1.336590E+02	  0.021002004	2.345000E+00	  0.021002004	-2.135900E+01
7	  0.021202406	-6.970000E-01	  0.021202406	-1.351400E+02	  0.021202406	2.347000E+00	  0.021202406	-2.060000E+01
8	  0.021402806	-7.020000E-01	  0.021402806	-1.366270E+02	  0.021402806	2.340000E+00	  0.021402806	-1.984500E+01
9	  0.021603208	-7.080000E-01	  0.021603208	-1.381260E+02	  0.021603208	2.335000E+00	  0.021603208	-1.909300E+01
10	  0.021803608	-7.150000E-01	  0.021803608	-1.396170E+02	  0.021803608	2.335000E+00	  0.021803608	-1.835200E+01
11	  0.022004008	-7.210000E-01	  0.022004008	-1.411370E+02	  0.022004008	2.332000E+00	  0.022004008	-1.760400E+01
12	  0.022204408	-7.250000E-01	  0.022204408	-1.426810E+02	  0.022204408	2.323000E+00	  0.022204408	-1.685100E+01
13	  0.022404809	-7.270000E-01	  0.022404809	-1.442280E+02	  0.022404809	2.309000E+00	  0.022404809	-1.610400E+01
14	  0.022605211	-7.290000E-01	  0.022605211	-1.457660E+02	  0.022605211	2.298000E+00	  0.022605211	-1.536800E+01
15	  0.022805611	-7.310000E-01	  0.022805611	-1.473020E+02	  0.022805611	2.285000E+00	  0.022805611	-1.463800E+01
16	  0.023006011	-7.330000E-01	  0.023006011	-1.488380E+02	  0.023006011	2.272000E+00	  0.023006011	-1.391500E+01
17	  0.023206413	-7.420000E-01	  0.023206413	-1.504060E+02	  0.023206413	2.283000E+00	  0.023206413	-1.318100E+01
18	  0.023406813	-7.510000E-01	  0.023406813	-1.519850E+02	  0.023406813	2.294000E+00	  0.023406813	-1.244800E+01
19	  0.023607215	-7.570000E-01	  0.023607215	-1.535760E+02	  0.023607215	2.299000E+00	  0.023607215	-1.171400E+01
20	  0.023807615	-7.660000E-01	  0.023807615	-1.551820E+02	  0.023807615	2.310000E+00	  0.023807615	-1.097900E+01
21	  0.024008015	-7.750000E-01	  0.024008015	-1.567770E+02	  0.024008015	2.323000E+00	  0.024008015	-1.025200E+01
22	  0.024208417	-7.840000E-01	  0.024208417	-1.583760E+02	  0.024208417	2.339000E+00	  0.024208417	-9.528000E+00
23	  0.024408817	-7.950000E-01	  0.024408817	-1.599980E+02	  0.024408817	2.357000E+00	  0.024408817	-8.798000E+00
24	  0.024609219	-8.060000E-01	  0.024609219	-1.616380E+02	  0.024609219	2.379000E+00	  0.024609219	-8.062000E+00
25	  0.024809619	-8.140000E-01	  0.024809619	-1.632960E+02	  0.024809619	2.392000E+00	  0.024809619	-7.323000E+00
26	  0.025010020	-8.180000E-01	  0.025010020	-1.649490E+02	  0.025010020	2.396000E+00	  0.025010020	-6.590000E+00
27	  0.025210422	-8.270000E-01	  0.025210422	-1.665930E+02	  0.025210422	2.413000E+00	  0.025210422	-5.862000E+00
28	  0.025410822	-8.370000E-01	  0.025410822	-1.682570E+02	  0.025410822	2.433000E+00	  0.025410822	-5.129000E+00
29	  0.025611224	-8.460000E-01	  0.025611224	-1.699180E+02	  0.025611224	2.453000E+00	  0.025611224	-4.399000E+00
30	  0.025811624	-8.570000E-01	  0.025811624	-1.715800E+02	  0.025811624	2.479000E+00	  0.025811624	-3.671000E+00
31	  0.026012026	-8.670000E-01	  0.026012026	-1.732670E+02	  0.026012026	2.503000E+00	  0.026012026	-2.933000E+00
32	  0.026212426	-8.830000E-01	  0.026212426	-1.749480E+02	  0.026212426	2.544000E+00	  0.026212426	-2.199000E+00
