! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a.r20.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:19:37 PM	05/27/2018 05:09:13 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(32.482 ohm, 35.068 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.281000E+00	  0.020000000	1.545780E+02	  0.020000000	2.065200E+01	  0.020000000	9.432000E+00
2	  0.020200402	-7.283000E+00	  0.020200402	1.543150E+02	  0.020200402	2.067500E+01	  0.020200402	9.530000E+00
3	  0.020400802	-7.278000E+00	  0.020400802	1.540780E+02	  0.020400802	2.067900E+01	  0.020400802	9.622000E+00
4	  0.020601204	-7.277000E+00	  0.020601204	1.538420E+02	  0.020601204	2.069400E+01	  0.020601204	9.711000E+00
5	  0.020801604	-7.274000E+00	  0.020801604	1.535900E+02	  0.020801604	2.070500E+01	  0.020801604	9.808000E+00
6	  0.021002004	-7.269000E+00	  0.021002004	1.533360E+02	  0.021002004	2.071100E+01	  0.021002004	9.906000E+00
7	  0.021202406	-7.274000E+00	  0.021202406	1.530740E+02	  0.021202406	2.074100E+01	  0.021202406	1.000400E+01
8	  0.021402806	-7.277000E+00	  0.021402806	1.528350E+02	  0.021402806	2.076600E+01	  0.021402806	1.009300E+01
9	  0.021603208	-7.275000E+00	  0.021603208	1.526000E+02	  0.021603208	2.078000E+01	  0.021603208	1.018200E+01
10	  0.021803608	-7.281000E+00	  0.021803608	1.523640E+02	  0.021803608	2.081100E+01	  0.021803608	1.026900E+01
11	  0.022004008	-7.282000E+00	  0.022004008	1.521130E+02	  0.022004008	2.083400E+01	  0.022004008	1.036400E+01
12	  0.022204408	-7.284000E+00	  0.022204408	1.518810E+02	  0.022204408	2.085500E+01	  0.022204408	1.045100E+01
13	  0.022404809	-7.283000E+00	  0.022404809	1.516360E+02	  0.022404809	2.087200E+01	  0.022404809	1.054400E+01
14	  0.022605211	-7.291000E+00	  0.022605211	1.513630E+02	  0.022605211	2.091300E+01	  0.022605211	1.064400E+01
15	  0.022805611	-7.289000E+00	  0.022805611	1.511230E+02	  0.022805611	2.092700E+01	  0.022805611	1.073600E+01
16	  0.023006011	-7.289000E+00	  0.023006011	1.508660E+02	  0.023006011	2.094700E+01	  0.023006011	1.083300E+01
17	  0.023206413	-7.286000E+00	  0.023206413	1.505850E+02	  0.023206413	2.096100E+01	  0.023206413	1.094200E+01
