! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.66.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:31:16 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	52.8 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.954 ohm, 6.760 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.100000E-02	  0.020000000	-6.783200E+01	  0.020000000	5.690000E-01	  0.020000000	-7.435900E+01
2	  0.020200402	-5.700000E-02	  0.020200402	-6.845700E+01	  0.020200402	5.260000E-01	  0.020200402	-7.349000E+01
3	  0.020400802	-5.500000E-02	  0.020400802	-6.905100E+01	  0.020400802	4.960000E-01	  0.020400802	-7.267800E+01
4	  0.020601204	-5.100000E-02	  0.020601204	-6.966300E+01	  0.020601204	4.580000E-01	  0.020601204	-7.185300E+01
5	  0.020801604	-5.000000E-02	  0.020801604	-7.028800E+01	  0.020801604	4.360000E-01	  0.020801604	-7.102400E+01
6	  0.021002004	-5.000000E-02	  0.021002004	-7.091000E+01	  0.021002004	4.320000E-01	  0.021002004	-7.021100E+01
7	  0.021202406	-5.500000E-02	  0.021202406	-7.156100E+01	  0.021202406	4.680000E-01	  0.021202406	-6.937300E+01
8	  0.021402806	-6.100000E-02	  0.021402806	-7.221000E+01	  0.021402806	5.060000E-01	  0.021402806	-6.855100E+01
9	  0.021603208	-6.400000E-02	  0.021603208	-7.286000E+01	  0.021603208	5.300000E-01	  0.021603208	-6.774000E+01
10	  0.021803608	-6.900000E-02	  0.021803608	-7.350100E+01	  0.021803608	5.570000E-01	  0.021803608	-6.695300E+01
11	  0.022004008	-7.200000E-02	  0.022004008	-7.415400E+01	  0.022004008	5.700000E-01	  0.022004008	-6.616300E+01
12	  0.022204408	-7.600000E-02	  0.022204408	-7.483000E+01	  0.022204408	5.950000E-01	  0.022204408	-6.535700E+01
13	  0.022404809	-8.100000E-02	  0.022404809	-7.552100E+01	  0.022404809	6.230000E-01	  0.022404809	-6.454600E+01
14	  0.022605211	-8.500000E-02	  0.022605211	-7.620500E+01	  0.022605211	6.470000E-01	  0.022605211	-6.375700E+01
15	  0.022805611	-8.000000E-02	  0.022805611	-7.688400E+01	  0.022805611	5.990000E-01	  0.022805611	-6.298500E+01
16	  0.023006011	-7.000000E-02	  0.023006011	-7.757500E+01	  0.023006011	5.160000E-01	  0.023006011	-6.221100E+01
17	  0.023206413	-6.500000E-02	  0.023206413	-7.824600E+01	  0.023206413	4.720000E-01	  0.023206413	-6.147100E+01
18	  0.023406813	-6.200000E-02	  0.023406813	-7.889700E+01	  0.023406813	4.450000E-01	  0.023406813	-6.076300E+01
19	  0.023607215	-6.300000E-02	  0.023607215	-7.952500E+01	  0.023607215	4.430000E-01	  0.023607215	-6.008900E+01
20	  0.023807615	-6.300000E-02	  0.023807615	-8.012900E+01	  0.023807615	4.420000E-01	  0.023807615	-5.944800E+01
21	  0.024008015	-6.900000E-02	  0.024008015	-8.069100E+01	  0.024008015	4.780000E-01	  0.024008015	-5.886000E+01
22	  0.024208417	-7.300000E-02	  0.024208417	-8.125600E+01	  0.024208417	5.010000E-01	  0.024208417	-5.827500E+01
23	  0.024408817	-8.000000E-02	  0.024408817	-8.179800E+01	  0.024408817	5.390000E-01	  0.024408817	-5.772000E+01
24	  0.024609219	-8.600000E-02	  0.024609219	-8.235800E+01	  0.024609219	5.720000E-01	  0.024609219	-5.715200E+01
25	  0.024809619	-9.100000E-02	  0.024809619	-8.294700E+01	  0.024809619	5.990000E-01	  0.024809619	-5.656300E+01
26	  0.025010020	-9.200000E-02	  0.025010020	-8.355900E+01	  0.025010020	5.970000E-01	  0.025010020	-5.595800E+01
27	  0.025210422	-9.500000E-02	  0.025210422	-8.416400E+01	  0.025210422	6.110000E-01	  0.025210422	-5.536700E+01
28	  0.025410822	-9.500000E-02	  0.025410822	-8.479000E+01	  0.025410822	6.050000E-01	  0.025410822	-5.476200E+01
29	  0.025611224	-9.500000E-02	  0.025611224	-8.541800E+01	  0.025611224	5.970000E-01	  0.025611224	-5.416300E+01
30	  0.025811624	-9.100000E-02	  0.025811624	-8.602900E+01	  0.025811624	5.660000E-01	  0.025811624	-5.358700E+01
31	  0.026012026	-8.700000E-02	  0.026012026	-8.662100E+01	  0.026012026	5.360000E-01	  0.026012026	-5.303500E+01
32	  0.026212426	-8.500000E-02	  0.026212426	-8.721300E+01	  0.026212426	5.170000E-01	  0.026212426	-5.248900E+01
33	  0.026412826	-8.800000E-02	  0.026412826	-8.780100E+01	  0.026412826	5.320000E-01	  0.026412826	-5.195300E+01
34	  0.026613226	-9.300000E-02	  0.026613226	-8.841600E+01	  0.026613226	5.510000E-01	  0.026613226	-5.139800E+01
35	  0.026813626	-1.000000E-01	  0.026813626	-8.900300E+01	  0.026813626	5.890000E-01	  0.026813626	-5.087300E+01
36	  0.027014028	-1.050000E-01	  0.027014028	-8.957300E+01	  0.027014028	6.110000E-01	  0.027014028	-5.037000E+01
37	  0.027214428	-1.160000E-01	  0.027214428	-9.019900E+01	  0.027214428	6.650000E-01	  0.027214428	-4.982100E+01
38	  0.027414829	-1.260000E-01	  0.027414829	-9.086100E+01	  0.027414829	7.170000E-01	  0.027414829	-4.924800E+01
39	  0.027615231	-1.320000E-01	  0.027615231	-9.156300E+01	  0.027615231	7.440000E-01	  0.027615231	-4.864800E+01
40	  0.027815631	-1.340000E-01	  0.027815631	-9.227600E+01	  0.027815631	7.430000E-01	  0.027815631	-4.804500E+01
41	  0.028016033	-1.280000E-01	  0.028016033	-9.299900E+01	  0.028016033	7.000000E-01	  0.028016033	-4.744300E+01
42	  0.028216433	-1.200000E-01	  0.028216433	-9.371300E+01	  0.028216433	6.490000E-01	  0.028216433	-4.685500E+01
43	  0.028416833	-1.110000E-01	  0.028416833	-9.438100E+01	  0.028416833	5.950000E-01	  0.028416833	-4.631200E+01
44	  0.028617235	-1.010000E-01	  0.028617235	-9.504800E+01	  0.028617235	5.390000E-01	  0.028617235	-4.577400E+01
45	  0.028817635	-9.200000E-02	  0.028817635	-9.565200E+01	  0.028817635	4.840000E-01	  0.028817635	-4.529300E+01
46	  0.029018037	-8.600000E-02	  0.029018037	-9.618700E+01	  0.029018037	4.470000E-01	  0.029018037	-4.486900E+01
47	  0.029218437	-8.000000E-02	  0.029218437	-9.668600E+01	  0.029218437	4.140000E-01	  0.029218437	-4.447900E+01
