! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:40:49 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	53.8 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(17.311 ohm, -2.248 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.330000E-01	  0.020000000	-1.250950E+02	  0.020000000	2.677000E+00	  0.020000000	-2.591600E+01
2	  0.020200402	-7.330000E-01	  0.020200402	-1.265710E+02	  0.020200402	2.644000E+00	  0.020200402	-2.510600E+01
3	  0.020400802	-7.320000E-01	  0.020400802	-1.280220E+02	  0.020400802	2.606000E+00	  0.020400802	-2.432000E+01
4	  0.020601204	-7.330000E-01	  0.020601204	-1.294980E+02	  0.020601204	2.579000E+00	  0.020601204	-2.353100E+01
5	  0.020801604	-7.390000E-01	  0.020801604	-1.309960E+02	  0.020801604	2.567000E+00	  0.020801604	-2.273800E+01
6	  0.021002004	-7.460000E-01	  0.021002004	-1.325270E+02	  0.021002004	2.561000E+00	  0.021002004	-2.193700E+01
7	  0.021202406	-7.550000E-01	  0.021202406	-1.340930E+02	  0.021202406	2.560000E+00	  0.021202406	-2.112800E+01
8	  0.021402806	-7.630000E-01	  0.021402806	-1.356630E+02	  0.021402806	2.560000E+00	  0.021402806	-2.032600E+01
9	  0.021603208	-7.670000E-01	  0.021603208	-1.372390E+02	  0.021603208	2.545000E+00	  0.021603208	-1.953100E+01
10	  0.021803608	-7.730000E-01	  0.021803608	-1.387910E+02	  0.021803608	2.537000E+00	  0.021803608	-1.875500E+01
11	  0.022004008	-7.780000E-01	  0.022004008	-1.403630E+02	  0.022004008	2.530000E+00	  0.022004008	-1.797800E+01
12	  0.022204408	-7.790000E-01	  0.022204408	-1.419540E+02	  0.022204408	2.507000E+00	  0.022204408	-1.719900E+01
13	  0.022404809	-7.820000E-01	  0.022404809	-1.435440E+02	  0.022404809	2.493000E+00	  0.022404809	-1.642800E+01
14	  0.022605211	-7.810000E-01	  0.022605211	-1.451240E+02	  0.022605211	2.470000E+00	  0.022605211	-1.567000E+01
15	  0.022805611	-7.790000E-01	  0.022805611	-1.466750E+02	  0.022805611	2.441000E+00	  0.022805611	-1.493100E+01
16	  0.023006011	-7.800000E-01	  0.023006011	-1.482190E+02	  0.023006011	2.427000E+00	  0.023006011	-1.420200E+01
17	  0.023206413	-7.890000E-01	  0.023206413	-1.497570E+02	  0.023206413	2.437000E+00	  0.023206413	-1.348000E+01
18	  0.023406813	-7.980000E-01	  0.023406813	-1.512940E+02	  0.023406813	2.446000E+00	  0.023406813	-1.276500E+01
19	  0.023607215	-8.070000E-01	  0.023607215	-1.528530E+02	  0.023607215	2.457000E+00	  0.023607215	-1.204400E+01
20	  0.023807615	-8.130000E-01	  0.023807615	-1.544100E+02	  0.023807615	2.460000E+00	  0.023807615	-1.132800E+01
21	  0.024008015	-8.230000E-01	  0.024008015	-1.559680E+02	  0.024008015	2.475000E+00	  0.024008015	-1.061700E+01
22	  0.024208417	-8.350000E-01	  0.024208417	-1.575190E+02	  0.024208417	2.496000E+00	  0.024208417	-9.912000E+00
23	  0.024408817	-8.490000E-01	  0.024408817	-1.591080E+02	  0.024408817	2.527000E+00	  0.024408817	-9.195000E+00
24	  0.024609219	-8.650000E-01	  0.024609219	-1.607390E+02	  0.024609219	2.559000E+00	  0.024609219	-8.462000E+00
25	  0.024809619	-8.760000E-01	  0.024809619	-1.623920E+02	  0.024809619	2.579000E+00	  0.024809619	-7.723000E+00
26	  0.025010020	-8.850000E-01	  0.025010020	-1.640550E+02	  0.025010020	2.596000E+00	  0.025010020	-6.984000E+00
27	  0.025210422	-8.970000E-01	  0.025210422	-1.657280E+02	  0.025210422	2.621000E+00	  0.025210422	-6.242000E+00
28	  0.025410822	-9.090000E-01	  0.025410822	-1.674210E+02	  0.025410822	2.647000E+00	  0.025410822	-5.495000E+00
29	  0.025611224	-9.230000E-01	  0.025611224	-1.691310E+02	  0.025611224	2.678000E+00	  0.025611224	-4.742000E+00
30	  0.025811624	-9.370000E-01	  0.025811624	-1.708770E+02	  0.025811624	2.712000E+00	  0.025811624	-3.977000E+00
31	  0.026012026	-9.500000E-01	  0.026012026	-1.726350E+02	  0.026012026	2.743000E+00	  0.026012026	-3.208000E+00
32	  0.026212426	-9.670000E-01	  0.026212426	-1.744210E+02	  0.026212426	2.788000E+00	  0.026212426	-2.428000E+00
33	  0.026412826	-9.860000E-01	  0.026412826	-1.762060E+02	  0.026412826	2.838000E+00	  0.026412826	-1.650000E+00
34	  0.026613226	-1.004000E+00	  0.026613226	-1.780200E+02	  0.026613226	2.887000E+00	  0.026613226	-8.600000E-01
35	  0.026813626	-1.020000E+00	  0.026813626	-1.798340E+02	  0.026813626	2.933000E+00	  0.026813626	-7.100000E-02
36	  0.027014028	-1.035000E+00	  0.027014028	1.783900E+02	  0.027014028	2.977000E+00	  0.027014028	6.990000E-01
37	  0.027214428	-1.049000E+00	  0.027214428	1.765860E+02	  0.027214428	3.020000E+00	  0.027214428	1.484000E+00
38	  0.027414829	-1.063000E+00	  0.027414829	1.748250E+02	  0.027414829	3.062000E+00	  0.027414829	2.251000E+00
39	  0.027615231	-1.079000E+00	  0.027615231	1.730460E+02	  0.027615231	3.115000E+00	  0.027615231	3.026000E+00
40	  0.027815631	-1.098000E+00	  0.027815631	1.712640E+02	  0.027815631	3.174000E+00	  0.027815631	3.803000E+00
41	  0.028016033	-1.116000E+00	  0.028016033	1.694730E+02	  0.028016033	3.236000E+00	  0.028016033	4.587000E+00
42	  0.028216433	-1.136000E+00	  0.028216433	1.676920E+02	  0.028216433	3.303000E+00	  0.028216433	5.367000E+00
43	  0.028416833	-1.157000E+00	  0.028416833	1.659170E+02	  0.028416833	3.377000E+00	  0.028416833	6.147000E+00
44	  0.028617235	-1.180000E+00	  0.028617235	1.641500E+02	  0.028617235	3.459000E+00	  0.028617235	6.927000E+00
45	  0.028817635	-1.205000E+00	  0.028817635	1.623630E+02	  0.028817635	3.548000E+00	  0.028817635	7.718000E+00
46	  0.029018037	-1.233000E+00	  0.029018037	1.605460E+02	  0.029018037	3.649000E+00	  0.029018037	8.526000E+00
47	  0.029218437	-1.260000E+00	  0.029218437	1.587140E+02	  0.029218437	3.750000E+00	  0.029218437	9.344000E+00
48	  0.029418837	-1.286000E+00	  0.029418837	1.568810E+02	  0.029418837	3.849000E+00	  0.029418837	1.016800E+01
49	  0.029619239	-1.312000E+00	  0.029619239	1.550590E+02	  0.029619239	3.953000E+00	  0.029619239	1.099100E+01
50	  0.029819639	-1.340000E+00	  0.029819639	1.532270E+02	  0.029819639	4.066000E+00	  0.029819639	1.182400E+01
51	  0.030020041	-1.369000E+00	  0.030020041	1.513770E+02	  0.030020041	4.188000E+00	  0.030020041	1.267100E+01
52	  0.030220442	-1.403000E+00	  0.030220442	1.495110E+02	  0.030220442	4.327000E+00	  0.030220442	1.353100E+01
53	  0.030420844	-1.442000E+00	  0.030420844	1.476040E+02	  0.030420844	4.490000E+00	  0.030420844	1.441600E+01
54	  0.030621244	-1.486000E+00	  0.030621244	1.456460E+02	  0.030621244	4.671000E+00	  0.030621244	1.533200E+01
55	  0.030821644	-1.524000E+00	  0.030821644	1.436310E+02	  0.030821644	4.846000E+00	  0.030821644	1.628400E+01
56	  0.031022044	-1.559000E+00	  0.031022044	1.415920E+02	  0.031022044	5.016000E+00	  0.031022044	1.725900E+01
57	  0.031222444	-1.591000E+00	  0.031222444	1.395240E+02	  0.031222444	5.182000E+00	  0.031222444	1.825900E+01
58	  0.031422846	-1.618000E+00	  0.031422846	1.374680E+02	  0.031422846	5.342000E+00	  0.031422846	1.926600E+01
59	  0.031623244	-1.645000E+00	  0.031623244	1.354300E+02	  0.031623244	5.506000E+00	  0.031623244	2.027700E+01
60	  0.031823646	-1.666000E+00	  0.031823646	1.334010E+02	  0.031823646	5.657000E+00	  0.031823646	2.129900E+01
61	  0.032024048	-1.688000E+00	  0.032024048	1.314300E+02	  0.032024048	5.819000E+00	  0.032024048	2.230500E+01
62	  0.032224450	-1.716000E+00	  0.032224450	1.294650E+02	  0.032224450	6.008000E+00	  0.032224450	2.332000E+01
63	  0.032424849	-1.740000E+00	  0.032424849	1.275290E+02	  0.032424849	6.191000E+00	  0.032424849	2.433600E+01
64	  0.032625251	-1.775000E+00	  0.032625251	1.255900E+02	  0.032625251	6.419000E+00	  0.032625251	2.536500E+01
65	  0.032825653	-1.814000E+00	  0.032825653	1.236540E+02	  0.032825653	6.675000E+00	  0.032825653	2.640700E+01
66	  0.033026051	-1.858000E+00	  0.033026051	1.217530E+02	  0.033026051	6.959000E+00	  0.033026051	2.744200E+01
67	  0.033226453	-1.902000E+00	  0.033226453	1.197950E+02	  0.033226453	7.259000E+00	  0.033226453	2.852700E+01
68	  0.033426855	-1.947000E+00	  0.033426855	1.178590E+02	  0.033426855	7.574000E+00	  0.033426855	2.961600E+01
69	  0.033627257	-1.994000E+00	  0.033627257	1.158840E+02	  0.033627257	7.917000E+00	  0.033627257	3.074600E+01
70	  0.033827655	-2.039000E+00	  0.033827655	1.138730E+02	  0.033827655	8.272000E+00	  0.033827655	3.191900E+01
71	  0.034028057	-2.089000E+00	  0.034028057	1.118470E+02	  0.034028057	8.666000E+00	  0.034028057	3.312000E+01
72	  0.034228459	-2.138000E+00	  0.034228459	1.098160E+02	  0.034228459	9.081000E+00	  0.034228459	3.434800E+01
73	  0.034428857	-2.188000E+00	  0.034428857	1.077770E+02	  0.034428857	9.519000E+00	  0.034428857	3.560500E+01
74	  0.034629259	-2.232000E+00	  0.034629259	1.057250E+02	  0.034629259	9.962000E+00	  0.034629259	3.690100E+01
75	  0.034829661	-2.276000E+00	  0.034829661	1.036780E+02	  0.034829661	1.042800E+01	  0.034829661	3.822200E+01
76	  0.035030060	-2.319000E+00	  0.035030060	1.016450E+02	  0.035030060	1.091500E+01	  0.035030060	3.956500E+01
77	  0.035230462	-2.369000E+00	  0.035230462	9.960900E+01	  0.035230462	1.146700E+01	  0.035230462	4.093200E+01
78	  0.035430863	-2.424000E+00	  0.035430863	9.757400E+01	  0.035430863	1.207200E+01	  0.035430863	4.232500E+01
79	  0.035631265	-2.486000E+00	  0.035631265	9.550400E+01	  0.035631265	1.276000E+01	  0.035631265	4.376500E+01
80	  0.035831664	-2.550000E+00	  0.035831664	9.339900E+01	  0.035831664	1.350400E+01	  0.035831664	4.526200E+01
81	  0.036032066	-2.611000E+00	  0.036032066	9.122400E+01	  0.036032066	1.430100E+01	  0.036032066	4.685400E+01
82	  0.036232468	-2.667000E+00	  0.036232468	8.901100E+01	  0.036232468	1.513900E+01	  0.036232468	4.852300E+01
83	  0.036432866	-2.723000E+00	  0.036432866	8.679300E+01	  0.036432866	1.603500E+01	  0.036432866	5.024200E+01
84	  0.036633268	-2.769000E+00	  0.036633268	8.459600E+01	  0.036633268	1.694100E+01	  0.036633268	5.200900E+01
