! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.r200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:37:06 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	53.5 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(30.965 ohm, -52.133 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.559000E+00	  0.020000000	-2.176700E+01	  0.020000000	1.294050E+02	  0.020000000	-8.736100E+01
2	  0.020200402	-4.553000E+00	  0.020200402	-2.192300E+01	  0.020200402	1.288330E+02	  0.020200402	-8.769200E+01
3	  0.020400802	-4.548000E+00	  0.020400802	-2.206700E+01	  0.020400802	1.283040E+02	  0.020400802	-8.798300E+01
4	  0.020601204	-4.547000E+00	  0.020601204	-2.221300E+01	  0.020601204	1.277360E+02	  0.020601204	-8.816400E+01
5	  0.020801604	-4.544000E+00	  0.020801604	-2.235800E+01	  0.020801604	1.271840E+02	  0.020801604	-8.837200E+01
6	  0.021002004	-4.545000E+00	  0.021002004	-2.251900E+01	  0.021002004	1.265460E+02	  0.021002004	-8.851900E+01
7	  0.021202406	-4.555000E+00	  0.021202406	-2.270600E+01	  0.021202406	1.257570E+02	  0.021202406	-8.845500E+01
8	  0.021402806	-4.560000E+00	  0.021402806	-2.287900E+01	  0.021402806	1.250550E+02	  0.021402806	-8.848500E+01
9	  0.021603208	-4.566000E+00	  0.021603208	-2.306900E+01	  0.021603208	1.242850E+02	  0.021603208	-8.850000E+01
10	  0.021803608	-4.574000E+00	  0.021803608	-2.327500E+01	  0.021803608	1.234530E+02	  0.021803608	-8.847900E+01
11	  0.022004008	-4.583000E+00	  0.022004008	-2.347300E+01	  0.022004008	1.226460E+02	  0.022004008	-8.841500E+01
12	  0.022204408	-4.590000E+00	  0.022204408	-2.371500E+01	  0.022204408	1.217010E+02	  0.022204408	-8.845100E+01
13	  0.022404809	-4.598000E+00	  0.022404809	-2.395400E+01	  0.022404809	1.207660E+02	  0.022404809	-8.842200E+01
14	  0.022605211	-4.606000E+00	  0.022605211	-2.423800E+01	  0.022605211	1.196710E+02	  0.022605211	-8.843400E+01
15	  0.022805611	-4.611000E+00	  0.022805611	-2.454400E+01	  0.022805611	1.185230E+02	  0.022805611	-8.850800E+01
16	  0.023006011	-4.612000E+00	  0.023006011	-2.485100E+01	  0.023006011	1.174010E+02	  0.023006011	-8.868700E+01
