! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/uu.s11.19p46.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 11:42:40 AM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.5 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.258000E+00	  0.020000000	1.557490E+02	  0.020000000	2.051900E+01	  0.020000000	9.000000E+00
2	  0.020200402	-7.260000E+00	  0.020200402	1.555050E+02	  0.020200402	2.054000E+01	  0.020200402	9.091000E+00
3	  0.020400802	-7.261000E+00	  0.020400802	1.552570E+02	  0.020400802	2.055900E+01	  0.020400802	9.184000E+00
4	  0.020601204	-7.263000E+00	  0.020601204	1.550380E+02	  0.020601204	2.057700E+01	  0.020601204	9.266000E+00
5	  0.020801604	-7.262000E+00	  0.020801604	1.547960E+02	  0.020801604	2.059100E+01	  0.020801604	9.358000E+00
6	  0.021002004	-7.261000E+00	  0.021002004	1.545540E+02	  0.021002004	2.060500E+01	  0.021002004	9.449000E+00
7	  0.021202406	-7.263000E+00	  0.021202406	1.543210E+02	  0.021202406	2.062600E+01	  0.021202406	9.537000E+00
8	  0.021402806	-7.262000E+00	  0.021402806	1.540950E+02	  0.021402806	2.064000E+01	  0.021402806	9.622000E+00
9	  0.021603208	-7.265000E+00	  0.021603208	1.538380E+02	  0.021603208	2.066400E+01	  0.021603208	9.719000E+00
10	  0.021803608	-7.264000E+00	  0.021803608	1.535980E+02	  0.021803608	2.067800E+01	  0.021803608	9.810000E+00
11	  0.022004008	-7.266000E+00	  0.022004008	1.533860E+02	  0.022004008	2.069900E+01	  0.022004008	9.889000E+00
12	  0.022204408	-7.267000E+00	  0.022204408	1.531160E+02	  0.022204408	2.072000E+01	  0.022204408	9.991000E+00
13	  0.022404809	-7.268000E+00	  0.022404809	1.528960E+02	  0.022404809	2.074000E+01	  0.022404809	1.007400E+01
14	  0.022605211	-7.266000E+00	  0.022605211	1.526490E+02	  0.022605211	2.075200E+01	  0.022605211	1.016800E+01
15	  0.022805611	-7.266000E+00	  0.022805611	1.524070E+02	  0.022805611	2.077100E+01	  0.022805611	1.026000E+01
16	  0.023006011	-7.268000E+00	  0.023006011	1.521770E+02	  0.023006011	2.079300E+01	  0.023006011	1.034600E+01
