! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/uu.s11.47pf.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 11:57:36 AM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.3 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.700000E-02	  0.020000000	-5.502900E+01	  0.020000000	3.750000E-01	  0.020000000	-9.598700E+01
2	  0.020200402	-2.700000E-02	  0.020200402	-5.557500E+01	  0.020200402	3.660000E-01	  0.020200402	-9.488200E+01
3	  0.020400802	-2.800000E-02	  0.020400802	-5.610300E+01	  0.020400802	3.690000E-01	  0.020400802	-9.383000E+01
4	  0.020601204	-2.900000E-02	  0.020601204	-5.663300E+01	  0.020601204	3.810000E-01	  0.020601204	-9.279300E+01
5	  0.020801604	-3.100000E-02	  0.020801604	-5.718500E+01	  0.020801604	3.900000E-01	  0.020801604	-9.173300E+01
6	  0.021002004	-3.100000E-02	  0.021002004	-5.771800E+01	  0.021002004	3.880000E-01	  0.021002004	-9.072500E+01
7	  0.021202406	-3.100000E-02	  0.021202406	-5.825500E+01	  0.021202406	3.880000E-01	  0.021202406	-8.972800E+01
8	  0.021402806	-3.200000E-02	  0.021402806	-5.878900E+01	  0.021402806	3.820000E-01	  0.021402806	-8.875300E+01
9	  0.021603208	-3.300000E-02	  0.021603208	-5.932500E+01	  0.021603208	3.990000E-01	  0.021603208	-8.779000E+01
10	  0.021803608	-3.500000E-02	  0.021803608	-5.985800E+01	  0.021803608	4.070000E-01	  0.021803608	-8.684900E+01
11	  0.022004008	-3.500000E-02	  0.022004008	-6.039300E+01	  0.022004008	4.010000E-01	  0.022004008	-8.591900E+01
12	  0.022204408	-3.600000E-02	  0.022204408	-6.093600E+01	  0.022204408	4.070000E-01	  0.022204408	-8.498900E+01
13	  0.022404809	-3.600000E-02	  0.022404809	-6.147600E+01	  0.022404809	4.040000E-01	  0.022404809	-8.407900E+01
14	  0.022605211	-3.600000E-02	  0.022605211	-6.200100E+01	  0.022605211	3.920000E-01	  0.022605211	-8.320900E+01
15	  0.022805611	-3.400000E-02	  0.022805611	-6.253300E+01	  0.022805611	3.690000E-01	  0.022805611	-8.234200E+01
